ρ,spec,phi,wedge,p,θStar,θPerm,atBound,W0gap,W1gap,τAtChoice
1.1,scale,0.5,none,,0.7382263650417814,0.0,True,0.0,-0.0065107834654227,0.1816060615235298
1.2,scale,0.5,none,,0.7382263650417816,0.0,True,0.0,-0.0026305140989943,0.1781569545725311
1.3,scale,0.5,none,,0.7382263650417817,0.0,True,0.0,-0.0005128149318656,0.1746785092822813
1.4,scale,0.5,none,,0.7382263650417817,1.0,True,-0.0007103235705416,0.0,0.1289562276308162
1.5,scale,0.5,none,,0.7382263650417816,1.0,True,-0.0014322066498748,0.0,0.1304397352053424
2.0,scale,0.5,none,,0.7382263650417816,1.0,True,-0.0024317995207252,0.0,0.1372301823819471
