ρ,spec,phi,p,pos,date,ν,θ,τ,sr,workweek,τExo,srExo,converged,step,τDrift,RDrift
2.0,scale,0.5,0.08561245204418748,0,1960,1.405486131972424,0.7382263650417815,0.130276523407276,0.243121576334859,39.30725911248726,0.13027771155446277,0.2431214346493372,True,0.00023301086246130254,-1.1007733338924686e-05,5.148714668923304e-05
2.0,scale,0.5,0.08561245204418748,1,1990,1.405486131972424,0.7382263650417815,0.13039885305870325,0.23676058598295707,39.35557534022346,0.13039909678060502,0.23675421334432953,True,0.00023301086246130254,-1.1007733338924686e-05,5.148714668923304e-05
2.0,scale,0.5,0.08561245204418748,2,2020,1.339667762739423,0.7382263650417815,0.14427470655237537,0.2122206203211321,39.394961743006206,0.14428571428469072,0.21221858845632194,True,0.00023301086246130254,-1.1007733338924686e-05,5.148714668923304e-05
2.0,scale,0.5,0.08561245204418748,3,2050,1.1219986438186136,0.7383196710617469,0.19146886140251468,0.19747243317604207,39.11712792542282,0.19101508197241734,0.1978516828827557,True,0.00023301086246130254,-1.1007733338924686e-05,5.148714668923304e-05
2.0,scale,0.5,0.08561245204418748,4,2080,1.0688804499803877,0.7833523309233544,0.20347867618231333,0.1956279296440966,38.95580379295572,0.20313809468790917,0.19604284350172554,True,0.00023301086246130254,-1.1007733338924686e-05,5.148714668923304e-05
2.0,scale,0.5,0.08561245204418748,5,2110,1.0688804499803877,0.795406957400066,0.20330004661193893,0.19595589462936727,38.91409262782332,0.2030453009771377,0.196349102457685,True,0.00023301086246130254,-1.1007733338924686e-05,5.148714668923304e-05
2.0,scale,0.5,0.08561245204418748,6,2140,1.0688804499803877,0.7952227246620439,0.20328788811900522,0.19607244664678206,38.90771843721397,0.20302986895369424,0.19647809468192792,True,0.00023301086246130254,-1.1007733338924686e-05,5.148714668923304e-05
2.0,scale,0.5,0.08561245204418748,7,2170,1.0688804499803877,0.7953377249973081,0.20404740475463481,0.18824783550488147,39.01307178895066,0.20361327113198238,0.1887708161059319,True,0.00023301086246130254,-1.1007733338924686e-05,5.148714668923304e-05
2.0,flat,0.5,0.16922004909674393,0,1960,1.405486131972424,0.7331876492883308,0.1303042059636439,0.24312899725297374,39.306412154857405,0.13030452301633277,0.24312895025854167,True,3.634419138232037e-05,-4.1835936949452535e-06,2.041968057531207e-05
2.0,flat,0.5,0.16922004909674393,1,1990,1.405486131972424,0.7331876492883308,0.1304249004281413,0.2367579624535934,39.35491285894023,0.13042503164856023,0.23675547307675462,True,3.634419138232037e-05,-4.1835936949452535e-06,2.041968057531207e-05
2.0,flat,0.5,0.16922004909674393,2,2020,1.339667762739423,0.7331876492883308,0.14428153069201935,0.21220104437394804,39.39359463658784,0.14428571428571615,0.21220049291064844,True,3.634419138232037e-05,-4.1835936949452535e-06,2.041968057531207e-05
2.0,flat,0.5,0.16922004909674393,3,2050,1.1219986438186136,0.7332236690601659,0.19113128956302844,0.19769153050718752,39.088758158460394,0.19095288148421788,0.19784006093621248,True,3.634419138232037e-05,-4.1835936949452535e-06,2.041968057531207e-05
2.0,flat,0.5,0.16922004909674393,4,2080,1.0688804499803877,0.751402145586086,0.20319997765701292,0.19587008183227514,38.92071520651538,0.20306399994987462,0.1960329667734491,True,3.634419138232037e-05,-4.1835936949452535e-06,2.041968057531207e-05
2.0,flat,0.5,0.16922004909674393,5,2110,1.0688804499803877,0.7563220082967604,0.20307381559086016,0.19618447049067156,38.8791187765409,0.2029715189541458,0.19633898845471504,True,3.634419138232037e-05,-4.1835936949452535e-06,2.041968057531207e-05
2.0,flat,0.5,0.16922004909674393,6,2140,1.0688804499803877,0.7562808240656329,0.2030582687028168,0.19630903071313544,38.872135434335625,0.20295523792899525,0.1964683865690895,True,3.634419138232037e-05,-4.1835936949452535e-06,2.041968057531207e-05
2.0,flat,0.5,0.16922004909674393,7,2170,1.0688804499803877,0.7563035822694436,0.20371908140492662,0.1885071429003713,38.971167951013456,0.2035401664515986,0.18871661344650317,True,3.634419138232037e-05,-4.1835936949452535e-06,2.041968057531207e-05
