spec,phi,p,axis,value,ν,θData,θChoice,τ,τAtChoice,ηRatio
scale,0.75,0.9424124161123592,nu,1.0,1.0,0.7382263650417816,0.7998501611939661,0.2326459771907481,0.2316674313097888,3.7329507020037838
scale,0.75,0.9424124161123592,nu,1.05,1.05,0.7382263650417816,0.784343075131732,0.21799145139597184,0.21730605648877174,3.7329507020037846
scale,0.75,0.9424124161123592,nu,1.1,1.1,0.7382263650417814,0.7746051479932629,0.20396393214960495,0.20345201603740054,3.732950702003785
scale,0.75,0.9424124161123592,nu,1.15,1.15,0.7382263650417814,0.7644172099587799,0.19052410897492153,0.1901764040725185,3.7329507020037824
scale,0.75,0.9424124161123592,nu,1.2,1.2,0.7382263650417815,0.751408380162431,0.1776358900632907,0.1774725313394859,3.7329507020037838
scale,0.75,0.9424124161123592,nu,1.25,1.25,0.7382263650417814,0.7475068920389019,0.16526607945798738,0.16515613767790693,3.732950702003785
scale,0.75,0.9424124161123592,nu,1.3,1.3,0.7382263650417815,0.7321375991162038,0.1533840923262081,0.1534505463204671,3.7329507020037833
scale,0.75,0.9424124161123592,nu,1.35,1.35,0.7382263650417816,0.726277841236445,0.14196170317748844,0.1420850998212123,3.732950702003784
scale,0.75,0.9424124161123592,nu,1.4,1.4,0.7382263650417814,0.7233117105930944,0.13097282266500984,0.13111973372808253,3.732950702003784
scale,0.75,0.9424124161123592,nu,1.4500000000000002,1.4500000000000002,0.7382263650417814,0.7187172323118539,0.12039329925448006,0.1205753212767901,3.7329507020037838
scale,0.75,0.9424124161123592,nu,1.5,1.5,0.7382263650417816,0.7030768141448382,0.1102007425871461,0.11049837078643392,3.7329507020037838
scale,0.75,0.9424124161123592,nu,1.55,1.55,0.7382263650417816,0.7006426341145986,0.10037436581802792,0.1006768458445331,3.7329507020037846
scale,0.75,0.9424124161123592,inequality,0.5,1.339667762739423,0.112781621036431,1.0,0.07174119272656607,0.1390667334180312,1.977011325547734
scale,0.75,0.9424124161123592,inequality,0.6,1.339667762739423,0.3384359369326271,1.0,0.09925603105266242,0.13906673341803125,2.2432841635923984
scale,0.75,0.9424124161123592,inequality,0.7,1.339667762739423,0.4885363355692604,1.0,0.11631171269799291,0.1390667334180311,2.5438196827773925
scale,0.75,0.9424124161123592,inequality,0.8,1.339667762739423,0.5956589361414526,1.0,0.1282778824386872,0.13906673341803116,2.885685742115509
scale,0.75,0.9424124161123592,inequality,0.9,1.339667762739423,0.6759253941346812,1.0,0.13725838642799404,0.13906673341803114,3.278037728191015
scale,0.75,0.9424124161123592,inequality,1.0,1.339667762739423,0.7382263650417819,0.7382262838336136,0.14428571428571213,0.14428571516380945,3.732950702003785
scale,0.75,0.9424124161123592,inequality,1.1,1.339667762739423,0.7878665104959045,0.45326438010988473,0.14993644028577602,0.15858264547332124,4.26668409113729
scale,0.75,0.9424124161123592,inequality,1.2000000000000002,1.339667762739423,0.8282067129354646,0.24910990180437462,0.15456257843500296,0.17913635556695298,4.90166611404431
scale,0.75,0.9424124161123592,inequality,1.3,1.339667762739423,0.8614794826404107,0.10170912484224064,0.15839377110968814,0.2039526622253158,5.669725874430121
flat,0.5,0.7021897718662036,nu,0.95,0.95,0.7163644975582736,0.7275551270762648,0.24702193628752506,0.24686905306364976,3.732950702003786
flat,0.5,0.7021897718662036,nu,1.0,1.0,0.7163644975582735,0.7258703235706657,0.23180514654612547,0.23168056188671793,3.732950702003785
flat,0.5,0.7021897718662036,nu,1.05,1.05,0.7163644975582736,0.7244628803080814,0.21726412759502817,0.2171622555408595,3.732950702003784
flat,0.5,0.7021897718662036,nu,1.1,1.1,0.7163644975582736,0.7232840167940903,0.2033549336730603,0.20327135768306218,3.732950702003785
flat,0.5,0.7021897718662036,nu,1.15,1.15,0.7163644975582734,0.7222943557822371,0.19003734840482517,0.18996855819715713,3.732950702003784
flat,0.5,0.7021897718662036,nu,1.2,1.2,0.7163644975582734,0.7214618829982561,0.17727449740817228,0.17721769052301706,3.7329507020037833
flat,0.5,0.7021897718662036,nu,1.25,1.25,0.7163644975582736,0.7204403602444999,0.1650325082076939,0.16498904590043734,3.7329507020037846
flat,0.5,0.7021897718662036,nu,1.3,1.3,0.7163644975582735,0.7169806179589652,0.15328021084915824,0.15327414533310402,3.7329507020037846
flat,0.5,0.7021897718662036,nu,1.35,1.35,0.7163644975582737,0.7135542810004857,0.1419888736431704,0.14201424499603157,3.732950702003787
flat,0.5,0.7021897718662036,nu,1.4,1.4,0.7163644975582736,0.7101181184152779,0.13113196932131616,0.13118324706836323,3.7329507020037846
flat,0.5,0.7021897718662036,nu,1.4500000000000002,1.4500000000000002,0.7163644975582737,0.7065987240214251,0.12068496759821506,0.12075701944834887,3.732950702003786
flat,0.5,0.7021897718662036,nu,1.5,1.5,0.7163644975582736,0.7040108198454201,0.11062515072498891,0.11070768898755225,3.732950702003784
flat,0.5,0.7021897718662036,nu,1.55,1.55,0.7163644975582737,0.7035763988459973,0.10093144911510758,0.10101200595589412,3.732950702003784
flat,0.5,0.7021897718662036,inequality,0.5,1.339667762739423,0.06821120377311674,0.9769179825523502,0.0001,0.13043682773267434,1.9770113255477342
flat,0.5,0.7021897718662036,inequality,0.6,1.339667762739423,0.2624050902113856,0.9433782106973563,0.06500986292367254,0.13086316720040858,2.2432841635923984
flat,0.5,0.7021897718662036,inequality,0.7,1.339667762739423,0.4251315670063211,0.8962605449790212,0.10498310818888165,0.13200688610565856,2.543819682777393
flat,0.5,0.7021897718662036,inequality,0.8,1.339667762739423,0.5496349184033409,0.8367079072601616,0.12512937910826888,0.1343175325331777,2.885685742115508
flat,0.5,0.7021897718662036,inequality,0.9,1.339667762739423,0.643930137902107,0.7760685801418814,0.1368012319581582,0.1382396997755104,3.278037728191015
flat,0.5,0.7021897718662036,inequality,1.0,1.339667762739423,0.7163644975582736,0.7163644980733411,0.14428571428572434,0.1442857142808353,3.732950702003785
flat,0.5,0.7021897718662036,inequality,1.1,1.339667762739423,0.7730880941661518,0.6500455393103084,0.14945053257783172,0.15308422797409593,4.266684091137291
flat,0.5,0.7021897718662036,inequality,1.2000000000000002,1.339667762739423,0.8183270824320251,0.5847992358677688,0.15320571683089704,0.16511192044625822,4.901666114044309
flat,0.5,0.7021897718662036,inequality,1.3,1.339667762739423,0.8549708839481525,0.5244436529298924,0.15603663354434966,0.18077057726501133,5.669725874430121
flat,0.25,0.4383914458124193,nu,0.95,0.95,0.7169555630958367,0.7272154718267072,0.2469988904756762,0.24685804707228856,3.732950702003786
flat,0.25,0.4383914458124193,nu,1.0,1.0,0.7169555630958367,0.7256325506717373,0.2317847320732051,0.23167041251634837,3.7329507020037838
flat,0.25,0.4383914458124193,nu,1.05,1.05,0.7169555630958367,0.7243114061041921,0.2172464816312907,0.21715342245530048,3.7329507020037846
