eps,theta,ρ,statusQuo,universalEps,τ,sr,h,ι,s,s_,c10,c20,nRoots,time
0.02,0.5,1.0,False,False,0.10806628018290222,0.14416126676984495,0.5988592645333035,0.36479991826602154,0.025874099425334744,0.02822617272900393,0.02204080624171885,0.030505550821172178,1,0.5955085754394531
0.04625,0.5,1.0,False,False,0.11081649336674808,0.14343587581908088,0.5979693798805971,0.36138624158809785,0.025648475756210765,0.028005488652441915,0.022109091250912937,0.03072944968433877,1,0.5925321578979492
0.0725,0.5,1.0,False,False,0.11346347879663626,0.1427614253733916,0.5971183871481605,0.35775766468874465,0.025438523306950525,0.02779976255366634,0.022182152767202264,0.030956690395755306,1,0.5892844200134277
0.09875,0.5,1.0,False,False,0.11599645241190626,0.14213682755700266,0.596305218463424,0.35393034289914677,0.02524323793556038,0.027606957988742173,0.022259111263701656,0.03118748902606405,1,0.5939557552337646
0.125,0.5,1.0,False,False,0.1184484440657682,0.14155224058086036,0.5955235599992947,0.34994350133771457,0.025060328893590264,0.027426267924597084,0.02233952994229419,0.03141918455397874,1,0.6070570945739746
0.15125,0.5,1.0,False,False,0.1208446243158205,0.14100162137377353,0.5947671167410444,0.34582649099695656,0.024888083607764646,0.02725649109065041,0.022422829929490833,0.03165307051347409,1,0.6331145763397217
0.1775,0.5,1.0,False,False,0.12312637246713955,0.14049172473130286,0.59404058486123,0.3415659600753181,0.024726677017029033,0.027094283280163813,0.022507826026745656,0.03188721904643336,1,0.6006968021392822
0.20375,0.5,1.0,False,False,0.12534537635912602,0.1400160006068195,0.5933319508855646,0.3371983265357521,0.02457419122120897,0.026938498415579413,0.022593832913540477,0.03212366945285038,1,0.5983357429504395
0.22999999999999998,0.5,1.0,False,False,0.12751065922625227,0.13956571123837164,0.5926455921090454,0.33274735042984516,0.024429811115127303,0.026791195991870947,0.022681613023177345,0.03236056387768668,1,0.6448297500610352
0.25625,0.5,1.0,False,False,0.12960275476511,0.13914207565134487,0.5919802268063514,0.32821341998538955,0.024292834759844183,0.026649765220026458,0.0227702561526765,0.03259863216665434,1,0.633873462677002
0.28250000000000003,0.5,1.0,False,False,0.13160987969686852,0.13875161459376026,0.5913352027721446,0.3235970441063221,0.02416402801467804,0.026513244293446012,0.022859134791957156,0.032836076462741885,1,0.5903511047363281
0.2895332224942868,0.5,1.0,False,False,0.1321392205502686,0.1386515411517282,0.591165089363764,0.3223507795406804,0.02413073540393866,0.026477649025712445,0.022883015253834574,0.03289959653933774,1,0.6121137142181396
0.30875,0.5,1.0,False,False,0.13357670954593193,0.1383819432214102,0.5907044113262386,0.3189336612552721,0.024041162461966796,0.026382060090350323,0.022948412431414048,0.03307328917472843,1,0.6282608509063721
0.335,0.5,1.0,False,False,0.13546791771113909,0.13803423022081396,0.5900959609395594,0.31421287553404414,0.02392469550196738,0.026256441236132303,0.023038390258406094,0.03331025936534752,1,0.6007122993469238
0.36125,0.5,1.0,False,False,0.13729769257976773,0.13771141941509635,0.5895041383626528,0.30944921265692227,0.023814632063066072,0.026135384211187364,0.023128330354535414,0.03354634072991107,1,0.5912847518920898
0.3875,0.5,1.0,False,False,0.1390705165947287,0.13740795079074164,0.5889273840285411,0.30465173694620257,0.023709660720197406,0.02601802039863518,0.02321809290151746,0.0337816318720116,1,0.6218843460083008
0.41375,0.5,1.0,False,False,0.1407870796635305,0.13712329304246418,0.5883675517339815,0.299826635727898,0.023609977023547692,0.025905179808893192,0.023307949769290084,0.03401586372136122,1,0.6201071739196777
0.44,0.5,1.0,False,False,0.14244031891670164,0.13685868233263773,0.5878263974406104,0.29497614733543387,0.023515865423412538,0.025797022556865737,0.023397925994577316,0.03424954086816961,1,0.5862710475921631
0.46625,0.5,1.0,False,False,0.14404433602473532,0.13661018359592758,0.5873011518404101,0.2901119621984489,0.023426463257938394,0.02569326363698223,0.0234879494251449,0.034480575423025635,1,0.5924413204193115
0.4925,0.5,1.0,False,False,0.14559044766717058,0.13637892796940035,0.5867895865572421,0.2852341106502516,0.02334130007915799,0.02559206383222309,0.023577338286748115,0.034711094590465376,1,0.6487288475036621
0.5187499999999999,0.5,1.0,False,False,0.1470835626274309,0.13616358478150128,0.5862954866807372,0.2803492903546456,0.023260886199730504,0.025495488721821412,0.023666867308149916,0.03493912564165277,1,0.6018111705780029
0.545,0.5,1.0,False,False,0.1485333771868821,0.1359610944171756,0.5858152678255928,0.2754646757313692,0.0231842695198305,0.025402534359963324,0.02375622421043882,0.03516592949154013,1,0.6076188087463379
0.546455288695737,0.5,1.0,False,True,0.14861166519820437,0.13595034668067718,0.5857889762262389,0.27519345441112186,0.023180113859353497,0.025397379272055112,0.023761136960858225,0.03517853508742016,1,0.646568775177002
