eps,theta,ρ,statusQuo,universalEps,τ,sr,h,ι,s,s_,c10,c20,nRoots,time
0.02,0.5,1.0,False,False,0.12608462841754245,0.1468209323807453,0.49436358004216274,0.40783655715482253,0.013378895330353507,0.01427577748709853,0.010538272487819777,0.02142993912056552,1,2.101865768432617
0.04625,0.5,1.0,False,False,0.12897777638472424,0.14616179691004813,0.49349119438256694,0.4058342689733886,0.013257513510645113,0.014156501378713585,0.010548013805597048,0.02153668392338839,1,2.2916839122772217
0.0725,0.5,1.0,False,False,0.13172318369262945,0.14555079316545194,0.492669780294306,0.4036509023776737,0.01314540433171143,0.014046523506643465,0.010560823487749484,0.021646022832283972,1,2.244590997695923
0.09875,0.5,1.0,False,False,0.13435343560142182,0.14498260408320296,0.49188607200809886,0.4013135677232508,0.013040908341485979,0.013943604712832848,0.010575815224739365,0.021757316747457695,1,2.4885144233703613
0.125,0.5,1.0,False,False,0.13688820820858758,0.14444964582726866,0.4911382671937888,0.39885156534967403,0.012943232068482954,0.013847687223806271,0.010592940474455963,0.021870381891340752,1,2.377297878265381
0.15125,0.5,1.0,False,False,0.13931452323332377,0.14395152019918592,0.49042640449547914,0.3962705900819914,0.01285199950027454,0.01375805022541291,0.010611920694308045,0.021984984457958778,1,1.9975066184997559
0.1775,0.5,1.0,False,False,0.1416504916032814,0.14348437559915775,0.48974395569281526,0.39358953111305744,0.01276629512200997,0.013673626710456185,0.0106323206913376,0.022100568566199012,1,2.077536106109619
0.20375,0.5,1.0,False,False,0.1438896976269758,0.1430474867963433,0.48909124245103286,0.39081452753732326,0.012685888243500183,0.013594087314394892,0.01065401032165408,0.022216895985944247,1,2.1504921913146973
0.22999999999999998,0.5,1.0,False,False,0.1460338463635273,0.14263961995259083,0.4884615021851802,0.38795419874424286,0.012609854335111205,0.013517736682960442,0.010676317607714047,0.022334084597194423,1,2.4710733890533447
0.25625,0.5,1.0,False,False,0.1481110513418758,0.14225637968838956,0.4878537385440322,0.3850306689468731,0.012538065265422178,0.013445334344373065,0.010699481282536552,0.022451533491709492,1,2.6300487518310547
0.28250000000000003,0.5,1.0,False,False,0.1501099473539297,0.14189695865753676,0.48726907723593266,0.382046262689453,0.01247030656552749,0.013376545506771927,0.01072340341782118,0.022569182959932134,1,2.4212658405303955
0.3050254617135535,0.5,1.0,False,False,0.1517653119514813,0.14160602968764163,0.4867862858001446,0.37944292044151473,0.012415281269253267,0.013320517791135128,0.010744593823345498,0.022670097319998025,1,1.8160979747772217
0.30875,0.5,1.0,False,False,0.1520328653557514,0.14155959429701895,0.4867079225668175,0.37900844643493714,0.012406431782279305,0.013311434925166083,0.010748123093673973,0.022686820107257814,1,2.4024040699005127
0.335,0.5,1.0,False,False,0.1538900042481657,0.1412423344623667,0.48616538027046985,0.3759279352237874,0.01234583568794072,0.013249147967108008,0.010773283325030476,0.022804880062885734,1,2.0496349334716797
0.36125,0.5,1.0,False,False,0.15567843503794487,0.140944431584515,0.48563993473109507,0.3728079398533854,0.01228818768669189,0.013189121238066268,0.010798676101171606,0.022922515087670396,1,2.039827346801758
0.3875,0.5,1.0,False,False,0.15740280603133777,0.14066457710023142,0.48513219000002183,0.36965522516888016,0.012233469349850968,0.013131611473429294,0.010824403223063285,0.023039611730685246,1,1.970841884613037
