ρ,preferences,requested,residual,verifyResidual,hoursDrift,β,ω,λ,X,R,τ,sr,h,hbar,nfev,time,n,ns,smoothKnots,interpKind,x0,commit,timestamp
0.5,CRRA,True,6.106226635438361e-16,0.0006083186517474026,4.432320039486626e-05,1.4353620390543391,1.811676032284599,0.8527966070324436,,1.8724139167805944,0.11861575177182407,0.18927414452864552,0.5918285027404048,0.5918285027404045,8,16.19077229499817,101,150,4,linear,0.5942524015060148,6dd9247,2026-09-12T19:56:19
0.6,CRRA,True,5.842548667089886e-15,2.2850905902357943e-05,2.9785858193243087e-06,1.1611736960558692,1.566749048800436,0.8552904576059317,,1.9148903786084583,0.1185712599096792,0.18469015820510282,0.5916608549947838,0.5916608549947836,8,16.471941471099854,101,150,4,linear,0.4490028030060991,6dd9247,2026-09-12T19:55:59
0.7,CRRA,True,1.0685896612017132e-15,2.1388349335738077e-05,0.00026986519086441563,0.9973561779560598,1.4229445283067452,0.8575314796210244,,1.9536486111894305,0.11884129376229194,0.18057956162075556,0.5914656715253106,0.5914656715253107,8,16.704662561416626,101,150,4,linear,0.35272833613196863,6dd9247,2026-09-12T19:55:38
0.8,CRRA,True,1.5959455978986625e-15,0.0001807897472166503,8.874955047435962e-06,0.8902838883438681,1.329034415785545,0.859403471895809,,1.987355773359066,0.11858030352647443,0.17727924931708033,0.5913500543664082,0.5913500543664081,8,17.46394371986389,101,150,4,linear,0.2844526753969751,6dd9247,2026-09-12T19:55:18
0.9,CRRA,True,3.608224830031759e-15,0.000274217549799477,8.736713358548087e-06,0.8152039468106654,1.2653464721642496,0.861040233598977,,2.0170932529856476,0.11856280194209914,0.17436195748875136,0.5912173280008579,0.5912173280008578,8,16.60080361366272,101,150,4,linear,0.23534597571711277,6dd9247,2026-09-12T19:54:56
1.0,LOG,True,1.6653345369377348e-16,1.6653345369377348e-16,8.881784197001252e-16,0.760618787547492,1.226278181530467,0.862339687044961,,2.0403179361466846,0.11857142857142876,0.17201713461926854,0.5911047027742833,0.5911047027742833,9,0.9977343082427979,101,50,4,linear,0.20398371351345196,6dd9247,2026-09-12T19:51:19
1.1,CRRA,True,2.7755575615628914e-16,0.00019461368404150026,3.0129619713603617e-06,0.717745049022961,1.1856023649548364,0.8636994653990532,,2.0666911126591647,0.11857035174199505,0.16965755851902609,0.590971345264654,0.5909713452646538,8,17.172463417053223,101,150,4,linear,0.17025097029018268,6dd9247,2026-09-12T19:51:40
1.2,CRRA,True,4.85722573273506e-16,0.000176374417326694,3.104669381581715e-06,0.6844206255047707,1.1596050762139787,0.8647958367942228,,2.08762610958942,0.11857382139021731,0.16772472203129624,0.5908623195159607,0.5908623195159607,8,16.78533959388733,101,150,4,linear,0.1480794956118173,6dd9247,2026-09-12T19:52:01
1.3,CRRA,True,1.3877787807814457e-17,0.00021342362032944484,1.5245770845773166e-06,0.6575018033009307,1.1391661495976135,0.865760109954386,,2.1062853262321077,0.11857051553827294,0.16601595376858452,0.5907616754458529,0.5907616754458527,8,16.638320207595825,101,150,4,linear,0.13029654704661098,6dd9247,2026-09-12T19:52:21
1.4,CRRA,True,4.163336342344337e-17,0.00024596895528125606,4.4524517506250305e-06,0.6353015285384512,1.122759194577275,0.8666249927802012,,2.123166888752368,0.11857185183099309,0.16449320272753354,0.5906672990052345,0.5906672990052345,7,15.283171653747559,101,150,4,linear,0.11578922228842828,6dd9247,2026-09-12T19:52:41
1.5,CRRA,True,5.273559366969494e-16,0.0001855534743357562,4.6087416554208005e-06,0.6167825598208325,1.1096165934204043,0.8673931934684879,,2.1384472821934417,0.11857275201079645,0.1631365267221597,0.5905776453317927,0.5905776453317927,7,14.985383987426758,101,150,4,linear,0.10401454432303875,6dd9247,2026-09-12T19:52:59
1.6,CRRA,True,3.0808688933348094e-15,0.00021856654118908303,1.0839159820807964e-06,0.6009953775826287,1.0986826166391157,0.8680820223470237,,2.152306829433216,0.1185713608470993,0.16190402473944232,0.5904922386292893,0.5904922386292893,7,15.612817764282227,101,150,4,linear,0.0941118408457473,6dd9247,2026-09-12T19:53:19
1.7,CRRA,True,1.1657341758564144e-15,0.00024400486654940767,2.7832351495032936e-06,0.5874857094242038,1.0895974223293243,0.8687027102415187,,2.164841907921885,0.11856864533627792,0.1608025256718943,0.5904150437348311,0.5904150437348311,7,14.951014757156372,101,150,4,linear,0.08580829070668228,6dd9247,2026-09-12T19:53:38
1.8,CRRA,True,3.7470027081099033e-16,0.0002562510192821582,2.71780564044255e-06,0.575732061647078,1.0819836818249404,0.8692672880874119,,2.176411680216021,0.11856871076578852,0.15979417118252126,0.5903397957758397,0.5903397957758398,8,16.57947874069214,101,150,4,linear,0.07879609881790156,6dd9247,2026-09-12T19:53:59
1.9,CRRA,True,5.398459457239824e-15,0.0002679404921023809,6.819977125149812e-06,0.5654344670368531,1.0755031481588282,0.8697805117273923,,2.1870041524972246,0.11856668697327766,0.15887350928865604,0.5902697846549735,0.5902697846549735,7,14.827038049697876,101,150,4,linear,0.07278859687973466,6dd9247,2026-09-12T19:54:17
2.0,CRRA,True,8.271161533457416e-15,0.0002702885601631039,4.224996512980361e-06,0.5563256288283535,1.0700184667750992,0.8702533710652146,,2.196890449462432,0.11856838614434849,0.15802707232017643,0.5902009657799289,0.5902009657799289,7,14.615300178527832,101,150,4,linear,0.06767590699320261,6dd9247,2026-09-12T19:54:36
