ρ,preferences,requested,residual,verifyResidual,β,ω,η0,X0,sr,τ,ι,nRoots,nfev,time,nι,ns,nτ,x0,x1,x2,x3,commit,timestamp
0.7,CRRA,True,2.8624547177003024e-11,0.0003104508779800952,2.0818339864870343,3.977803885913494,0.3255743222951497,0.40840625844712347,0.18399999999075947,0.12499999999083829,0.35620665689453723,1,11,595.0728063583374,45,45.0,101,0.733249229495337,1.3807298795467013,-1.1221645106934646,-0.8954928685016883,84ef022,2026-08-19T08:14:11
0.8,CRRA,True,1.890021472661374e-11,0.0001580507193547076,1.6617715682897176,3.3593223880089123,0.3255585572833139,0.40823321336152735,0.18400000000672304,0.12499999998250447,0.3586501434028035,1,11,698.8946235179901,45,45.0,101,0.5078842431179796,1.2117392834014937,-1.122212934025578,-0.8959166665035234,84ef022,2026-08-19T08:03:03
0.9,CRRA,True,2.600253345974579e-12,0.00011872942639090667,1.3946508480651056,2.9406240192586495,0.3255490680961803,0.40812908633824774,0.18400000000078942,0.12499999999739975,0.3604552801041657,1,12,336.58523321151733,45,45.0,101,0.3326440958206565,1.0786218102769587,-1.1222420818554126,-0.8961717665341902,84ef022,2026-08-19T07:47:59
1.0,LOG,True,4.917133367143833e-11,,1.2121884209951448,2.6386539837279233,0.32554789797453654,0.4081162480785907,0.1839999999921766,0.1250000000269361,0.3618189449070126,1,26,15.594016313552856,50,,101,0.19242733843130455,0.9702689324896335,-1.122245676163802,-0.8962032233992203,84ef022,2026-08-19T07:41:08
