ρ,preferences,requested,residual,verifyResidual,hoursDrift,β,ω,λ,X,R,τ,sr,h,hbar,nfev,time,n,ns,smoothKnots,interpKind,x0,commit,timestamp
0.5,CRRA,True,1.0269562977782698e-14,0.0006135003531354127,4.7190334598185e-05,1.4353620390543391,1.6253661456409134,0.8534249608964212,,1.8699050247362206,0.11861861890603705,0.1892310024390243,0.5926263395522314,0.5926263395522314,7,15.028995752334595,101,150,4,linear,0.4857331107952814,6dd9247,2026-09-12T19:51:15
0.6,CRRA,True,2.040034807748725e-15,9.174154523020062e-05,7.451590233298333e-06,1.1611736960558692,1.431527950480135,0.8559924751955373,,1.9133721819961176,0.11857279150575697,0.18464402452643344,0.5924590093420596,0.5924590093420595,8,16.83178997039795,101,150,4,linear,0.35874237067462694,6dd9247,2026-09-12T19:50:57
0.7,CRRA,True,1.8596235662471372e-15,2.6138627311059204e-05,0.0002725926326806877,0.9973561779560598,1.3176302389563455,0.858281388646652,,1.9527418005248611,0.11884402120410742,0.1805331067168752,0.5922648251614251,0.5922648251614251,8,17.10124707221985,101,150,4,linear,0.27583484964553023,6dd9247,2026-09-12T19:50:36
0.8,CRRA,True,1.0130785099704553e-15,0.00017877417515875516,8.901876656822183e-06,0.8902838883438681,1.2432150502882322,0.8601833838772776,,1.9868656245501657,0.1185803304480844,0.17723382990564807,0.5921484675208847,0.5921484675208847,8,17.2882719039917,101,150,4,linear,0.2177008066456707,6dd9247,2026-09-12T19:50:15
0.9,CRRA,True,1.9567680809018384e-15,0.0002516159289917691,8.838038990321984e-06,0.8152039468106654,1.1931053140526766,0.8618420162880749,,2.01688599254718,0.1185627318623366,0.1743176185503272,0.5920155718843079,0.5920155718843078,8,17.06759023666382,101,150,4,linear,0.17655941587735807,6dd9247,2026-09-12T19:49:53
1.0,LOG,True,2.7755575615628914e-17,2.7755575615628914e-17,2.220446049250313e-16,0.760618787547492,1.1636793615192416,0.8631600838015238,,2.040363488804507,0.11857142857142856,0.17197210569100205,0.5919027721000184,0.5919027721000183,9,1.1098084449768066,101,50,4,linear,0.1515868487501165,6dd9247,2026-09-12T19:45:57
1.1,CRRA,True,1.942890293094024e-16,0.00019224252174120104,3.469374804110359e-06,0.717745049022961,1.131043438338164,0.8645288241991198,,2.066819048354598,0.11857032470684707,0.16961617059654388,0.5917692757054546,0.5917692757054545,8,17.848549604415894,101,150,4,linear,0.12314060341516539,6dd9247,2026-09-12T19:46:19
1.2,CRRA,True,4.0245584642661925e-16,0.00017358168996615964,3.1724706437419314e-06,0.6844206255047707,1.1111256250692152,0.8656338778420989,,2.0878509454719842,0.11857407926553133,0.16768470878600553,0.5916600118824238,0.5916600118824237,8,17.849218606948853,101,150,4,linear,0.10537357813480547,6dd9247,2026-09-12T19:46:41
1.3,CRRA,True,6.938893903907228e-17,0.00021239506078306325,1.5471663443733519e-06,0.6575018033009307,1.0956255082162552,0.8666046272233267,,2.10657280054133,0.11857052190733658,0.16597745057165542,0.5915592779017299,0.5915592779017298,8,17.449732780456543,101,150,4,linear,0.09132544055292807,6dd9247,2026-09-12T19:47:03
1.4,CRRA,True,1.5265566588595902e-16,0.0002445881230208058,4.635918233741876e-06,0.6353015285384512,1.0833136947838626,0.8674748141521422,,2.123498425764835,0.11857186684893606,0.16445626829299817,0.5914647942694744,0.5914647942694741,7,16.00898575782776,101,150,4,linear,0.08002457961740504,6dd9247,2026-09-12T19:47:23
1.5,CRRA,True,1.817990202823694e-15,0.0001837540112378938,4.662816398992575e-06,0.6167825598208325,1.0736237718813624,0.86824704635723,,2.138810119792264,0.11857275280202703,0.16310078691175284,0.5913749931525675,0.5913749931525674,7,17.451547861099243,101,150,4,linear,0.07103962920452891,6dd9247,2026-09-12T19:47:45
1.6,CRRA,True,6.938893903907228e-17,0.00021743693323371394,1.0969458281717692e-06,0.6009953775826287,1.0656446082774729,0.8689391900340041,,2.1526879971451236,0.11857136298823988,0.16186957768211824,0.5912894768969694,0.5912894768969693,7,18.08981204032898,101,150,4,linear,0.06357988205004647,6dd9247,2026-09-12T19:48:09
1.7,CRRA,True,3.7470027081099033e-16,0.000243815851913895,2.8070795677209714e-06,0.5874857094242038,1.0591161792702497,0.8695626054196289,,2.165233998973092,0.1185686214918605,0.16076929071829799,0.5912121796706876,0.5912121796706876,7,16.791292905807495,101,150,4,linear,0.057434767183859065,6dd9247,2026-09-12T19:48:30
1.8,CRRA,True,6.938893903907228e-17,0.0002561564240838726,2.8151384946217828e-06,0.575732061647078,1.05374040140752,0.8701295044644983,,2.1768099508589334,0.11856861343293404,0.15976205120855935,0.5911368585838827,0.5911368585838825,8,17.458259344100952,101,150,4,linear,0.05234612130788126,6dd9247,2026-09-12T19:48:51
1.9,CRRA,True,8.951173136040325e-15,0.0002687372489430101,6.597634393479268e-06,0.5654344670368531,1.0492352390402602,0.8706447208329984,,2.1874052552833243,0.11856666189137531,0.1588424894259767,0.5910667187496611,0.5910667187496611,7,15.136017322540283,101,150,4,linear,0.04806155502706457,6dd9247,2026-09-12T19:49:11
2.0,CRRA,True,3.8719027983802334e-15,0.00027188220245756567,4.257517485783957e-06,0.5563256288283535,1.0455076307877156,0.8711191921244353,,2.197288864706239,0.11856775135431692,0.15799707472776467,0.5909979352356893,0.5909979352356892,7,17.561604022979736,101,150,4,linear,0.044502538556917784,6dd9247,2026-09-12T19:49:32
