ρ,preferences,requested,residual,verifyResidual,occupancyι,occupancys,β,ω,η0,X0,sr,τ,ι,nRoots,nfev,time,nι,ns,nτ,x0,x1,x2,x3,commit,timestamp
0.5,CRRA,True,3.585465258026943e-12,0.00014772803881690777,0.7778,0.6222,4.282812031281513,6.747682288344874,0.32564339315368657,0.4091651827639084,0.18399999999794836,0.12500000000313155,0.3474833560691446,1,12,315.6560435295105,45,45.0,101,1.4546098105073142,1.9091990812316375,-1.121952382377059,-0.8936363346343997,84ef022,2026-08-19T20:39:27
0.6,CRRA,True,3.033284734499375e-11,6.348968153491175e-05,0.8,0.6444,2.8126400723665443,4.9633213644420495,0.32559540690141225,0.40863779575786896,0.18400000001515723,0.12499999997097681,0.35274258503254613,1,12,308.50661444664,45,45.0,101,1.0341235697984896,1.6020751465625866,-1.1220997515213946,-0.8949261002454313,84ef022,2026-08-19T20:33:00
0.7,CRRA,True,2.8281821329301238e-12,3.9466599414117454e-05,0.7778,0.6444,2.0835711963116252,3.976505615991388,0.32556935961835404,0.4083517784805367,0.18399999999993938,0.12500000000055198,0.35621056620199265,1,11,289.77679896354675,45,45.0,101,0.7340833427923993,1.3804034477091363,-1.12217975364808,-0.8956262739025644,84ef022,2026-08-19T20:26:44
0.8,CRRA,True,2.3824275885431234e-12,4.479004878743531e-05,0.7778,0.6667,1.662208472663059,3.3590144527840042,0.325555831983982,0.40820330562297774,0.183999999999565,0.12500000000223332,0.3586566898070484,1,11,272.5409893989563,45,45.0,101,0.5081471233822861,1.2116476133252767,-1.1222213052100483,-0.8959899305917105,84ef022,2026-08-19T20:20:49
0.9,CRRA,True,8.525402606096577e-12,3.28954155093264e-05,0.8,0.6889,1.394498755869495,2.9409154183849715,0.32555037640523055,0.40814344129194274,0.18400000000036962,0.12499999999865351,0.3604511706395798,1,12,295.1510400772095,45,45.0,101,0.33253503591541017,1.0787208996836182,-1.1222380630866629,-0.8961365945708799,84ef022,2026-08-19T20:15:09
1.0,LOG,True,1.4703016582018336e-11,,0.8,,1.2109226901664794,2.6452115420152555,0.3255592307590496,0.4082406044705957,0.18399999999941644,0.12500000000147318,0.3617790587202624,1,26,13.85054349899292,50,,101,0.19138262286877308,0.9727510401897881,-1.1222108653499925,-0.8958985615529246,84ef022,2026-08-19T19:09:49
1.1,CRRA,True,1.5297096922495257e-11,6.193359381789776e-06,0.8,0.7111,1.0807424049214556,2.4173057197506487,0.3255529117571739,0.40817126083398486,0.18400000000004965,0.12500000000056963,0.36286961617292607,1,12,290.24231576919556,45,45.0,101,0.07764821694105442,0.88265358100039,-1.122230275222619,-0.8960684357052355,84ef022,2026-08-19T19:15:43
1.2,CRRA,True,1.0701439734361884e-12,1.1983356504235987e-05,0.8,0.7111,0.9824832678864591,2.244045571609395,0.3255586619598467,0.4082343621317547,0.18399999999983419,0.12500000000096112,0.36370654504394706,1,11,275.80141258239746,45,45.0,101,-0.01767196552474378,0.8082802956580715,-1.1222126124965823,-0.8959138525026695,84ef022,2026-08-19T19:21:24
1.3,CRRA,True,1.1812772982011666e-13,8.680722944687247e-06,0.8,0.7111,0.9065557866086987,2.106692443140504,0.32556557148868215,0.4083101969579696,0.18399999999999053,0.12500000000010872,0.36438235665082963,1,11,278.76434659957886,45,45.0,101,-0.09810271002032912,0.745119155083762,-1.1221913891156028,-0.8957281067877816,84ef022,2026-08-19T19:27:08
1.4,CRRA,True,3.497202527569243e-14,8.531293512081817e-06,0.8,0.7333,0.8462871825793429,1.9953564838781945,0.32557401496097077,0.408402884363151,0.18400000000001315,0.1250000000000022,0.36493204632328013,1,11,296.0399475097656,45,45.0,101,-0.16689651766554697,0.6908227230396587,-1.1221654546693955,-0.8955011301231509,84ef022,2026-08-19T19:33:16
1.5,CRRA,True,3.015365734881925e-13,1.3778321552901374e-05,0.8,0.7333,0.797409631144347,1.9033252880010294,0.325583666260064,0.40850885339658194,0.18400000000004355,0.1249999999997354,0.36538290522205663,1,11,307.2353048324585,45,45.0,101,-0.22638676592328955,0.6436025080211887,-1.1221358111610034,-0.8952416919754852,84ef022,2026-08-19T19:39:33
1.6,CRRA,True,1.795230630818878e-13,4.6315577962641186e-05,0.7778,0.7333,0.7570650153653293,1.8263274746376257,0.32559370713434643,0.4086191257231994,0.18399999999997585,0.12500000000017605,0.36575807239969266,1,11,292.830171585083,45,45.0,101,-0.2783061436773847,0.602307105982472,-1.122104972023486,-0.8949717897567271,84ef022,2026-08-19T19:45:32
1.7,CRRA,True,3.042011087472929e-14,5.029748324081318e-05,0.7778,0.7556,0.7232648451123487,1.761027945512663,0.3256038842266632,0.40873092094692914,0.18400000000001868,0.12499999999999317,0.36607303509425715,1,11,287.0835134983063,45,45.0,101,-0.32397980977504753,0.5658976985038079,-1.1220737154818383,-0.8946982344424959,84ef022,2026-08-19T19:51:29
1.8,CRRA,True,5.390410340311291e-13,1.554101153444787e-05,0.7778,0.7556,0.6945497005745894,1.704965579325305,0.3256147293307605,0.4088500840876571,0.1839999999998744,0.12500000000053904,0.3663357630927512,1,11,303.7014651298523,45,45.0,101,-0.3644915562458947,0.533544922452698,-1.122040408374601,-0.8944067327054497,84ef022,2026-08-19T19:57:39
1.9,CRRA,True,5.340172748447003e-14,1.4088416742524812e-05,0.7778,0.7556,0.66987013103798,1.6563324115151992,0.3256259315463827,0.40897320338281434,0.1840000000000063,0.1250000000000534,0.3665563560250926,1,11,294.69018602371216,45,45.0,101,-0.40067141965708736,0.5046057674104816,-1.1220060056835646,-0.8941056424871259,84ef022,2026-08-19T20:03:37
2.0,CRRA,True,1.5459855617905305e-14,5.079602992008603e-05,0.7778,0.7556,0.6484590553225492,1.613754232309508,0.32563754754007507,0.40910090503566954,0.18400000000000782,0.12499999999998454,0.3667407790339804,1,11,269.994482755661,45,45.0,101,-0.43315641473231203,0.4785632858302772,-1.1219703335045874,-0.8937934417889781,84ef022,2026-08-19T20:09:11
