ρ,preferences,requested,residual,verifyResidual,β,ω,X,R,τ,sr,h,hbar,nfev,time,n,ns,smoothKnots,interpKind,x0,x1,commit,timestamp
0.5,CRRA,True,8.881784197001252e-15,0.000623287748966167,1.43536203905434,2.315633014566894,,2.4429999999999783,0.14428571428572023,0.15911716082049862,0.6722596122569253,0.37597394068280204,10,18.528825521469116,101,150,4,linear,0.361417109415234,0.8396830905778448,84ef022,2026-08-21T22:40:46
0.6,CRRA,True,3.022471162239526e-12,0.0006054752841826438,1.161173696055734,1.9585620229715355,,2.442999999992616,0.14428571428685777,0.1578138062241705,0.6720631374816132,0.3758640584376514,9,17.182652473449707,101,150,4,linear,0.14943130053124346,0.6722105422317222,84ef022,2026-08-21T22:40:23
0.7,CRRA,True,7.083222897108499e-13,3.2627061450574146e-05,0.9973561779560671,1.7465148360668927,,2.4430000000017302,0.14428571428592962,0.1565711404149926,0.671878992979083,0.3757610721314551,9,17.00079083442688,101,150,4,linear,-0.002647323113597756,0.5576222799706636,84ef022,2026-08-21T22:40:02
0.8,CRRA,True,6.061817714453355e-14,0.00024291395293851714,0.8902838883438597,1.608529849546645,,2.4430000000001484,0.14428571428571307,0.1554872416359059,0.6717116361960194,0.3756674746758275,9,17.01909303665161,101,150,4,linear,-0.11621489145061596,0.47532062490532667,84ef022,2026-08-21T22:39:41
0.9,CRRA,True,1.0256240301487196e-12,0.0009449422824526765,0.8152039468106761,1.5127260222486325,,2.4430000000025056,0.14428571428567044,0.1545251641146202,0.6715560717049113,0.37558047228317165,10,18.6838538646698,101,150,4,linear,-0.2043169555609603,0.41391333595582613,84ef022,2026-08-21T22:39:20
1.0,LOG,True,1.2301271112846734e-13,1.2301271112846734e-13,0.7606187875474913,1.45362739475499,,2.4430000000003007,0.14428571428571396,0.15373694895582637,0.6714309739621296,0.3755105089974609,13,1.2187166213989258,101,50,4,linear,-0.27362298283657105,0.37406208406628727,84ef022,2026-08-21T22:35:33
1.1,CRRA,True,7.926992395823618e-14,0.00022130525309538296,0.7177450490229655,1.3898421231394007,,2.4429999999998064,0.14428571428571163,0.15293234063523542,0.671278933262862,0.37542547735223697,10,18.51321816444397,101,150,4,linear,-0.3316408579177248,0.3291901602165985,84ef022,2026-08-21T22:35:56
1.2,CRRA,True,2.1538326677728037e-14,0.00019435002111267696,0.6844206255047696,1.34835647819852,,2.4430000000000525,0.1442857142857052,0.1522476689519313,0.6711564235645593,0.3753569614794953,9,17.067097187042236,101,150,4,linear,-0.37918260079521454,0.29888642723162245,84ef022,2026-08-21T22:36:17
1.3,CRRA,True,4.8627768478581856e-14,0.0001398927919425974,0.6575018033009336,1.3150860670292592,,2.443000000000119,0.14428571428571632,0.15162810939216395,0.6710413318522721,0.37529259425614947,9,16.923985719680786,101,150,4,linear,-0.41930777227096167,0.2739021137003207,84ef022,2026-08-21T22:36:38
1.4,CRRA,True,4.3298697960381105e-14,0.0002133177245389195,0.6353015285384516,1.287724291888622,,2.4429999999998944,0.14428571428571182,0.15105710898193378,0.6709337641384436,0.37523243497166925,9,17.005493640899658,101,150,4,linear,-0.45365554470207403,0.25287654567555956,84ef022,2026-08-21T22:36:59
1.5,CRRA,True,3.6637359812630166e-15,0.00015267852090383727,0.6167825598208341,1.2652123860347062,,2.442999999999991,0.1442857142857132,0.15055112950688368,0.6708331229510465,0.3751761494784895,9,17.00955629348755,101,150,4,linear,-0.4832387323908211,0.23524000218542865,84ef022,2026-08-21T22:37:20
1.6,CRRA,True,4.59288163057181e-12,0.00015245019822418548,0.6009953775826335,1.2461807293412483,,2.4429999999887797,0.14428571428552,0.15007775820304947,0.670735339767351,0.37512146237809524,8,15.299988985061646,101,150,4,linear,-0.5091680356867673,0.2200834574722717,84ef022,2026-08-21T22:37:39
1.7,CRRA,True,2.73181477439266e-12,0.00018076128133570624,0.5874857094242004,1.230008359513161,,2.4429999999933263,0.14428571428542977,0.14964774318289834,0.6706467809786575,0.3750719341955894,8,15.972664833068848,101,150,4,linear,-0.5319033576440054,0.20702096571339437,84ef022,2026-08-21T22:37:59
1.8,CRRA,True,3.8054004392051866e-12,0.00018965365690093439,0.5757320616470784,1.216068752977734,,2.4429999999907035,0.1442857142848108,0.1492471738038955,0.6705614024261626,0.3750241846205055,8,15.448552131652832,101,150,4,linear,-0.5521128972633235,0.1956233222233759,84ef022,2026-08-21T22:38:19
1.9,CRRA,True,6.616041048346233e-12,0.0001937672145055913,0.565434467036848,1.20400584187466,,2.442999999983837,0.14428571428384165,0.14887459343422463,0.6704809196041547,0.37497917307556683,8,15.447187185287476,101,150,4,linear,-0.5701608751334578,0.18565419893022359,84ef022,2026-08-21T22:38:38
2.0,CRRA,True,2.8668178941870792e-12,0.00017684664741191014,0.5563256288283516,1.1933935797140798,,2.4429999999929963,0.14428571428506679,0.14852586997260617,0.6704034168142555,0.37493582817011506,8,15.118322134017944,101,150,4,linear,-0.5864014928050642,0.17680099626405604,84ef022,2026-08-21T22:38:57
