ρ,preferences,requested,residual,verifyResidual,occupancyι,occupancys,β,ω,η0,X0,X,hbar,commonX,KY,sr,τ,ι,nRoots,nfev,time,nι,ns,nτ,x0,x1,x2,x3,commit,timestamp
0.5,CRRA,True,9.514611321037592e-13,0.00041730618143720477,0.7778,0.8222,1.3885820033614769,2.09315394831238,0.3439227577917331,0.8049836926995475,1.9432641987988581,0.5063988095238263,True,3.2313000000033822,0.1506284000107035,0.10923076923032979,0.30064826325493677,1,12,322.47964572906494,45,45.0,101,0.3282830849775769,0.7386719946587544,-1.2206541425475461,-0.8813023951143383,64e0276,2026-09-11T20:20:12
0.6,CRRA,True,2.135791543622645e-14,0.0012670995150144693,0.8,0.8667,1.0761864633502436,1.8811395573440732,0.34389883571329644,0.8049017456345661,1.942407108501387,0.5063988095238139,True,3.2313000000001626,0.14873037914037932,0.10923076923073083,0.3045104553431993,1,12,320.7330856323242,45,45.0,101,0.07342373980251653,0.6318777407320931,-1.2206218966708797,-0.8809630456501457,64e0276,2026-09-11T20:13:46
0.7,CRRA,True,6.835532140314626e-12,0.0004981530082417418,0.8,0.8667,0.9012389658847041,1.739645398607059,0.34387404326215887,0.8048168198231381,1.9415191701984902,0.5063988095236889,True,3.231299999975149,0.14747806303544306,0.1092307692343067,0.30709444995538465,1,11,299.61287546157837,45,45.0,101,-0.10398483358169393,0.5536812985536492,-1.2205884752063785,-0.8806113245237606,64e0276,2026-09-11T20:07:21
0.8,CRRA,True,7.611689056830073e-13,0.00020893605396110626,0.8,0.8667,0.7860968261679928,1.6341310296323972,0.3438342341147703,0.8046804607021006,1.9400941260732376,0.5063988095238204,True,3.231300000002613,0.14610026708218962,0.10923076923052821,0.3089930542311954,1,11,306.47306394577026,45,45.0,101,-0.24067530563111514,0.49111118271631676,-1.2205348054363019,-0.8800465140862592,64e0276,2026-09-11T20:01:17
0.9,CRRA,True,2.5424107263916085e-12,8.464768880722673e-05,0.8,0.8667,0.7077826906314297,1.554315645959487,0.3437949857026437,0.8045460294433463,1.9386900171912358,0.506398809523826,True,3.231300000008356,0.1450080112325349,0.10923076923021409,0.31040046145933303,1,12,320.2081561088562,45,45.0,101,-0.3456181665387388,0.44103534969775915,-1.220481885555,-0.8794895953375029,64e0276,2026-09-11T19:55:06
1.0,LOG,True,8.214262603445378e-14,8.381435347981636e-06,0.8,,0.6505784094923219,1.4915288811621037,0.3437531161881959,0.804402628386922,1.937193082314475,0.5063988095238081,True,3.231299999999822,0.144005478020865,0.109230769230813,0.3114876984230408,1,13,9.099674701690674,50,,101,-0.4298934510263969,0.3998016886216653,-1.220425424899016,-0.8788954141459316,6.4e+277,2026-09-11T18:43:55
1.1,CRRA,True,2.779998453661392e-13,1.3232994069189985e-05,0.7778,0.8667,0.6073183859911023,1.4409985386321207,0.3437123381217298,0.8042629732706056,1.9357361052660522,0.5063988095238077,True,3.2313000000006955,0.14310933470676424,0.10923076923085971,0.31234576459892455,1,12,400.0070493221283,45,45.0,101,-0.49870210156388617,0.3653363028823259,-1.2203704294388078,-0.8783166524000248,64e0276,2026-09-11T18:55:33
1.2,CRRA,True,2.1571633368466792e-13,1.841462067209143e-05,0.7778,0.8667,0.5735161496254921,1.3996878144672835,0.34367198636322965,0.8041247857174134,1.9342952686673573,0.5063988095238179,True,3.231299999999151,0.14230316849345137,0.10923076923089316,0.31303373550599034,1,11,295.54985904693604,45,45.0,101,-0.555969183043729,0.33624922208909463,-1.2203160024975028,-0.8777438736351103,64e0276,2026-09-11T19:01:31
1.3,CRRA,True,5.295763827461997e-14,1.3719219965624418e-05,0.7778,0.8667,0.546441521757668,1.3654232035828948,0.3436332537431941,0.8039921500973513,1.9329130963212242,0.506398809523811,True,3.231299999999727,0.14157221444065254,0.10923076923077266,0.313595130428578,1,11,294.56005001068115,45,45.0,101,-0.60432798210898,0.31146441983955314,-1.2202637534581233,-0.8771940146968515,64e0276,2026-09-11T19:07:29
1.4,CRRA,True,8.093525849517391e-14,4.806077503793915e-05,0.7778,0.8889,0.524281784285503,1.3365713230471263,0.3435955980193788,0.8038632088345011,1.9315701506243774,0.506398809523824,True,3.2313000000000156,0.14090564969525748,0.10923076923069046,0.314057743378274,1,11,295.3332824707031,45,45.0,101,-0.6457259829301385,0.29010762071512874,-1.2202129514704263,-0.8766593842548985,64e0276,2026-09-11T19:13:31
