ρ,preferences,requested,residual,verifyResidual,occupancyι,occupancys,β,ω,η0,X0,KY,sr,τ,ι,nRoots,nfev,time,nι,ns,nτ,x0,x1,x2,x3,commit,timestamp
0.5,CRRA,True,9.547918011776346e-15,0.0012438280551582137,0.8,0.6444,2.6314657136861492,5.2454622721456134,0.3260445331751344,0.4135975015641048,3.2313000000000307,0.1534204511728028,0.124999999999995,0.3508830258093809,1,13,563.2153029441833,45,45.0,101,0.967540996536677,1.6573633737406253,-1.1207213021133193,-0.8828619965119056,9438bae,2026-08-24T17:58:41
0.6,CRRA,True,3.736566611678427e-12,0.0004919373975126318,0.7778,0.6667,1.7787395166862723,4.02286519132862,0.32603581046685476,0.41350067120758965,3.231299999987926,0.15193075058926847,0.125000000000207,0.3559806191992963,1,12,527.3686993122101,45,45.0,101,0.5759049767636705,1.3919943829179084,-1.1207480555904488,-0.8830961412849089,9438bae,2026-08-24T17:47:23
0.7,CRRA,True,4.463096558993129e-14,0.0001768369938777159,0.8,0.6889,1.3421703838654397,3.318889709443376,0.32604080146597053,0.4135560735859713,3.2312999999998557,0.15055989138590956,0.12499999999998845,0.35939416997977613,1,12,529.1446418762207,45,45.0,101,0.29428799313232334,1.199630302129478,-1.120732747575947,-0.8829621664910068,9438bae,2026-08-24T17:36:44
0.8,CRRA,True,1.2211753830371208e-10,0.00010176603204214985,0.8,0.6889,1.08566288959428,2.866313113091599,0.326053511961282,0.4136971956026836,3.2312999996054015,0.1493003149245036,0.12500000000370382,0.36181734402694055,1,11,442.7877676486969,45,45.0,101,0.08219075858488409,1.0530265743427911,-1.120693763965597,-0.8826209843564964,9438bae,2026-08-24T17:26:03
0.9,CRRA,True,1.575839458922701e-11,9.209486913741571e-06,0.8,0.7111,0.9211015849007936,2.5545020009339328,0.3260690391798619,0.4138696489461136,3.2312999999749508,0.14822148461266835,0.12499999999966148,0.36360299021013376,1,12,473.15494418144226,45,45.0,101,-0.08218495032848551,0.9378572930860924,-1.1206461434115902,-0.8822042123529725,9438bae,2026-08-24T17:16:43
1.0,LOG,True,1.5594703306476276e-10,6.435062280374382e-06,0.8,,0.8076100253617613,2.3278102998746415,0.32608676975160256,0.41406665142030663,3.2313000005039116,0.14724658185612052,0.1249999999554199,0.3649637199809331,1,25,25.926619291305542,50,,101,-0.21367597884913125,0.8449280402408581,-1.1205917681488011,-0.8817283243460721,9438bae,2026-08-24T15:30:42
1.1,CRRA,True,1.7888135417365447e-11,1.8612691944586146e-05,0.8,0.7333,0.7253238724893993,2.1563896732877033,0.3261052338152352,0.4142718926993831,3.2312999999421983,0.14636338950647282,0.12499999999847942,0.366027270856901,1,12,527.100239276886,45,45.0,101,-0.3211370032024036,0.7684353757171428,-1.1205351465909268,-0.8812327750691888,9438bae,2026-08-24T15:41:47
1.2,CRRA,True,5.906386491005833e-14,2.5083176232953974e-05,0.8,0.7333,0.6632699489102847,2.0227685902408834,0.32612416292121443,0.41448239646457863,3.231299999999809,0.14556109787327298,0.12499999999995957,0.36687260672579025,1,11,502.2213089466095,45,45.0,101,-0.4105732089039278,0.7044671622412002,-1.1204771022706945,-0.8807247746341387,9438bae,2026-08-24T15:52:07
1.3,CRRA,True,4.003186671042158e-13,1.0530465373914666e-05,0.8,0.7556,0.615003091445033,1.9160833480329844,0.32614294903954283,0.41469140372148133,3.2313000000001306,0.1448281722069934,0.12499999999959968,0.36755599224154795,1,11,510.578976392746,45,45.0,101,-0.4861279844483622,0.6502831796635816,-1.120419499739495,-0.880220640853543,9438bae,2026-08-24T16:02:40
1.4,CRRA,True,2.7422508708241367e-14,1.1715817370694381e-05,0.8,0.7556,0.5764758419783147,1.8290613091266157,0.32616148236943243,0.41489769002068955,3.2312999999999192,0.14415150623281384,0.12500000000000044,0.36811561268474013,1,11,475.40679907798767,45,45.0,101,-0.5508218447853668,0.6038028894191606,-1.120362675566602,-0.8797233192155995,9438bae,2026-08-24T16:12:14
