ρ,preferences,requested,residual,verifyResidual,hoursDrift,β,ω,λ,X,R,τ,sr,h,hbar,nfev,time,n,ns,smoothKnots,interpKind,x0,commit,timestamp
0.5,CRRA,True,9.46465128492946e-15,0.00031930579690207794,,1.435362039054345,1.62536614564091,,8.726493695079615,1.8698875845279468,0.11857142857143806,0.1892602781539782,0.6944175396723723,0.41341437897964745,7,18.82380986213684,101,150,4,linear,0.4857331107952794,84ef022,2026-08-22T21:15:16
0.6,CRRA,True,2.525757381022231e-15,0.0001674663170283669,,1.1611736960559225,1.4315279504801655,,8.602731910124284,1.9133579244368641,0.11857142857143209,0.1846436808313001,0.6921323208462895,0.4134143789796476,8,22.090492248535156,101,150,4,linear,0.3587423706746482,84ef022,2026-08-22T21:14:52
0.7,CRRA,True,5.2735593669694936e-15,2.6781119615890137e-05,,0.9973561779560496,1.3176302389563677,,8.493664306948117,1.9531903296754294,0.11857142857143496,0.18061657689223026,0.6900973654627177,0.41341437897964733,8,24.494706392288208,101,150,4,linear,0.2758348496455471,84ef022,2026-08-22T21:14:24
0.8,CRRA,True,1.0685896612017132e-15,0.00019241524259841492,,0.8902838883438601,1.2432150502882209,,8.40350375753745,1.986878186333196,0.11857142857142879,0.17723399802406808,0.6883999414082494,0.4134143789796482,8,22.791698694229126,101,150,4,linear,0.21770080664566166,84ef022,2026-08-22T21:13:54
0.9,CRRA,True,6.342149028171207e-15,0.0004623066461773989,,0.8152039468106842,1.1931053140526822,,8.32528624495757,2.0169038180217593,0.11857142857142375,0.1743161427178446,0.686915979202399,0.413414378979647,8,19.16725206375122,101,150,4,linear,0.17655941587736285,84ef022,2026-08-22T21:13:26
1.0,LOG,True,1.1102230246251565e-16,1.3877787807814457e-17,,0.7606187875474917,1.1636793615192413,,8.263663073210816,2.040363488804507,0.11857142857142858,0.17197210569100205,0.6857392773460561,0.41341437897964756,9,1.1237390041351318,101,50,4,linear,0.15158684875011635,84ef022,2026-08-22T21:07:27
1.1,CRRA,True,2.8449465006019636e-15,0.00019743809267404322,,0.7177450490229594,1.1310434383381596,,8.199068377545869,2.0668262189493944,0.11857142857142691,0.1696161817482027,0.6844985654890333,0.4134143789796477,8,42.61324453353882,101,150,4,linear,0.1231406034151614,84ef022,2026-08-22T21:08:26
1.2,CRRA,True,9.020562075079397e-16,0.00017158342908930868,,0.6844206255047689,1.1111256250692148,,8.147362270699896,2.087844321847171,0.11857142857142969,0.16768530748266539,0.6834999833050215,0.41341437897964767,8,50.37676811218262,101,150,4,linear,0.10537357813480502,84ef022,2026-08-22T21:09:21
1.3,CRRA,True,8.326672684688674e-17,0.0002250043060356005,,0.657501803300934,1.095625508216257,,8.101864793236087,2.1065695413278283,0.11857142857142822,0.16597703726488933,0.6826172661578472,0.4134143789796477,8,19.747459888458252,101,150,4,linear,0.09132544055292986,84ef022,2026-08-22T21:09:46
1.4,CRRA,True,5.967448757360216e-16,0.0002358524396261774,,0.6353015285384545,1.0833136947838615,,8.061103888030207,2.123508270175536,0.11857142857143,0.16445668078099687,0.6818232011574794,0.41341437897964745,7,25.272814750671387,101,150,4,linear,0.08002457961740408,84ef022,2026-08-22T21:10:18
1.5,CRRA,True,1.4016565685892601e-15,0.00018492187294212592,,0.6167825598208353,1.0736237718813617,,8.024863038446433,2.1388001469598485,0.11857142857142854,0.16310045145255947,0.6811145935155812,0.41341437897964745,7,18.659014463424683,101,150,4,linear,0.0710396292045282,84ef022,2026-08-22T21:10:42
1.6,CRRA,True,1.4849232954361469e-15,0.0002186174997236695,,0.6009953775826301,1.065644608277475,,7.992150478440348,2.152685635765606,0.11857142857142797,0.16186959669784212,0.6804728566272218,0.4134143789796474,7,27.475987911224365,101,150,4,linear,0.06357988205004855,84ef022,2026-08-22T21:11:15
1.7,CRRA,True,1.2073675392798577e-15,0.0002415571416713308,,0.5874857094242052,1.0591161792702548,,7.962793507972813,2.165239636189872,0.11857142857143031,0.1607688493746642,0.6798952252821345,0.4134143789796478,7,20.487658977508545,101,150,4,linear,0.05743476718386386,84ef022,2026-08-22T21:11:41
1.8,CRRA,True,5.689893001203927e-16,0.00025261205000655373,,0.5757320616470781,1.0537404014075191,,7.935957736482584,2.176814291539585,0.11857142857142984,0.1597615847757194,0.6793657664256347,0.4134143789796477,8,27.292627811431885,101,150,4,linear,0.052346121307880376,84ef022,2026-08-22T21:12:16
1.9,CRRA,True,4.85722573273506e-16,0.0002669878925845026,,0.5654344670368506,1.049235239040276,,7.9115114372005015,2.1874196870787146,0.11857142857142783,0.15884219070211242,0.6788822507963538,0.41341437897964745,7,21.28187131881714,101,150,4,linear,0.048061555027079615,84ef022,2026-08-22T21:12:42
2.0,CRRA,True,3.039235529911366e-15,0.00027448293020429504,,0.5563256288283533,1.0455076307877331,,7.888902601133928,2.1972982197418727,0.11857142857143471,0.15799665700690768,0.6784340537538702,0.4134143789796472,7,15.890587091445923,101,150,4,linear,0.04450253855693465,84ef022,2026-08-22T21:13:02
