settings,τ_t0,τ_t0p1,s_t0,h_t0,ι_t0
"production (nι=50, linear)",0.12500000000158018,0.21251517665827308,0.02116600806191287,0.5261888516500531,0.36177905872011146
"nι=50, cubic",0.12563025024325922,0.21384222775474834,0.021140524991540146,0.5261852221915869,0.3621567055298646
"nι=45, linear",0.12595895308669153,0.21488590160782212,0.021128048556171525,0.5262256132525035,0.36236607983865365
"common (nι=45, cubic)",0.125618145220089,0.2138187067253667,0.021140857238041686,0.5261846035847855,0.36214950977775473
"nι=60, cubic",0.1256205397228084,0.21383437190213658,0.02114238387085779,0.5261950549021851,0.3621513084505754
"nι=90, cubic",0.12562747798179197,0.21383661431724094,0.021141780818898233,0.5261918321957433,0.36215504981888835
