ρ,δ,pref,ok,time,dτ_t0,dτ_t0p1,dι_t0,ds_t0,maxdτ
0.8,-0.2,CRRA,True,25.958096504211426,-0.0361109562050682,-0.03264760032790845,-0.01947815001060249,-0.0031363747510571374,0.03868093301834108
0.9,-0.1,CRRA,True,26.177026510238647,-0.01792918757846078,-0.01568228052892512,-0.009895520783928358,-0.0014283094099142718,0.020386150879895246
0.95,-0.05,CRRA,True,26.985447645187378,-0.008646257772986346,-0.007146638467862093,-0.004820845982061672,-0.0006978406378914566,0.011092087302204665
0.98,-0.02,CRRA,True,26.77634572982788,-0.0030701733924300006,-0.002059967842302529,-0.001711920099817188,-0.0002865813779301049,0.005555151670924657
0.99,-0.01,CRRA,True,27.65960955619812,-0.0012205161998184444,-0.00037154059651642313,-0.0006701918469366741,-0.0001557865448887398,0.003481533274670573
0.995,-0.005,CRRA,True,25.98605990409851,-0.00029250750750818566,0.00047772147901023465,-0.00014554060592708584,-9.076229695430954e-05,0.002500011261442961
0.998,-0.002,CRRA,True,26.737438678741455,0.00026388691561904376,0.0009858535146808622,0.00016961248777719318,-5.174605280046721e-05,0.0023559434502299637
1.002,0.002,CRRA,True,26.969937562942505,0.001003884024656343,0.0016625351176586256,0.00058953483700247,3.529526443439568e-07,0.003088555966378456
1.005,0.005,CRRA,True,26.33689308166504,0.0015590069410867935,0.002167774513373466,0.0009050107932575546,3.942153073222335e-05,0.00363360704738884
1.01,0.01,CRRA,True,45.59335494041443,0.0024848708104571182,0.0030113565840267364,0.0014322465019073194,0.00010412800667975244,0.004541311480206006
1.02,0.02,CRRA,True,26.50790548324585,0.0043361546904900905,0.00470338550181526,0.0024905687254399567,0.00023148356121456895,0.006365668909610031
1.05,0.05,CRRA,True,26.451175689697266,0.009887400079018338,0.009738598712533686,0.00569410973696155,0.0005999440835707838,0.011891146932448235
1.1,0.1,CRRA,True,26.414438486099243,0.019080004152398328,0.018031223761322046,0.011102026113959218,0.0011803230293710304,0.02100874842614095
1.2,0.2,CRRA,True,26.46414279937744,0.036951642081378216,0.03404760870343648,0.021991350353194994,0.0022313200444232517,0.038820163679214134
