ρ,d_τ_t0,d_τ_t0p1,d_s_t0,d_s_t0p1,d_ι_t0,d_ι_t0p1,d_c10_t0,d_c10_t0p1,d_c20_t0,d_c20_t0p1,τ_base_t0,τ_reform_t0
0.98,0.07146470067555355,0.0544496762160489,-0.011187522677159834,-0.018783482658980333,-0.05285510961815765,-0.05218692308948247,0.03894808954861584,0.033475820511996046,0.11243662463863591,0.06531067930492562,0.1250000000001228,0.13393308758457576
0.99,0.07191689440891924,0.05474475222283304,-0.011242930349022573,-0.01884500861520022,-0.053091635114577596,-0.05246201827372887,0.03914548047046407,0.03363113775368909,0.11279438115231,0.06568474452876294,0.12499999999938542,0.13398961180045613
1.0,0.07512287405881746,0.06089311988667001,-0.012376166443628156,-0.021138665192258932,-0.05289264876407829,-0.050976121622081094,0.03969943918754848,0.03311470454241716,0.11160203703298,0.06696340934795719,0.12500000000158018,0.13439035925905107
1.01,0.07275354174966853,0.05529578336873109,-0.011340381685362,-0.018945852829825194,-0.05355119445167866,-0.05299848932228712,0.039523229088540335,0.033930334727693134,0.11347343846248159,0.06640076316645427,0.12500000000224665,0.13409419272111867
1.02,0.07314242597064857,0.05556198944798929,-0.011384242358233543,-0.018993932583469375,-0.05377411993510606,-0.05325836217159985,0.03970457704084751,0.034076849008386034,0.11379702567489414,0.066745158137401,0.12500000000025582,0.1341428032466056
