ρ,spec,phi,p,scenario,θpinned,θ_t0,θ_t1,θ_t2,τ_t0,sr_t0,ww_t0,τ_t1,sr_t1,ww_t1
2.0,scale,0.5,0.0856124520441874,baseline,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1443925688587002,0.21220152804047232,39.391389735002974,0.191014476784036,0.1978539806295548,39.06904101491413
2.0,scale,0.5,0.0856124520441874,baseline,False,0.7382263650417816,0.7389958574086747,0.7821081346235541,0.14438861757207355,0.21219831304787296,39.39415732723044,0.1914525553061667,0.19748579562138013,39.115541095213324
2.0,scale,0.5,0.0856124520441874,acute,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.22132694959934718,0.1820300915693573,39.391358944147356,0.22035474655923282,0.1855136980685685,38.877265430756324
2.0,scale,0.5,0.0856124520441874,acute,False,0.7382263650417816,0.8148636636861111,0.821133865356692,0.2221188253673624,0.18142864482780582,39.4741774374935,0.2207425750262179,0.18495098286496062,38.96743417666335
2.0,scale,0.5,0.0856124520441874,frIncome,True,0.49525006077119277,0.49525006077119277,0.49525006077119277,0.12209932149073674,0.22143075012866936,40.43400618826847,0.17009291246581176,0.20551932515577562,40.22245151204467
2.0,scale,0.5,0.0856124520441874,frIncome,False,0.49525006077119277,1.0,1.0,0.12529673944655756,0.21376982275121803,41.022777324848484,0.19060474162069319,0.19614046477988728,40.516745207884874
2.0,scale,0.5,0.0856124520441874,frLeisure,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1450871293124647,0.20947041983966175,35.39734470629439,0.19118276055924227,0.19722852571615934,34.86586985421044
2.0,scale,0.5,0.0856124520441874,frLeisure,False,0.7382263650417816,0.7387854131204226,0.7822809227681642,0.14508086461121036,0.20946937928863113,35.399627379574596,0.19162208837149342,0.19686091751598794,34.90742448141552
2.0,scale,0.5,0.0856124520441874,frVoting,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.16179241115870388,0.20628476577983074,39.23129576783072,0.20738511911193938,0.19306503972924186,38.81235815596648
2.0,scale,0.5,0.0856124520441874,frVoting,False,0.7382263650417816,0.28100618444404635,0.2914340383205583,0.15501805156438084,0.2083046927427558,38.78160596668113,0.22077675047418824,0.19198654077922692,38.10111513376629
2.0,scale,0.5,0.0856124520441874,frBoth,True,0.49525006077119277,0.49525006077119277,0.49525006077119277,0.14227311493469863,0.21443027835667977,40.22748578130299,0.18900016556253701,0.1999067763455987,39.90166545999476
2.0,scale,0.5,0.0856124520441874,frBoth,False,0.49525006077119277,0.6921426951175002,0.7510538898160206,0.14405539625167257,0.2124889582524202,40.440548192947375,0.19165451859894087,0.1975996230609539,40.16186889527414
2.0,flat,0.5,0.1692200490967439,baseline,True,0.7331876492883308,0.7331876492883308,0.7331876492883308,0.14439275298577203,0.21218340330640856,39.39138763956606,0.19095227771756224,0.1978423618787688,39.06972074686411
2.0,flat,0.5,0.1692200490967439,baseline,False,0.7331876492883308,0.733503057632152,0.7508994910213946,0.14439138379676034,0.21218186033990208,39.3924801636146,0.19112445187744903,0.19769816409584584,39.08794148130982
2.0,flat,0.5,0.1692200490967439,acute,True,0.7331876492883308,0.7331876492883308,0.7331876492883308,0.22123989687924034,0.18201408957355722,39.392771455103,0.22026623745662177,0.18549886660333284,38.87854932306731
2.0,flat,0.5,0.1692200490967439,acute,False,0.7331876492883308,0.7641935348965476,0.7661348254158835,0.22155322565208213,0.18177818537699378,39.42528054756925,0.22041725084178176,0.18528225524002803,38.91334355865554
2.0,flat,0.5,0.1692200490967439,frIncome,True,0.4802260503991003,0.4802260503991003,0.4802260503991003,0.118434869443338,0.22293834949540595,40.46613454709908,0.16667778545965936,0.20672873861640378,40.27817753655478
2.0,flat,0.5,0.1692200490967439,frIncome,False,0.4802260503991003,1.0,1.0,0.12153588952945513,0.21512171440680705,41.05213194567554,0.1877600865764426,0.19712288877196132,40.55979315140996
2.0,flat,0.5,0.1692200490967439,frLeisure,True,0.7331876492883308,0.7331876492883308,0.7331876492883308,0.14508840294041825,0.20945259466555174,35.397288363917355,0.1911203628712717,0.19721697834220514,34.86646723617463
2.0,flat,0.5,0.1692200490967439,frLeisure,False,0.7331876492883308,0.7334174915133412,0.7509546861802032,0.14508607505848964,0.20945191083466336,35.39818961868406,0.19129292438752887,0.19707320089705724,34.882736512593475
2.0,flat,0.5,0.1692200490967439,frVoting,True,0.7331876492883308,0.7331876492883308,0.7331876492883308,0.16174161288612235,0.20627149541930362,39.23208182498824,0.20727969810874183,0.19305658064207734,38.813879981680834
2.0,flat,0.5,0.1692200490967439,frVoting,False,0.7331876492883308,0.4577231641818347,0.46945469424734104,0.15800784448727972,0.2076637189282949,38.97081750017021,0.21440224008652675,0.1926832709901507,38.42221822199722
2.0,flat,0.5,0.1692200490967439,frBoth,True,0.4802260503991003,0.4802260503991003,0.4802260503991003,0.13870425576909104,0.21586079616387455,40.25968386002202,0.1856660650219566,0.2010623270922239,39.95673349652989
2.0,flat,0.5,0.1692200490967439,frBoth,False,0.4802260503991003,0.7156980094483392,0.7373148769935084,0.14053978429855765,0.21282796043652913,40.51753952973214,0.19135573123966268,0.1976160505395739,40.16442546640586
