spec,phi,p,pos,date,ν,θ,τ,sr,workweek,R,τExo,srExo,workweekExo
scale,0.5,0.40220346129051066,0,1960,1.405486131972424,0.7382263650417814,0.129818018047537,0.24184648281604565,39.22859493999126,2.4906345232025395,0.12981801804752638,0.24184648281605167,39.228594939991495
scale,0.5,0.40220346129051066,1,1990,1.405486131972424,0.7382263650417814,0.129818018047537,0.23772615036745962,39.28376366744564,2.4930858809052845,0.1298180180475265,0.23772615036746494,39.28376366744588
scale,0.5,0.40220346129051066,2,2020,1.339667762739423,0.7382263650417814,0.14428571428571527,0.21989104786681707,39.392710325265625,2.4430000025871625,0.14428571428570627,0.21989104868315543,39.392710265653776
scale,0.5,0.40220346129051066,3,2050,1.1219986438186136,0.7382264140361937,0.19789892402821974,0.20258302680890106,39.11886308310101,2.2496859292169247,0.19789892464096495,0.20282873022452222,39.0995104433703
scale,0.5,0.40220346129051066,4,2080,1.0688804499803877,0.7535195697803302,0.2123110181811706,0.19877899845313526,38.92108476748976,2.2497806167101766,0.21252271995457767,0.199130785008334,38.88831037939014
scale,0.5,0.40220346129051066,5,2110,1.0688804499803877,0.7642352190248946,0.21214642081285628,0.1988205357869056,38.84612950771194,2.284879593494457,0.21252271995457767,0.199130785008334,38.81302082020682
scale,0.5,0.40220346129051066,6,2140,1.0688804499803877,0.7642352190145306,0.21214642081302187,0.19882053578685618,38.81934573186169,2.2971697685117207,0.21252271995457767,0.19913078500833398,38.78611777614089
scale,0.5,0.40220346129051066,7,2170,1.0688804499803877,0.7642352190150262,0.2121464208130141,0.1843958028838985,39.02978534859551,2.3107090735773084,0.21252271995457767,0.18492881684834067,38.97771973768801
scale,0.25,0.2569308699035509,0,1960,1.405486131972424,0.7382263650417815,0.12982445634075593,0.24184872343755554,39.228402693054356,2.490611448574704,0.12982445634074535,0.2418487234375616,39.22840269305458
scale,0.25,0.2569308699035509,1,1990,1.405486131972424,0.7382263650417815,0.12982445634075593,0.23772623895005737,39.28360243828655,2.4930641735193997,0.12982445634074546,0.23772623895006278,39.28360243828678
scale,0.25,0.2569308699035509,2,2020,1.339667762739423,0.7382263650417815,0.14428571428571627,0.21988525415466278,39.39271027094058,2.443000000228898,0.14428571428570722,0.21988525422707847,39.392710265653776
scale,0.25,0.2569308699035509,3,2050,1.1219986438186136,0.7382263693825698,0.19787836510742898,0.20259580422338566,39.117923401338444,2.2496895952052665,0.19787836516165777,0.20282663728407035,39.09972865871275
scale,0.25,0.2569308699035509,4,2080,1.0688804499803877,0.7525934858323988,0.21229831803471036,0.19886457103243307,38.91410441728108,2.2494377783625805,0.21249745406129583,0.19913001508503447,38.888635119231516
scale,0.25,0.2569308699035509,5,2110,1.0688804499803877,0.758393406911732,0.212210419991567,0.1988867619291277,38.839013383606,2.2840807383005397,0.21249745406129583,0.19913001508503445,38.81338339281328
scale,0.25,0.2569308699035509,6,2140,1.0688804499803877,0.7583934069112069,0.2122104199915752,0.1988867619290846,38.81218116164496,2.2963911682967404,0.21249745406129583,0.19913001508503447,38.78649384934827
scale,0.25,0.2569308699035509,7,2170,1.0688804499803877,0.7583934069138949,0.2122104199915335,0.18440813485768284,39.02624130157586,2.310087144759651,0.21249745406129583,0.18491515671057784,38.97828219810806
