spec,phi,p,scenario,θpinned,θ_tm1,θ_t0,θ_t1,τ_t0,sr_t0,ww_t0,τ_t1,sr_t1,ww_t1
scale,0.5,0.40761198514956626,baseline,True,0.7382263650417814,0.7382263650417814,0.7382263650417814,0.1442857142857062,0.21989457523451886,39.3927102651395,0.19791142780747412,0.20283000595583378,39.099377764367034
scale,0.5,0.40761198514956626,baseline,False,0.733603174533502,0.73822638973813,0.7478066536167453,0.1442857140406116,0.21973356919012202,39.40439815139667,0.1977936629993501,0.2023813249321162,39.13686746850702
scale,0.5,0.40761198514956626,mild,True,0.7382263650417814,0.7382263650417814,0.7382263650417814,0.1852930903970519,0.20552208877333838,39.06394513423738,0.2147659573314469,0.1964598083918339,38.88928738052924
scale,0.5,0.40761198514956626,mild,False,0.751778234468423,0.7521816889350574,0.7574479250553079,0.18512360231580977,0.2052443643210871,39.08839812154913,0.2145087889504041,0.19594829866703523,38.93549366763417
scale,0.5,0.40761198514956626,acute,True,0.7382263650417814,0.7382263650417814,0.7382263650417814,0.23254149096519366,0.18993388671883626,38.63403287074854,0.23254149096519366,0.1899338867188362,38.634032870748534
scale,0.5,0.40761198514956626,acute,False,0.7783089776492155,0.778308977649441,0.7783089776491506,0.23193553850350443,0.18943721371221253,38.68802603491759,0.2319355385035095,0.1894372137122116,38.688102167020766
scale,0.5,0.40761198514956626,frIncome,True,0.495250060771192,0.495250060771192,0.495250060771192,0.11221492108168556,0.24103945085930403,40.98401958297788,0.16710131244045673,0.22264404928286555,40.68152441325506
scale,0.5,0.40761198514956626,frIncome,False,1.0,1.0,1.0,0.1379730051511762,0.21836354159010646,40.99344671037451,0.19102881117991427,0.20140656014651367,40.641550553349944
scale,0.5,0.40761198514956626,frLeisure,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.14428571428570608,0.21989457523451886,34.74238642151045,0.19791142780747467,0.2028300059558337,34.48368192965822
scale,0.5,0.40761198514956626,frLeisure,False,0.7336031745216086,0.7382263897401147,0.7478066536172767,0.14428571404059198,0.21973356919011827,34.752694548524005,0.19779366299934323,0.20238132493210126,34.51674596052435
scale,0.5,0.40761198514956626,frVoting,True,0.7382263650417814,0.7382263650417814,0.7382263650417814,0.15353489395639294,0.21532766117021304,39.18839979628151,0.20709919636728552,0.1985258893989173,38.88998459658847
scale,0.5,0.40761198514956626,frVoting,False,0.529111772482423,0.5329670385482297,0.5463584679064014,0.15927776589481904,0.21661202121913803,38.88415708686713,0.2129849957955676,0.19965994618576471,38.57964123117189
scale,0.5,0.40761198514956626,frBoth,True,0.495250060771192,0.495250060771192,0.495250060771192,0.12321606138390225,0.23535553938029008,40.731887387446406,0.1780481111183566,0.2172731846958491,40.423525464012265
scale,0.5,0.40761198514956626,frBoth,False,1.0,1.0,1.0,0.1379730051511762,0.21836354159010646,40.95791262568292,0.19102881117991435,0.2014065601465137,40.628942152808435
scale,0.5,0.40761198514956626,frAll,True,0.4952500607711916,0.4952500607711916,0.4952500607711916,0.12321606138390233,0.23535553938028989,35.9234731951008,0.1780481111183566,0.21727318469584903,35.65151350942489
scale,0.5,0.40761198514956626,frAll,False,1.0,1.0,1.0,0.13797300515117616,0.2183635415901064,36.1228160713582,0.1910288111799143,0.20140656014651384,35.832680683035186
scale,0.5,0.40761198514956626,France,True,1.0,1.0,1.0,0.21285714285714272,0.19193602100310828,35.486405391517586,0.23292205931404333,0.1847110372155915,35.37151362208883
scale,0.25,0.26020440381230764,baseline,True,0.7382263650417815,0.7382263650417815,0.7382263650417815,0.14428571428570652,0.2198885948844936,39.392710265129715,0.19789022028070954,0.2028278434512449,39.0996028245004
scale,0.25,0.26020440381230764,baseline,False,0.7342249198400566,0.7382264478079583,0.747409947347125,0.14428571346484814,0.21973424879739453,39.40392256939233,0.19777708607478214,0.20248092104379378,39.128910391324126
scale,0.25,0.26020440381230764,mild,True,0.7382263650417815,0.7382263650417815,0.7382263650417815,0.1852763907302939,0.20551836407065766,39.064209599378096,0.21473919148042986,0.19645789247037432,38.88965939855523
scale,0.25,0.26020440381230764,mild,False,0.7510056241221541,0.7513636230405604,0.7537572441515166,0.18511647827854552,0.20529903436718888,39.0839876967273,0.21453342303563833,0.195963117826014,38.933580917055814
