ρ,spec,phi,p,scenario,θpinned,θ_t0,θ_t1,θ_t2,τ_t0,sr_t0,ww_t0,τ_t1,sr_t1,ww_t1
0.5,flat,0.5,1.4446979520090033,baseline,True,0.6910529501184096,0.6910529501184096,0.6910529501184096,0.1440445726618131,0.22787295263945923,39.39581340483068,0.2013786000723835,0.20934849519688833,39.17670602595669
0.5,flat,0.5,1.4446979520090033,baseline,False,0.6910529501184096,0.6920914064207252,0.694514576667274,0.14403995590943572,0.22784613257830494,39.39688771309974,0.20133798540078526,0.2092686869782655,39.1806647890675
0.5,flat,0.5,1.4446979520090033,acute,True,0.6910529501184096,0.6910529501184096,0.6910529501184096,0.23671569401136355,0.198399042014542,39.23726036940161,0.2380955821857736,0.19623901898878165,38.939398516702596
0.5,flat,0.5,1.4446979520090033,acute,False,0.6910529501184096,0.7022719958009793,0.6981826017524022,0.23664133369928567,0.19812536339962156,39.251467340083416,0.23778972901869366,0.1961311018325384,38.94828597071089
0.5,flat,0.5,1.4446979520090033,frIncome,True,0.37949617623420123,0.37949617623420123,0.37949617623420123,0.10211638888443439,0.26806766741463867,40.5688704027255,0.1623821688659051,0.25041927707804057,40.87702168718954
0.5,flat,0.5,1.4446979520090033,frIncome,False,0.37949617623420123,0.8769081013049934,0.8770342562894551,0.10573342522571819,0.24193814469868638,41.13337357226982,0.1825704660287473,0.21739902757598645,40.92476917444726
0.5,flat,0.5,1.4446979520090033,frLeisure,True,0.6910529501184096,0.6910529501184096,0.6910529501184096,0.14184215235491177,0.23174775124966293,34.781646676908814,0.20040781587036333,0.21107065505635383,34.371805949705184
0.5,flat,0.5,1.4446979520090033,frLeisure,False,0.6910529501184096,0.6919620767429309,0.6960947802901281,0.14183927391303014,0.23172356631235558,34.782423781162684,0.20036015943552604,0.21095212885847617,34.37691828474905
0.5,flat,0.5,1.4446979520090033,frVoting,True,0.6910529501184096,0.6910529501184096,0.6910529501184096,0.14712584227419326,0.22589680483504426,39.36588894683456,0.20456055294462594,0.2072706546060389,39.11155137484984
0.5,flat,0.5,1.4446979520090033,frVoting,False,0.6910529501184096,0.6646927272331966,0.666890577222546,0.14727756511329965,0.2265683448432546,39.33647485753417,0.20531663371858824,0.20769591500818924,39.083016867964226
0.5,flat,0.5,1.4446979520090033,frBoth,True,0.37949617623420123,0.37949617623420123,0.37949617623420123,0.10748233100509386,0.26452954199290274,40.51368624365663,0.1677394387467666,0.24670557938321558,40.76784576686453
0.5,flat,0.5,1.4446979520090033,frBoth,False,0.37949617623420123,0.8488709730492229,0.8489505498640056,0.110605399036112,0.24026533288236154,41.04648203760547,0.18431499682896713,0.21671523175941876,40.845252598695
