ρ,preferences,family,scenario,effect,τ,sr,srOverY,workweek,hbar,h,R
0.5,CRRA,baseline,Baseline,baseline,0.1442857142857193,0.22731022974357035,0.15911716082049923,39.392710265653776,0.46896083649587794,0.672259612256926,2.442999999999967
0.5,CRRA,theta,$\theta = 0$,full,0.19615989845130072,0.20472205271032962,0.14330543689723071,37.798193634710664,0.44997849565131715,0.6450482544999645,2.3733516768168945
0.5,CRRA,theta,$\theta = 0$,ee,0.1442857142857193,0.23610294022392234,0.16527205815674562,38.454399253225255,0.4577904673003003,0.6562467867077892,2.40211937096868
0.5,CRRA,theta,$\theta = 1$,full,0.11449700986502563,0.24441747724897206,0.17109223407428042,39.94811433222156,0.47557278966930394,0.6817379070967284,2.4670602883627706
0.5,CRRA,theta,$\theta = 1$,ee,0.1442857142857193,0.22438299159818398,0.15706809411872877,39.6961809759353,0.47257358304684843,0.6774385172027749,2.4561589717039043
0.5,CRRA,ageing,Mild ageing,full,0.1861769277166586,0.2137093226472247,0.14959652585305727,39.357067003742735,0.46853651194931795,0.6716513391711114,2.220430755052693
0.5,CRRA,ageing,Mild ageing,ee,0.1442857142857193,0.2333079704028586,0.16331557928200102,39.860352634592154,0.4745280075546681,0.6802402024599699,2.2402687523846305
0.5,CRRA,ageing,Acute ageing,full,0.23467350386921992,0.19838245410506983,0.13886771787354887,39.27042013355769,0.4675050015899722,0.6701726597159265,1.9864620485333848
0.5,CRRA,ageing,Acute ageing,ee,0.1442857142857193,0.23997548405241337,0.16798283883668935,40.407231816877925,0.48103847401045113,0.689573015169619,2.0265426974881797
0.5,CRRA,french,Income distribution,full,0.1425559545311148,0.22716861008685887,0.1590180270608012,40.95789769792177,0.48759402021335413,0.7915143040888595,2.738852789053882
0.5,CRRA,french,Income distribution,ee,0.1442857142857193,0.22563180828078971,0.1579422657965528,40.943058866836495,0.4874173674623388,0.7912275426162227,2.738158160920818
0.5,CRRA,french,Leisure preferences,full,0.14112490156543878,0.2326313136506431,0.16284191955545016,33.30984680924697,0.39654579534817797,0.5684519940189582,2.1723670579564662
0.5,CRRA,french,Leisure preferences,ee,0.1442857142857193,0.23110100426559455,0.16177070298591617,33.27921750702321,0.3961811607978951,0.5679292870841526,2.170968579959445
0.5,CRRA,french,Voting,full,0.14700892934023238,0.22546121624972593,0.15782285137480814,39.36731620291167,0.4686585262251386,0.6718262477420828,2.4418974968534513
