ρ,preferences,family,scenario,effect,τ,sr,srOverY,workweek,hbar,h,R
1.0,LOG,french,Income distribution,full,0.13276417568417054,0.22745408831108568,0.15921786181775996,40.31658612529226,0.3843173438652425,0.6674675378515204,2.4328963717827796
1.0,LOG,french,Income distribution,ee,0.14428571428571396,0.2215286264895969,0.1550700385427178,40.196919113401925,0.3831766195981863,0.6654863719477341,2.427839220880248
1.0,LOG,french,Leisure preferences,full,0.14428571428571385,0.2196242127951552,0.15373694895660864,35.104620954121785,0.3346343522379877,0.5983424262724367,2.253654649009843
1.0,LOG,french,Leisure preferences,ee,0.14428571428571396,0.21962421279455305,0.1537369489561871,35.10462095412898,0.3346343522380564,0.5983424262725595,2.2536546490101665
1.0,LOG,french,Voting,full,0.15323173984491725,0.21511204168622422,0.15057842918035694,39.30884862979764,0.37471109902153676,0.6700015902142212,2.4393582698282916
1.0,LOG,french,Voting,ee,0.14428571428571396,0.21962421279455296,0.15373694895618706,39.392710265653776,0.37551050899747734,0.671430973962159,2.442999999995838
2.0,CRRA,baseline,Baseline,baseline,0.14428571428506676,0.21217981424658017,0.1485258699726061,39.392710265653776,0.37493582817011506,0.6704034168142556,2.442999999992999
2.0,CRRA,theta,$\theta = 0$,full,0.15324634547084343,0.212834906439139,0.1489844345073973,38.4405344450346,0.3658731151082347,0.6541988470030848,2.401513076011532
2.0,CRRA,theta,$\theta = 0$,ee,0.14428571428506676,0.21526568395309822,0.15068597876716874,38.55206840587394,0.3669346840557476,0.6560969836870874,2.4063884943483886
2.0,CRRA,theta,$\theta = 1$,full,0.13714710152991877,0.21353595719013033,0.14947517003309121,39.73181312534292,0.37816337485768725,0.6761744265836773,2.457702054923011
2.0,CRRA,theta,$\theta = 1$,ee,0.14428571428506676,0.21108184276752073,0.1477572899372645,39.674135107550704,0.37761440132369334,0.6751928353211769,2.4552040468758634
2.0,CRRA,ageing,Mild ageing,full,0.18077669360662052,0.19732607525567666,0.13812825267897366,39.39732718345872,0.37497977152636336,0.6704819896631586,2.2220204787232425
2.0,CRRA,ageing,Mild ageing,ee,0.14428571428506676,0.20569911731146737,0.14398938211802714,39.81084539304001,0.3789155959803605,0.6775194343768808,2.238320672771444
2.0,CRRA,ageing,Acute ageing,full,0.22113931118165756,0.1819962816642925,0.12739739716500473,39.39439433813848,0.37495185700152817,0.6704320771410089,1.9908497661632636
2.0,CRRA,ageing,Acute ageing,ee,0.14428571428506676,0.19869066193017615,0.1390834633511233,40.302097697406246,0.3835912856786808,0.6858797939749902,2.022850303492203
2.0,CRRA,french,Income distribution,full,0.1306695429226305,0.2179510937557764,0.15256576562904348,40.35056271120653,0.38405257077340876,0.6670076901591986,2.4343314076418743
2.0,CRRA,french,Income distribution,ee,0.14428571428506676,0.2131564428746793,0.1492095100122755,40.21186452903074,0.3827324555173354,0.6647149649056632,2.4284710635808406
2.0,CRRA,french,Leisure preferences,full,0.14508952373350342,0.2094322547495414,0.146602578324679,35.397228341660956,0.3369072357222095,0.6024064520052661,2.2667876816187045
2.0,CRRA,french,Leisure preferences,ee,0.14428571428506676,0.20959301628586008,0.14671511140010204,35.405623083741965,0.3369871360274485,0.6025493176201586,2.267163979294407
2.0,CRRA,french,Voting,full,0.16168276835487294,0.20625668221467297,0.14437967755027106,39.232984949753224,0.37341557878404724,0.6676851372947875,2.4360618461554617
2.0,CRRA,french,Voting,ee,0.14428571428506676,0.21217981422962373,0.1485258699607366,39.39271026560601,0.3749358281696605,0.6704034168134428,2.442999999990926
