country,ρ,commonX,preferences,t0,T,θ,α,ξ,Γh,ν2020,Xbar,ηHηL,ηi,Xi,γi,μi,ν,β,ω,λ,X,R,τ,sr,h,hbar,residual,verifyResidual,hoursDrift,commit,timestamp,workweek,τ0,builtAt
US,1.0,False,LOG,2,9,0.7382263650417819,0.3,0.3,1.0,1.339667762739423,0.8767887072087874,3.7329507020037864,"[0.5359006094887437, 0.9502280466846978, 2.000490556395263]","[0.6463282927781713, 0.8002379227203976, 1.4868580029507075]","[0.5822660721626665, 0.17572652815988363, 0.24200739967744997]","[0.474, 0.629, 0.765]","[1.405486131972424, 1.405486131972424, 1.339667762739423, 1.1219986438186136, 1.0688804499803877, 1.0688804499803877, 1.0688804499803877, 1.0688804499803877, 1.0688804499803877]",0.760618787547492,1.4536273947549911,,,2.4430000000003025,0.1442857142857141,0.1537369489558263,0.6714309739621297,0.6714309739621297,1.239008895481675e-13,1.239008895481675e-13,,6dd9247,2026-09-12T19:34:37,39.392710265653776,0.1442857142857143,2026-09-12T19:56:20
FR,1.0,False,LOG,2,9,1.0,0.3,0.3,0.8929702720703145,0.9668838626647813,1.332072409408771,2.4381164678064304,"[0.6783663796234324, 0.9820138167324627, 1.653936241366119]","[1.2170735252617215, 1.351652244670888, 1.5944712497795668]","[0.5820540935672515, 0.17598684210526316, 0.24195906432748537]","[0.8097, 0.8567, 0.8518]","[1.0262988524061831, 1.0262988524061831, 0.9668838626647813, 0.9037438499264058, 0.8705914625994323, 0.8705914625994323, 0.8705914625994323, 0.8705914625994323, 0.8705914625994323]",0.760618787547492,1.4180571029150606,0.8929702720703144,,2.086536411001458,0.2128571428571427,0.1343552147021758,0.6040880396268341,0.604088039626834,0.0,1.9428902930940242e-16,2.220446049250313e-16,6dd9247,2026-09-12T19:40:35,35.441714849021594,0.21285714285714286,2026-09-12T19:56:20
UK,1.0,False,LOG,2,9,0.559745542058043,0.3,0.3,0.8631600838015239,1.1740347147676515,1.5541661318497448,3.867592628246145,"[0.5331896383738468, 0.9788763946526874, 2.062160314831918]","[1.0781593142347758, 1.4831883180910317, 2.9703480977218084]","[0.2916324856439705, 0.581214109926169, 0.12715340442986053]","[0.6064477, 0.6993464, 0.7352941]","[1.0919194313105167, 1.0919194313105167, 1.1740347147676515, 1.1210481688022833, 1.0059806887999434, 1.0059806887999434, 1.0059806887999434, 1.0059806887999434, 1.0059806887999434]",0.760618787547492,1.1636793615192416,0.8631600838015238,,2.040363488804507,0.1185714285714285,0.171972105691002,0.5919027721000184,0.5919027721000183,2.775557561562892e-17,2.775557561562892e-17,2.220446049250313e-16,6dd9247,2026-09-12T19:45:57,34.7268078342904,0.11857142857142859,2026-09-12T19:56:21
UKUS,1.0,False,LOG,2,9,0.5427032212458485,0.3,0.3,0.8623396870449609,1.1740347147676515,1.6040815709658225,1.7134674643998873,"[0.8099558030240924, 1.061426632648044, 1.3878329160836662]","[1.414182608671583, 1.703130339465247, 1.9890542073401227]","[0.5822660721626665, 0.17572652815988363, 0.24200739967744997]","[0.6559854729059241, 0.6867534469937504, 0.7291265450132094]","[1.0919194313105167, 1.0919194313105167, 1.1740347147676515, 1.1210481688022833, 1.0059806887999434, 1.0059806887999434, 1.0059806887999434, 1.0059806887999434, 1.0059806887999434]",0.760618787547492,1.226278181530467,0.862339687044961,,2.040317936146685,0.1185714285714287,0.1720171346192685,0.5911047027742833,0.5911047027742833,1.6653345369377348e-16,1.6653345369377348e-16,8.881784197001252e-16,6dd9247,2026-09-12T19:51:19,34.67998527927023,0.11857142857142859,2026-09-12T19:56:21
US,1.0,True,LOG,2,9,0.7382263650417816,0.3,0.3,1.0,1.339667762739423,4.028420994718893,3.080038740467968,"[0.8174709563989693, 1.3797753950289273, 2.5178422149162265]","[4.028420994718893, 4.028420994718893, 4.028420994718893]","[0.5822660721626665, 0.17572652815988363, 0.24200739967744997]","[0.474, 0.629, 0.765]","[1.405486131972424, 1.405486131972424, 1.339667762739423, 1.1219986438186136, 1.0688804499803877, 1.0688804499803877, 1.0688804499803877, 1.0688804499803877, 1.0688804499803877]",0.7606187875474917,1.45362739475499,,4.028420994718893,2.4430000000003003,0.1442857142857138,0.1537369489558263,0.6714309739621297,0.4689608364958783,1.232347557333924e-13,1.2279066652354234e-13,,84ef022,2026-08-21T22:41:09,39.392710265653776,0.1442857142857143,2026-09-12T19:56:21
FR,1.0,True,LOG,2,9,1.0,0.3,0.3,0.9999999999999999,0.9668838626647813,7.09345471652225,2.2907898246291327,"[1.111591741655718, 1.570679159971928, 2.5464230509266943]","[7.09345471652225, 7.09345471652225, 7.09345471652225]","[0.5820540935672515, 0.17598684210526316, 0.24195906432748537]","[0.8097, 0.8567, 0.8518]","[1.0262988524061831, 1.0262988524061831, 0.9668838626647813, 0.9037438499264058, 0.8705914625994323, 0.8705914625994323, 0.8705914625994323, 0.8705914625994323, 0.8705914625994323]",0.7606187875474917,1.4180571029150606,,7.09345471652225,2.086536411001458,0.2128571428571427,0.1343552147021758,0.6764928895407469,0.4219251767740666,1.3877787807814454e-16,1.3877787807814454e-16,,84ef022,2026-08-22T20:57:46,35.441714849021594,0.21285714285714286,2026-09-12T19:56:21
UK,1.0,True,LOG,2,9,0.5597455420580429,0.3,0.3,0.9999999999999998,1.1740347147676515,8.263663073210816,3.0610720546277297,"[0.955333927112364, 1.629433853555585, 2.9243459871214217]","[8.263663073210816, 8.263663073210816, 8.263663073210816]","[0.2916324856439705, 0.581214109926169, 0.12715340442986053]","[0.6064477, 0.6993464, 0.7352941]","[1.0919194313105167, 1.0919194313105167, 1.1740347147676515, 1.1210481688022833, 1.0059806887999434, 1.0059806887999434, 1.0059806887999434, 1.0059806887999434, 1.0059806887999434]",0.7606187875474917,1.1636793615192411,,8.263663073210816,2.040363488804507,0.1185714285714285,0.171972105691002,0.6857392773460561,0.4134143789796475,1.1102230246251563e-16,1.3877787807814457e-17,,84ef022,2026-08-22T21:07:27,34.7268078342904,0.11857142857142859,2026-09-12T19:56:21
UKUS,1.0,True,LOG,2,9,0.5427032212458485,0.3,0.3,0.9999999999999998,1.1740347147676515,8.768249036727005,1.5837602859122228,"[1.3829380876332311, 1.7361951426897855, 2.1902424210689087]","[8.768249036727005, 8.768249036727005, 8.768249036727005]","[0.5822660721626665, 0.17572652815988363, 0.24200739967744997]","[0.6559854729059241, 0.6867534469937504, 0.7291265450132094]","[1.0919194313105167, 1.0919194313105167, 1.1740347147676515, 1.1210481688022833, 1.0059806887999434, 1.0059806887999434, 1.0059806887999434, 1.0059806887999434, 1.0059806887999434]",0.7606187875474917,1.2262781815304673,,8.768249036727005,2.0403179361466863,0.1185714285714287,0.1720171346192685,0.6854661934902506,0.4128569676103599,1.1102230246251563e-16,1.1102230246251563e-16,,84ef022,2026-08-22T21:15:19,34.67998527927023,0.11857142857142859,2026-09-12T19:56:21
