ρ,spec,phi,commonX,p,scenario,θpinned,θ_tm1,θ_t0,θ_t1,τ_t0,sr_t0,ww_t0,τ_t1,sr_t1,ww_t1,method
0.5,scale,0.5,True,0.9648183635245238,baseline,True,0.7382263650417817,0.7382263650417817,0.7382263650417817,0.1442857142857132,0.2283060632603305,39.392710265653776,0.202805317859817,0.2095103545770195,39.16166595423845,
0.5,scale,0.5,True,0.9648183635245238,baseline,False,0.8628190756892489,0.7369851660678168,0.749223492625392,0.1441917653475616,0.2280284454560701,39.42047467015325,0.2023890415241825,0.2089481046835382,39.197443329976274,
0.5,scale,0.5,True,0.9648183635245238,acute,True,0.7382263650417817,0.7382263650417817,0.7382263650417817,0.2417249968981051,0.1941173371536859,38.611698500362046,0.2417271340473083,0.1941171310889908,38.61164991745937,
0.5,scale,0.5,True,0.9648183635245238,acute,False,1.0,0.7659325297594316,0.7714821583532824,0.2404056821012096,0.1936529605378124,38.7139839458258,0.2403432258399772,0.1935087237863819,38.68824784471825,
0.5,scale,0.5,True,0.9648183635245238,frIncome,True,0.7382263650417817,0.7382263650417817,0.7382263650417817,0.12748712643774,0.2405514281853929,42.35411720953057,0.1870090909356371,0.2206432632892465,42.1035375598071,
0.5,scale,0.5,True,0.9648183635245238,frIncome,False,1.0,1.0,1.0,0.1317983956454815,0.2260973832438796,42.48091933904962,0.1890618012095792,0.2072085395462272,42.21504116742226,
0.5,scale,0.5,True,0.9648183635245238,frLeisure,True,0.7382263650417814,0.7382263650417814,0.7382263650417814,0.1441567653070824,0.2283338889021708,32.646122722466465,0.2028619763520385,0.2094824940850837,32.45314663792891,
0.5,scale,0.5,True,0.9648183635245238,frLeisure,False,0.8596342268181405,0.7376050711475914,0.7470333284663871,0.1440686736990215,0.2281394296467901,32.66561029605682,0.2024164041995929,0.2088434151519709,32.48719973380869,
0.5,scale,0.5,True,0.9648183635245238,frVoting,True,0.7382263650417817,0.7382263650417817,0.7382263650417817,0.1477902940673449,0.2257644586961302,39.29479749492186,0.2062648434922323,0.2071370689596806,39.06202416002848,
0.5,scale,0.5,True,0.9648183635245238,frVoting,False,0.7818938638581248,0.662022447653391,0.6723597530626214,0.1503557512613173,0.2272365401646285,39.202052461631766,0.2088302436021957,0.2082792252851634,38.97230472247384,
0.5,scale,0.5,True,0.9648183635245238,frBoth,True,0.7382263650417817,0.7382263650417817,0.7382263650417817,0.1305796382864041,0.2382502161085711,42.26305745190832,0.1899475293802739,0.2185408515841992,42.01309899986602,
0.5,scale,0.5,True,0.9648183635245238,frBoth,False,1.0,1.0,1.0,0.1318719423669214,0.2259551503505618,42.46110764074095,0.1890945743912758,0.207145277873491,42.2055273879065,
0.5,scale,0.5,True,0.9648183635245238,frAll,True,0.7382263650417817,0.7382263650417817,0.7382263650417817,0.1305423410339095,0.2382923651823141,35.02521650570139,0.1898845127381624,0.2185845844664111,34.81800592152636,
0.5,scale,0.5,True,0.9648183635245238,frAll,False,1.0,1.0,1.0,0.131804346945968,0.2259539922148685,35.19146305181019,0.1892241369950598,0.2070516626170581,34.975907887974905,
0.5,scale,0.5,True,0.9648183635245238,France,True,1.0,1.0,1.0,0.212857142857143,0.2093183478897733,35.441714849021594,0.2338272213054711,0.2017517088670786,35.375494329474016,
2.0,scale,0.5,True,0.0900677838985416,baseline,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1442857142857145,0.2122205974215887,39.392710265653776,0.1910218978188379,0.1978529824559418,39.06928527047268,
2.0,scale,0.5,True,0.0900677838985416,baseline,False,0.6084803760844674,0.7394155968854988,0.7609018165395033,0.1445003143774944,0.211994796176181,39.42148699865994,0.1916206941615115,0.19729410088731,39.14065954762489,
2.0,scale,0.5,True,0.0900677838985416,acute,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.2200648038234565,0.186636184582471,38.71432270564299,0.2200651912237189,0.186635686063542,38.71432351635152,
2.0,scale,0.5,True,0.0900677838985416,acute,False,0.6037127235970363,0.8460263104717297,0.8439156757858224,0.2205512256401483,0.1858669999951266,38.83416613617786,0.2205633503595818,0.1858910982060042,38.82989910756225,
2.0,scale,0.5,True,0.0900677838985416,frIncome,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.136402998580025,0.21451334746747,41.70863682483508,0.1835765161176317,0.1999643988697776,41.36448139178495,
2.0,scale,0.5,True,0.0900677838985416,frIncome,False,1.0,1.0,1.0,0.1439491865214704,0.2107270887460345,41.88396328205547,0.1908263153659903,0.196413066712401,41.54120824106012,
2.0,scale,0.5,True,0.0900677838985416,frLeisure,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1442895338208101,0.212219041888845,33.64713754623844,0.1910262436282122,0.197851454118916,33.37085091740024,
2.0,scale,0.5,True,0.0900677838985416,frLeisure,False,0.6084504998038422,0.7393791097644546,0.7609113129824818,0.1445040266630439,0.2119929588341432,33.671736168061074,0.1916261491362316,0.1972918602886242,33.431823568266125,
2.0,scale,0.5,True,0.0900677838985416,frVoting,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.161307518344064,0.2073088196582946,39.10287833713245,0.20733040612363,0.1932868823452565,38.78140951229908,
2.0,scale,0.5,True,0.0900677838985416,frVoting,False,0.2511066908933118,0.2852353209889303,0.2911892522609278,0.174591301140684,0.2067363549889821,38.3504425017636,0.2197332072897289,0.1929124558114969,38.02768920652856,
2.0,scale,0.5,True,0.0900677838985416,frBoth,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1486426263278611,0.2109390737747023,41.48970762693436,0.1952600790969073,0.196649979655822,41.147900137234416,
2.0,scale,0.5,True,0.0900677838985416,frBoth,False,0.4263965055370289,0.5080895034932461,0.5224036853177816,0.1496315275679947,0.2120103030645599,41.22334489948627,0.1963769084775658,0.1974709335022456,40.90982887696016,
