spec,phi,commonX,p,scenario,θpinned,θ_tm1,θ_t0,θ_t1,τ_t0,sr_t0,ww_t0,τ_t1,sr_t1,ww_t1
scale,0.5,True,0.4076119851494873,baseline,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.14428571428570602,0.2198945752345185,39.39271026513949,0.19791142780747467,0.20283000595583353,39.09937776436702
scale,0.5,True,0.4076119851494873,baseline,False,0.7336031745426245,0.7382263897393394,0.7478066536162503,0.1442857140405995,0.21973356919013318,39.404398151396016,0.19779366299935622,0.20238132493210045,39.13686746850816
scale,0.5,True,0.4076119851494873,mild,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.18529309039705172,0.20552208877333833,39.06394513423738,0.21476595733144654,0.19645980839183394,38.88928738052924
scale,0.5,True,0.4076119851494873,mild,False,0.7517782344683581,0.7521816889344421,0.757447925053672,0.18512360231581743,0.20524436432111184,39.08839812154706,0.2145087889504275,0.19594829866702934,38.935493667634155
scale,0.5,True,0.4076119851494873,acute,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.2325414909651921,0.18993388671883674,38.63403287074855,0.2325414909651921,0.18993388671883674,38.63403287074856
scale,0.5,True,0.4076119851494873,acute,False,0.7783089776492966,0.7783089776489881,0.7783089776488169,0.2319355385035116,0.18943721371221606,38.688026034917144,0.23193553850351445,0.18943721371221128,38.68810216702067
scale,0.5,True,0.4076119851494873,frIncome,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.13162100632849794,0.22626495024206045,41.99446843102825,0.18547185724980705,0.20878842681731954,41.68848911873885
scale,0.5,True,0.4076119851494873,frIncome,False,1.0,1.0,1.0,0.13797300515117328,0.2183635415901084,42.15234589224441,0.1910288111799114,0.20140656014651537,41.837326949836466
scale,0.5,True,0.4076119851494873,frLeisure,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.14428571428570608,0.2198945752345188,33.188491235057036,0.19791142780747373,0.2028300059558337,32.941357614005845
scale,0.5,True,0.4076119851494873,frLeisure,False,0.7336031745468896,0.7382263897411964,0.7478066536176132,0.1442857140405812,0.2197335691901152,33.1983383186424,0.1977936629993387,0.2023813249321127,32.97294281616371
scale,0.5,True,0.4076119851494873,frVoting,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.15353489395639278,0.2153276611702128,39.18839979628151,0.20709919636728535,0.1985258893989172,38.88998459658847
scale,0.5,True,0.4076119851494873,frVoting,False,0.529111772482469,0.5329670385494113,0.5463584679063417,0.15927776589480755,0.21661202121914114,38.88415708686698,0.21298499579557031,0.1996599461857526,38.57964123117257
scale,0.5,True,0.4076119851494873,frBoth,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.13824147974772447,0.22289308320615778,41.84089810605512,0.19205404910157753,0.2056110881135159,41.53106529488419
scale,0.5,True,0.4076119851494873,frBoth,False,0.9729779536283761,0.9717850872341554,0.9660974380703192,0.1382544505020866,0.21878146315513222,42.086193270332146,0.19145812573202903,0.20129967529281764,41.828195817869904
scale,0.5,True,0.4076119851494873,frAll,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.13824147974772438,0.22289308320615786,35.25109774659491,0.1920540491015773,0.20561108811351592,34.9900625583921
scale,0.5,True,0.4076119851494873,frAll,False,0.9729779536284806,0.9717850872341613,0.9660974380704705,0.13825445050208654,0.21878146315513,35.457759749661506,0.19145812573202708,0.20129967529281792,35.240396025965296
scale,0.5,True,0.4076119851494873,France,True,1.0,1.0,1.0,0.21285714285714272,0.19193602100310833,35.4417148490216,0.23292205931404342,0.18471103721559157,35.326967770931596
