ρ,preferences,spec,phi,commonX,method,p,scenario,θpinned,θ_tm1,θ_t0,θ_t1,τ_t0,sr_t0,ww_t0,τ_t1,sr_t1,ww_t1
0.5,CRRA,scale,0.5,True,exact,0.9349541524512563,France,True,1.0,1.0,1.0,0.212857142857143,0.2093183478897733,35.44171484902159,0.2338272213054711,0.2017517088670786,35.375494329474016
0.5,CRRA,scale,0.5,True,exact,0.9349541524512563,acute,False,0.7565762042269878,0.7564221660287179,0.7564331189556418,0.2408636541485148,0.1937133800346381,38.63979470462514,0.2408579231804102,0.1937262190785615,38.641901488158425
0.5,CRRA,scale,0.5,True,exact,0.9349541524512563,acute,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.241604149961596,0.1941146497569649,38.613727179152335,0.2416080240383267,0.1941135783496386,38.6136492566263
0.5,CRRA,scale,0.5,True,exact,0.9349541524512563,baseline,False,0.7379198687156658,0.7382252872563375,0.7407298262906084,0.1442221777031261,0.2282320849805108,39.39739217169434,0.202533099239766,0.209221763764701,39.17944323931204
0.5,CRRA,scale,0.5,True,exact,0.9349541524512563,baseline,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1442857142856552,0.2282761935277438,39.392710265653776,0.2027268234686816,0.2094994574564938,39.16239882288146
0.5,CRRA,scale,0.5,True,exact,0.9349541524512563,frAll,False,1.0,1.0,1.0,0.1312828859763916,0.2262962917116315,35.166939520235424,0.1886414090642156,0.2075524361855326,34.97598846842621
0.5,CRRA,scale,0.5,True,exact,0.9349541524512563,frAll,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1304875864333649,0.2382401317010816,35.02959983474194,0.1900008610117583,0.2184499443552559,34.81957534634872
0.5,CRRA,scale,0.5,True,exact,0.9349541524512563,frBoth,False,1.0,1.0,1.0,0.1314125306581806,0.2262250433087427,40.63243564687851,0.1887455486770549,0.207486684530413,40.41018086634791
0.5,CRRA,scale,0.5,True,exact,0.9349541524512563,frBoth,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1305754426062601,0.2382515416892505,40.47129832801626,0.1898320096844322,0.2185656629122696,40.23269907482855
0.5,CRRA,scale,0.5,True,exact,0.9349541524512563,frIncome,False,1.0,1.0,1.0,0.1313591200446943,0.2263304513013865,40.646391931018414,0.188719087404601,0.2075344181531677,40.41693072368364
0.5,CRRA,scale,0.5,True,exact,0.9349541524512563,frIncome,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1275084134797999,0.240529998603996,40.557434184111045,0.1869317268280551,0.2206452117995859,40.31821180399184
0.5,CRRA,scale,0.5,True,exact,0.9349541524512563,frLeisure,False,0.7378985502033345,0.7381290232954189,0.7399054065230863,0.1440756247967209,0.228292846500221,34.09886217124051,0.202627028649576,0.2091936731813501,33.90859574322214
0.5,CRRA,scale,0.5,True,exact,0.9349541524512563,frLeisure,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.144137161435997,0.2283076216079838,34.09547044960421,0.2027971164096497,0.2094639623922638,33.89418869958108
0.5,CRRA,scale,0.5,True,exact,0.9349541524512563,frVoting,False,0.6532658230990784,0.6537744263199772,0.6591414602475462,0.1507462702871435,0.2274507089338753,39.17964210590896,0.2092905554482434,0.2084758913965511,38.94998611186488
0.5,CRRA,scale,0.5,True,exact,0.9349541524512563,frVoting,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1477822781387552,0.225737205840258,39.2949491567929,0.2061786333723229,0.2071286573506595,39.06292013141434
1.0,LOG,scale,0.5,True,exact,0.4076119851494873,France,True,1.0,1.0,1.0,0.2128571428571427,0.1919360210031083,35.4417148490216,0.2329220593140434,0.1847110372155915,35.3269677709316
1.0,LOG,scale,0.5,True,exact,0.4076119851494873,acute,False,0.7783089776492966,0.7783089776489881,0.7783089776488169,0.2319355385035116,0.189437213712216,38.68802603491714,0.2319355385035144,0.1894372137122112,38.68810216702067
1.0,LOG,scale,0.5,True,exact,0.4076119851494873,acute,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.2325414909651921,0.1899338867188367,38.63403287074855,0.2325414909651921,0.1899338867188367,38.63403287074856
1.0,LOG,scale,0.5,True,exact,0.4076119851494873,baseline,False,0.7336031745426245,0.7382263897393394,0.7478066536162503,0.1442857140405995,0.2197335691901331,39.404398151396016,0.1977936629993562,0.2023813249321004,39.13686746850816
1.0,LOG,scale,0.5,True,exact,0.4076119851494873,baseline,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.144285714285706,0.2198945752345185,39.39271026513949,0.1979114278074746,0.2028300059558335,39.09937776436702
