spec,phi,p,converged,θStar,choice,β,ω,τDrift,RDrift,residual,choiceAtT0
none,,,True,0.7382263650417814,0.0,0.7606187875476447,1.4536273947550569,,,,
scale,0.5,0.40761198514956626,True,0.7382263650417814,0.7382263897381751,0.7476102929864129,1.5239479116122532,-2.450948888288451e-10,0.0005007947133752744,2.469639370783483e-08,0.7478066536166589
scale,0.25,0.26020440381230764,True,0.7382263650417816,0.7382264478066483,0.7478851797232958,1.5223578560642328,-8.208454194136294e-10,0.0004809426196130673,8.27648666268388e-08,0.7474099473460483
scale,0.75,0.9582686105304897,True,0.7382263650417814,0.7382263472594716,0.7465148413963734,1.5303325103996896,1.770229240971588e-10,0.0006420705722556264,-1.7782309846836597e-08,0.7506081004709317
flat,0.5,0.7086438658553842,True,0.7161525512467674,0.7161524947534269,0.7539283583813433,1.4885768092700808,5.039418604635415e-10,0.00019601443735428603,-5.6493340450103346e-08,0.7203462979292626
flat,0.25,0.4419442462050752,True,0.7167652510480906,0.7167652443147592,0.7541139168497194,1.4875739112752113,6.10766437425525e-11,0.00017490987867585517,-6.733331447961177e-09,0.7205005628058166
flat,0.75,1.8834441907025743,True,0.7133201783765508,0.7133202145866859,0.7530706726097749,1.4932382691785502,-3.0539817896801935e-10,0.00031549844778266944,3.6210135112568764e-08,0.7201205679596125
