ρ,spec,phi,commonX,method,p,pos,date,ν,θ,τ,sr,workweek,τExo,srExo,converged,step,τDrift,RDrift
0.5,scale,0.5,True,exact,0.9349541524512563,0,1960,1.405486131972424,0.7382263650417816,0.13059193902239366,0.24052346274587572,39.15360496653523,0.13064709539590158,0.2404704699950529,True,,-6.353658258811956e-05,-0.00031667738785712274
0.5,scale,0.5,True,exact,0.9349541524512563,1,1990,1.405486131972424,0.7379198687156658,0.13026533611836796,0.23879729376531578,39.21286391966279,0.1303140558906387,0.23875734965872314,True,,-6.353658258811956e-05,-0.00031667738785712274
0.5,scale,0.5,True,exact,0.9349541524512563,2,2020,1.339667762739423,0.7382252872563375,0.14422217770312618,0.22823208498051087,39.39739217169434,0.14428571428565523,0.2282761935277438,True,,-6.353658258811956e-05,-0.00031667738785712274
0.5,scale,0.5,True,exact,0.9349541524512563,3,2050,1.1219986438186136,0.7407298262906084,0.202533099239766,0.209221763764701,39.17944323931204,0.20272682346868162,0.2094994574564938,True,,-6.353658258811956e-05,-0.00031667738785712274
0.5,scale,0.5,True,exact,0.9349541524512563,4,2080,1.0688804499803877,0.7489250584944699,0.2189642739886265,0.20346046791116693,38.960782101131606,0.2193952391634349,0.20372540214622398,True,,-6.353658258811956e-05,-0.00031667738785712274
0.5,scale,0.5,True,exact,0.9349541524512563,5,2110,1.0688804499803877,0.7507105514744267,0.21946498375267792,0.20256993796795542,38.853297290112295,0.21995272387058534,0.20284382003314716,True,,-6.353658258811956e-05,-0.00031667738785712274
0.5,scale,0.5,True,exact,0.9349541524512563,6,2140,1.0688804499803877,0.7515125135115003,0.2198894101583774,0.20123153836117758,38.80026163457197,0.2204015972914561,0.20148643478839823,True,,-6.353658258811956e-05,-0.00031667738785712274
0.5,scale,0.5,True,exact,0.9349541524512563,7,2170,1.0688804499803877,0.7511305784915941,0.22217604081524528,0.18148265102315012,38.986484355851,0.22273892021638453,0.18189114930495903,True,,-6.353658258811956e-05,-0.00031667738785712274
2.0,scale,0.5,True,exact,0.0854650103204216,0,1960,1.405486131972424,0.7382263650417817,0.13012283868055763,0.24323922811621015,39.29745580016135,0.1302778086641725,0.24312146211299432,True,,3.885244262896714e-05,0.00013237336153348878
2.0,scale,0.5,True,exact,0.0854650103204216,1,1990,1.405486131972424,0.7216262160940651,0.1304314175921289,0.23674223958704668,39.3572043527346,0.13039919115365126,0.23675421788086573,True,,3.885244262896714e-05,0.00013237336153348878
2.0,scale,0.5,True,exact,0.0854650103204216,2,2020,1.339667762739423,0.7382266443498735,0.14432456672834326,0.21217723350201897,39.40156540250622,0.14428571428469805,0.21221852219915976,True,,3.885244262896714e-05,0.00013237336153348878
2.0,scale,0.5,True,exact,0.0854650103204216,3,2050,1.1219986438186136,0.7456923662031706,0.19112514614411794,0.19768465369405933,39.09695773354026,0.19101485644269944,0.19785164007052833,True,,3.885244262896714e-05,0.00013237336153348878
2.0,scale,0.5,True,exact,0.0854650103204216,4,2080,1.0688804499803877,0.7619005960785968,0.2035290174961895,0.19562119039190554,38.956842478005996,0.20313782587718565,0.19604280759214943,True,,3.885244262896714e-05,0.00013237336153348878
2.0,scale,0.5,True,exact,0.0854650103204216,5,2110,1.0688804499803877,0.7953300862415291,0.20319587954103258,0.19600124456795603,38.91343639191563,0.2030450306037308,0.19634906544590025,True,,3.885244262896714e-05,0.00013237336153348878
2.0,scale,0.5,True,exact,0.0854650103204216,6,2140,1.0688804499803877,0.7933630539901152,0.20315889568430867,0.19611767294009652,38.90683382253562,0.20302959885908972,0.19647805877267735,True,,3.885244262896714e-05,0.00013237336153348878
2.0,scale,0.5,True,exact,0.0854650103204216,7,2170,1.0688804499803877,0.7923873473937404,0.20403104556425178,0.18823745873423658,39.016978187355974,0.20361300566418322,0.1887706185952654,True,,3.885244262896714e-05,0.00013237336153348878
