ρ,spec,phi,commonX,p,converged,θStar,residual,message,β,ω,seconds,method,ns,nsScan,nCand2D,nScan
0.5,scale,0.5,True,0.9648183635245238,True,0.7382263650417816,-1.3642187379758752e-10,calibrated,1.3326874937687176,2.4852008630939806,1041.6076445579529,,,,,
2.0,scale,0.5,True,0.0900677838985416,True,0.7382263650417816,7.248255529113123e-08,calibrated,0.5552249598068022,1.2088025741485444,919.0907821655272,,,,,
0.5,scale,0.5,True,0.9349541524512563,True,0.7382263650417816,-1.077785468095449e-06,calibrated,1.3353651301349239,2.4798003696390696,2650.0259902477264,exact,150.0,50.0,41.0,4.0
2.0,scale,0.5,True,0.08546501032042166,True,0.7382263650417816,2.793089896035994e-07,calibrated,0.55528054214254,1.2080142468605501,2728.267005443573,exact,150.0,50.0,41.0,4.0
