t,ρ,τ_base,s_base,h_base,ι_base,R_base,w_base,bbar_base,b0_base,bi_base,c10_base,c20_base,s__base,sr_base,τ_ee,s_ee,h_ee,ι_ee,R_ee,w_ee,bbar_ee,b0_ee,bi_ee,c10_ee,c20_ee,s__ee,sr_ee,d_τ,d_s,d_h,d_ι,d_R,d_w,d_bbar,d_b0,d_bi,d_c10,d_c20,d_s_,d_sr
3,0.5,0.12500000000313155,0.02040474286594899,0.5214874726256892,0.3474833560691446,3.3473209812026132,0.12121162648494224,0.019561779888255613,0.004678977825463521,0.005546040496452644,0.012306545831297994,0.027750412585631483,0.020997987751059086,0.18399999999794836,0.12500000000313155,0.020467188656014195,0.521290260303602,0.3383174846024708,3.3465993792525137,0.12123134255495094,0.019107680336031788,0.005415820088277774,0.005415820088277774,0.012472446579098961,0.029625538462946046,0.020997987751059086,0.18460290156604336,0.0,0.0030603566276452554,-0.00037817269338069615,-0.026377871937123598,-0.00021557596482435493,0.00016265824146133312,-0.023213611175354032,0.15747932354034133,-0.023479887724974557,0.013480691501513542,0.06757109904324299,0.0,0.00327663895707464
4,0.5,0.2133366066694384,0.019961082090983996,0.5218071938424109,0.39958855942541244,2.9664973233834093,0.13277441200435236,0.028604867610044743,0.006877116892924142,0.008151517320605695,0.01357275181931776,0.027910498171468963,0.02040474286594899,0.16422319130760513,0.2133366066694384,0.020068882607388244,0.5217575751076775,0.3881968394518662,2.9611744432106994,0.1329544212753283,0.027985053110579652,0.007971873153158492,0.007971873153158494,0.013790922371795463,0.028476252514508693,0.020467188656014195,0.16490221955560252,0.0,0.00540053469610946,-9.509016993047847e-05,-0.02850862394540754,-0.0017943316957518274,0.0013557527256835566,-0.021668147810180338,0.15918825828898497,-0.022038126201742947,0.016074157649238474,0.020270306160929286,0.0030603566276452554,0.00413478901847375
5,0.5,0.26796847186981465,0.020030190768557075,0.5209298089039606,0.4393556606167899,2.7031770552439127,0.14241920171684472,0.03200925474308764,0.007700309993301129,0.00912725656139573,0.014541268412347302,0.029261444985730738,0.019961082090983996,0.15389063246149842,0.26796847186981465,0.020161737957289504,0.521028103655743,0.42840979736377005,2.695180801200278,0.14273784352333874,0.03134326333949437,0.008936503053902728,0.008936503053902728,0.0147664897654439,0.029933785592321793,0.020068882607388244,0.15452634811159885,0.0,0.006567445625077495,0.00018869097160956194,-0.024913445379657673,-0.002958094819620838,0.0022373514431539565,-0.020806213982132338,0.16053809024273358,-0.02089932568563979,0.015488425542393491,0.02297701316250511,0.00540053469610946,0.004130957420423131
6,0.5,0.25461650314131096,0.020515292845546203,0.5238126042345271,0.4291426316390087,2.7063568381658056,0.14229295001201314,0.03060700510948049,0.007350597282178259,0.008712738491347054,0.014577637138733694,0.03116755964197783,0.020030190768557075,0.15688927232645852,0.25461650314131096,0.020664226951631646,0.5239792483902531,0.4181232433770661,2.696766585405869,0.1426745200352286,0.029978845393241495,0.008535533774820818,0.008535533774820818,0.014817335375648054,0.0318288175978128,0.020161737957289504,0.15755547916209917,0.0,0.007259662691959878,0.000318136971846128,-0.025677682545443337,-0.0035436024639072805,0.002681580662873495,-0.02052339698026917,0.1612027495392072,-0.02033857858837662,0.016442873055021234,0.021216224928446437,0.006567445625077495,0.004246350472289606
7,0.5,0.25798753523527673,0.020543472534034445,0.5249158778732019,0.4317929162717239,2.6728962564852887,0.1436346754050869,0.031197942587703763,0.0075339803478519105,0.008930104323485608,0.014789780221827349,0.03106612360235925,0.020515292845546203,0.1553101018355007,0.25798753523527673,0.02070327396057901,0.5251209519783019,0.42040688863388875,2.66249115529919,0.14405793117419702,0.03056399715419751,0.008751426943185607,0.008751426943185609,0.015041398008816948,0.03175586596966894,0.020664226951631646,0.1559974015919366,0.0,0.007778695947329384,0.0003906799427193519,-0.026369185803571615,-0.0038928189453116824,0.0029467520145565196,-0.020320103856980354,0.16159407632126555,-0.020008431461443044,0.017012949700107916,0.022202395642863637,0.007259662691959878,0.004425338392758604
8,0.5,0.2660717124501208,0.0186173212796606,0.5300762112482723,0.4412192700332118,2.685740266378524,0.14311617988081424,0.032306522551971306,0.007818123151748119,0.009266901708719605,0.01546207116291025,0.03164205178781688,0.020543472534034445,0.13988301982416723,0.2660717124501208,0.018805330573135527,0.5302397947267038,0.4217819358926604,2.674374631949545,0.14357477291334061,0.03165328654424523,0.009083072683439655,0.009083072683439657,0.015835653493033827,0.03236029190469145,0.02070327396057901,0.14080088065903495,0.0,0.0100986221729078,0.00030860369690288714,-0.04405368364597573,-0.004231844222339798,0.003204340927128513,-0.020219941860818436,0.16179708443307073,-0.019837161443827078,0.024161208817852886,0.022698910983740994,0.007778695947329384,0.006561631540564994
9,0.5,0.4553768266781065,0.0,0.46681024583897773,,2.642241352051615,0.1448900233758676,0.048816388061430405,0.011929618106964903,0.014140298927765865,0.022549944838908435,0.03363383648113998,0.0186173212796606,0.0,0.4553768266781065,0.0,0.46734649161346087,,2.628871373877601,0.1454455727730266,0.04790348341704076,0.01388014641928534,0.013880146419285344,0.022662411168206407,0.03473169361151492,0.018805330573135527,0.0,0.0,,0.0011487446543068103,,-0.005060089671078849,0.0038342833013274014,-0.01870078227092198,0.16350299689657755,-0.018397949704562877,0.004987432568079653,0.032641448173495125,0.0100986221729078,
