t,ρ,τ_base,s_base,h_base,ι_base,R_base,w_base,bbar_base,b0_base,bi_base,c10_base,c20_base,τ_reform,s_reform,h_reform,ι_reform,R_reform,w_reform,bbar_reform,b0_reform,bi_reform,c10_reform,c20_reform,d_τ,d_s,d_h,d_ι,d_R,d_w,d_bbar,d_b0,d_bi,d_c10,d_c20
3,1.7,0.12499999999999317,0.02181938064848472,0.5297467441420979,0.36607303509425715,3.1271901607125967,0.12759426522491765,0.021501450164128945,0.003377859591717327,0.006214786538047855,0.012754129474620096,0.028959322619347333,0.13411587086571153,0.02160572662590546,0.5281709894268868,0.34286328863114846,3.1218846461088976,0.12775781307236633,0.02149917921562898,0.006204429822025178,0.006204429822025178,0.01333380588826429,0.03244202570859404,0.07292696692575085,-0.00979193800324929,-0.002974543463712953,-0.06340195599802267,-0.001696575625733665,0.0012817805499361068,-0.00010561838771938614,0.8367932868609269,-0.0016664636764709417,0.04545009636272801,0.12026189752518435
4,1.7,0.20663090239178603,0.01995729527024317,0.5265456213235391,0.41809516501495364,2.8700423940318864,0.13612694150441032,0.029568748704896234,0.004652337930425559,0.008559647420323491,0.013935697227703492,0.027576763949080093,0.21890630051363172,0.019640338295181893,0.5234649373165696,0.3910330593155358,2.876548083784252,0.13589462497200508,0.029063131776090104,0.00838825429350983,0.008388254293509832,0.014491437839919474,0.029697177346939874,0.05940736830626969,-0.01588176006664932,-0.005850744707031841,-0.064727143396767,0.0022667573712129574,-0.0017066168521659986,-0.017099706648134427,0.8030191312311958,-0.02002338629120559,0.03987892411376426,0.07689130609287886
5,1.7,0.25675949142233034,0.01953023922937788,0.5229574748191277,0.4535285104289642,2.7094624933056197,0.14216989247270678,0.03191909483466015,0.0049917931762082784,0.009184197326700037,0.014485687344033512,0.027599680060802406,0.2661527059900149,0.019235244532504144,0.5198820474294986,0.4260990389973177,2.725122988052043,0.1415531161003791,0.03070411176789536,0.00878291680367379,0.00878291680367379,0.01496278703568978,0.02971192013160924,0.03658370919669007,-0.01510451016032599,-0.005880836468955208,-0.060480147997096556,0.005779926751197539,-0.004338305119321206,-0.03806445869027175,0.7594712949115443,-0.04369249796709562,0.032935937406710636,0.07653132449918054
6,1.7,0.25204401622408645,0.01947165501407408,0.5225618153897239,0.44995637288454987,2.741892546555073,0.1408995174657706,0.031242318107624872,0.004852657448188704,0.008928207157192157,0.014333140546409244,0.029139026356228084,0.259951756186047,0.019221703200935396,0.5198257533902718,0.4212673271318632,2.7575190066708406,0.1402967524402863,0.029924185588296893,0.008501230539311578,0.008501230539311578,0.014823680220543497,0.03110218504231858,0.031374440387150315,-0.012836700987051142,-0.005235862856553197,-0.06375961644629868,0.005699151170384331,-0.004277977925869925,-0.04219061193818019,0.7518711407261469,-0.047823332317802,0.03422415851891891,0.06737214421959914
7,1.7,0.25233224792556613,0.019435387244705084,0.522452171825846,0.45042850368148324,2.7462632312152406,0.1407303194183681,0.03125758012846913,0.004851354774887048,0.008925810421543803,0.014305956926376477,0.028912452443080952,0.26042753543892866,0.01918460587925922,0.5198802973560069,0.4215171568385859,2.7587911187284595,0.14024794653586284,0.02997491593038164,0.008514720544962686,0.008514720544962688,0.014826524334053072,0.030853964122296136,0.03208185866021562,-0.012903337725580166,-0.004922698399072556,-0.06418631726588453,0.004561794139331443,-0.0034276400742846436,-0.04103530064757799,0.7551222163835525,-0.04605630829766305,0.036388157070206484,0.06715140069965964
8,1.7,0.2550459394535326,0.01830876655299781,0.5253508794561307,0.4625045985815305,2.7578671401902133,0.14028339200981765,0.031674783331384126,0.00491507559807782,0.009043047773602595,0.01457104393743301,0.02905814061546302,0.265033288959396,0.01796371465412381,0.5226259430200441,0.4216146354103617,2.7701352649500333,0.13981445593949213,0.03056814629427799,0.008684145580276253,0.008684145580276255,0.015317493739312158,0.03108523367436768,0.03915902181098252,-0.01884626678018919,-0.005186888501847786,-0.08840985213244468,0.004448410360686772,-0.0033427768148970305,-0.03493747772568523,0.766838659342785,-0.03968818945908981,0.05122829943306395,0.06975990259424791
9,1.7,0.35283421091156636,0.0,0.48777416977802446,,2.7351698741796002,0.1411606913651698,0.04071363280031253,0.006352714374097845,0.011688100911303453,0.022367715987456977,0.029513828512943523,0.3756844101449364,0.0,0.4820880748027715,,2.746575275672569,0.1407182576134654,0.04001640238385056,0.011428352807777344,0.011428352807777346,0.022157993134432036,0.032230268512930135,0.0647618584783356,,-0.011657228544595943,,0.00416990608175305,-0.0031342560554612486,-0.01712523222581641,0.79897161036778,-0.022223294057540754,-0.009376140735269822,0.09203956710649375
