t,ρ,τ_base,s_base,h_base,ι_base,R_base,w_base,bbar_base,b0_base,bi_base,c10_base,c20_base,s__base,sr_base,τ_ee,s_ee,h_ee,ι_ee,R_ee,w_ee,bbar_ee,b0_ee,bi_ee,c10_ee,c20_ee,s__ee,sr_ee,d_τ,d_s,d_h,d_ι,d_R,d_w,d_bbar,d_b0,d_bi,d_c10,d_c20,d_s_,d_sr
3,1.9,0.10923076923200693,0.025124105280708867,0.6030132609814466,0.3154739282643806,3.2494661591302307,0.1958034986154485,0.029033494768683128,0.004657845261791483,0.00957370057079555,0.02380764639944676,0.032350868627559565,0.028839203297073672,0.13831097755792895,0.10923076923200693,0.025356630876523335,0.6023686839085616,0.26456839402553056,3.2472079995073786,0.19587680638178864,0.026895871484491688,0.00883588556422554,0.00883588556422554,0.025025083477298208,0.03519122205183317,0.028839203297073672,0.13968813049432185,0.0,0.009255079662200405,-0.0010689268621322245,-0.16136209581220617,-0.0006949324942213675,0.00037439456832233375,-0.07362611016077814,0.8969899315262169,-0.07706685634400412,0.05113638943661991,0.08779836662110285,0.0,0.009956931551699189
4,1.9,0.18105951512497362,0.02213436521225978,0.5968395371914218,0.35819755186069274,3.018273956744104,0.20374171154081128,0.03896984593413806,0.00624763143950552,0.012841335277743681,0.025183492062790493,0.03017047138517641,0.025124105280708867,0.11831584043330873,0.18105951512497362,0.02244662188406842,0.5966323019634107,0.292453526733128,2.9995769547664777,0.20442455844127622,0.03613829132404728,0.011895552927141837,0.01189555292714184,0.026673218836947933,0.03201840422819472,0.025356630876523335,0.11962570674889421,0.0,0.014107324461949622,-0.0003472210118423691,-0.18354124640453529,-0.0061946007041042694,0.00335153216933759,-0.0726601438167429,0.9040100304129548,-0.07365140229934275,0.05915489283388786,0.0612497172956421,0.009255079662200405,0.011070929393632856
5,1.9,0.22813158168168154,0.021457820102288628,0.5904865267354308,0.3882178637749706,2.888930765517647,0.2086038446674831,0.04183280341106775,0.006637956538407366,0.013643606588215507,0.025563556739761344,0.02954277313473743,0.02213436521225978,0.11323134225125608,0.22813158168168154,0.021788206758938996,0.5905440530593806,0.32346150362605774,2.8629257602941145,0.20962200591406763,0.03884157361143815,0.012663629984543914,0.012663629984543914,0.02704229484513183,0.03145757448930438,0.02244662188406842,0.11440517547732103,0.0,0.015397027986786549,9.74219077747307e-05,-0.1668041741284958,-0.009001602092348016,0.00488083644003523,-0.07150440696590299,0.907760304134543,-0.07182680014520759,0.057845554138813204,0.06481454350388849,0.014107324461949622,0.010366681192034655
6,1.9,0.22448133591322914,0.021340907206751844,0.5895338744126735,0.385730671949765,2.9447219399633777,0.206466322914519,0.04111355920362131,0.006454385753887024,0.013266296560559535,0.025231545731746415,0.03098482967249732,0.021457820102288628,0.11396414753791939,0.22448133591322914,0.02167788569275089,0.5896591652772155,0.3209985499897941,2.9160230505358053,0.20755800272105976,0.03817661942776643,0.012319821133184576,0.012319821133184576,0.026716021632368556,0.032870919669846135,0.021788206758938996,0.11513032809860274,0.0,0.015790260588942173,0.00021252530173421214,-0.16781689055933102,-0.009745874147943923,0.005287447323759187,-0.07143482181411798,0.9087519096244305,-0.07134435922296611,0.05883412440936464,0.06087140117549006,0.015397027986786549,0.01023287223111402
7,1.9,0.2247521584202048,0.021294910135472214,0.5892406441586017,0.386060822783267,2.95424233182439,0.20610778426149945,0.04113760830561977,0.0064477420290613595,0.013252641097876515,0.025167061937082846,0.030766599543164404,0.021340907206751844,0.11397302579705833,0.2247521584202048,0.02163393197262414,0.5893829837741211,0.3210008856381864,2.9247696762671893,0.20722354356211473,0.038200451980583694,0.012309040149091949,0.012309040149091953,0.026659767051431048,0.032661254307389795,0.02167788569275089,0.11513626247056263,0.0,0.01592032250876696,0.00024156448970469313,-0.16852250553691894,-0.009976383873356753,0.005413474821502451,-0.07139832493944076,0.9090466233935011,-0.07120097358825761,0.059311854442124945,0.06158154597381693,0.015790260588942173,0.01020624542841908
8,1.9,0.22607343742138938,0.02043156699273784,0.5904326534501713,0.3922359122667115,2.962277204661813,0.20580657070817468,0.04142316589412005,0.006489269842163477,0.013337997056620135,0.025344547452338214,0.03084253740179576,0.021294910135472214,0.10929125892151424,0.22607343742138938,0.02080040634033524,0.5905081771912751,0.31461829128475505,2.9322637513793115,0.20693820190618087,0.038463387157938934,0.01238795881812156,0.01238795881812156,0.027032017537912532,0.03275109764174022,0.02163393197262414,0.11064163593464987,0.0,0.018052425823652962,0.00012791254118904583,-0.19788504457281375,-0.010131885441129085,0.005498518313153289,-0.07145225798883825,0.9089911684103278,-0.0712279538273729,0.06658118827127213,0.06188077897356603,0.01592032250876696,0.012355764097340849
9,1.9,0.2696024035234088,0.0,0.5663881863131774,,2.961913470080728,0.20582017932050375,0.047294688818818625,0.007424079094650131,0.015259397054067512,0.03279487221462758,0.031160836815573058,0.02043156699273784,0.0,0.2696024035234088,0.0,0.5673519157720912,,2.930904680162659,0.20698986607110526,0.043997545331078594,0.014197405835474729,0.014197405835474729,0.033037365928144706,0.03337779795422803,0.02080040634033524,0.0,0.0,,0.0017015352406748452,,-0.010469174819352167,0.005683051848769605,-0.06971487856429437,0.9123457137876574,-0.06959588343038103,0.007394257002439675,0.071145751052071,0.018052425823652962,
