t,ρ,τ_base,s_base,h_base,ι_base,R_base,w_base,bbar_base,b0_base,bi_base,c10_base,c20_base,s__base,sr_base,τ_ee,s_ee,h_ee,ι_ee,R_ee,w_ee,bbar_ee,b0_ee,bi_ee,c10_ee,c20_ee,s__ee,sr_ee,d_τ,d_s,d_h,d_ι,d_R,d_w,d_bbar,d_b0,d_bi,d_c10,d_c20,d_s_,d_sr
3,0.8,0.12500000000370382,0.013883545628372188,0.499450140761161,0.36181734402694055,3.992201281705604,0.106126143786683,0.01773941625447504,0.002896958887955545,0.00483011709237667,0.011241827303372089,0.022732497019345075,0.01476348791336182,0.14930031492450363,0.12500000000370382,0.014001863575879925,0.499038711508488,0.3324510241252814,3.990326428570159,0.10616375780724935,0.01669896474480205,0.004540254755986957,0.004540254755986957,0.01161020102285217,0.024641424217555087,0.01476348791336182,0.15064342421965968,0.0,0.008522170825437048,-0.0008237644142936595,-0.08116338364219644,-0.00046962890975377203,0.000354427469276164,-0.05865195870864803,0.5672485981294426,-0.06001145124353202,0.0327681354231073,0.08397349383068375,0.0,0.00899602452838244
4,0.8,0.21402132387282605,0.01307717570479615,0.4972994799873295,0.41937002290101166,3.5946532779170903,0.11486527470766578,0.02565747504095267,0.00419996200282059,0.0070026220743066294,0.01229457706993705,0.022257011150884114,0.013883545628372188,0.13049144909708232,0.21402132387282605,0.013272062284556586,0.49730491724793485,0.38199284544854106,3.577330019551715,0.11528464252578345,0.024237389214491926,0.006609592831059955,0.006609592831059955,0.01278377768096929,0.023261827558557952,0.014001863575879925,0.1319529354568203,0.0,0.014902803492114813,1.0933573880933523e-05,-0.08912696523683838,-0.004819173652100717,0.0036509538603810565,-0.05534784012043681,0.5737268162476512,-0.056126010953631233,0.03978995033740862,0.045146062104296725,0.008522170825437048,0.011199863055016523
5,0.8,0.2703245827855388,0.012802937252070584,0.4942554335330599,0.4612647536995927,3.3385250579664167,0.12145246407960661,0.028472640553770263,0.004640716699492989,0.007737495048442988,0.012994665161863877,0.02294977394440071,0.01307717570479615,0.12157007647945776,0.2703245827855388,0.013033758156319785,0.4946279956871365,0.42454439944495553,3.311915365123997,0.12218788039008058,0.026958678972705447,0.007326153165634187,0.007326153165634187,0.013505739958518809,0.024117010437263754,0.013272062284556586,0.12292428456731536,0.0,0.018028746037310306,0.0007537846400866854,-0.07960797776140505,-0.007970493670228174,0.00605517818059198,-0.05317250355497294,0.5786684773139867,-0.05316215134658797,0.03932958566372369,0.05086047887403389,0.014902803492114813,0.011139320851594636
6,0.8,0.2624152348971726,0.012818839535578767,0.4945144233763758,0.4549997524055974,3.3801097072891957,0.12032354916093246,0.027565737484626627,0.004465400068317548,0.007445188567899178,0.012870344976646169,0.02442678564944985,0.012802937252070584,0.12279875677498933,0.2624152348971726,0.013071669523732272,0.49506055651629294,0.4181624047107297,3.3479642309726514,0.12119405748841866,0.02612035031957701,0.007060123927395628,0.007060123927395627,0.013403032404339118,0.02558577943178043,0.013033758156319785,0.1241841771312303,0.0,0.019723313288365407,0.0011043826309216076,-0.08096124778114178,-0.009510187272094406,0.007234729473628576,-0.0524341917518335,0.5810730996955682,-0.05171993120010465,0.041388745108195124,0.047447658441980956,0.018028746037310306,0.011282038944250505
7,0.8,0.2637179665926379,0.012777074774354365,0.49440930073033357,0.4562401976038488,3.3773096732953602,0.12039879672554205,0.027699501957031372,0.004489419926562772,0.007485237022970144,0.012884997164081532,0.02418781100499975,0.012818839535578767,0.12234818003307278,0.2637179665926379,0.013041642776228404,0.4950480707345054,0.4190850494056519,3.342378025043899,0.12134683070161759,0.026259484588834738,0.007103937908695671,0.007103937908695671,0.013430710708978656,0.025373646129475794,0.013071669523732272,0.12374605013891722,0.0,0.020706461106815288,0.0012919862211902,-0.08143769092099717,-0.01034303976554718,0.007874115039842478,-0.05198712130024752,0.5823732297046778,-0.05094015234312155,0.04235263213082918,0.04902614478965983,0.019723313288365407,0.011425344500151757
8,0.8,0.26581527164319785,0.0119000093118207,0.4970336168571042,0.46875337912928344,3.393823365319563,0.11995658459176434,0.027970844453828834,0.0045324342900087055,0.007556955131556948,0.013106028376812774,0.024316439529904768,0.012777074774354365,0.11376595102866743,0.26581527164319785,0.012194808919905879,0.49763015095310964,0.41542923398296094,3.3567010844312897,0.12095601402776104,0.026521354665269243,0.007174600263898185,0.007174600263898183,0.013808683893248972,0.02552084307535996,0.013041642776228404,0.11548237387984395,0.0,0.02477305692461451,0.0012001886306554077,-0.11375735625708538,-0.010938188848487074,0.008331592962553591,-0.05182145254685633,0.5829463385081761,-0.0505964189283189,0.05361315390399568,0.04953042339829383,0.020706461106815288,0.015087315982125427
9,0.8,0.3814580005026304,0.0,0.45879519677483904,,3.37657234339574,0.12041862979292524,0.03699780294593356,0.006026997406174832,0.010048849263380238,0.01803777006264347,0.024862090525246277,0.0119000093118207,0.0,0.3814580005026304,0.0,0.4600798231960292,,3.335112100845871,0.12154621289022047,0.035175773485686616,0.009565440518958277,0.009565440518958277,0.018257651882036142,0.026461385658256426,0.012194808919905879,0.0,0.0,,0.002799999717129964,,-0.01227879587148839,0.009363859223728399,-0.04924696374294302,0.5870988278770801,-0.04810588075826616,0.012190077744036243,0.06432665553148631,0.02477305692461451,
