t,ρ,τ_base,s_base,h_base,ι_base,R_base,w_base,bbar_base,b0_base,bi_base,c10_base,c20_base,τ_reform,s_reform,h_reform,ι_reform,R_reform,w_reform,bbar_reform,b0_reform,bi_reform,c10_reform,c20_reform,d_τ,d_s,d_h,d_ι,d_R,d_w,d_bbar,d_b0,d_bi,d_c10,d_c20
3,0.8,0.12500000000370382,0.013883545628372188,0.499450140761161,0.36181734402694055,3.992201281705604,0.106126143786683,0.01773941625447504,0.002896958887955545,0.00483011709237667,0.011241827303372089,0.022732497019345075,0.13733636869232307,0.013623603290153935,0.49765793260130653,0.3374807717645438,3.984029455947854,0.106290317349696,0.018258189368507777,0.004980464916447159,0.004980464916447159,0.011667430755731432,0.025348205194385628,0.09869094950602975,-0.01872305138588226,-0.003588362508263887,-0.06726203888275928,-0.002046947330836546,0.0015469662531317763,0.02924409160881325,0.7192045552161757,0.03112715927897103,0.03785892105206767,0.11506470990910578
4,0.8,0.21402132387282605,0.01307717570479615,0.4972994799873295,0.41937002290101166,3.5946532779170903,0.11486527470766578,0.02565747504095267,0.00419996200282059,0.0070026220743066294,0.01229457706993705,0.022257011150884114,0.23070881333440585,0.012650135361311574,0.49326247189289624,0.3929805646460892,3.616746222259916,0.11433555708926667,0.025772791341208526,0.007008854143018893,0.007008854143018893,0.012641894192139968,0.023637583267913716,0.07797115333935456,-0.03265539540987861,-0.00811786108148782,-0.06292642967747708,0.006146057111696468,-0.004611642811522043,0.0044944523992245244,0.6687898934113978,0.0008899621664761881,0.028249619342513688,0.06202863932045788
5,0.8,0.2703245827855388,0.012802937252070584,0.4942554335330599,0.4612647536995927,3.3385250579664167,0.12145246407960661,0.028472640553770263,0.004640716699492989,0.007737495048442988,0.012994665161863877,0.02294977394440071,0.28290109957212706,0.012364151452083392,0.4899279561027747,0.43444602000915156,3.3852939648725284,0.12018451672268433,0.027711899683306555,0.007469628566209557,0.007469628566209557,0.013220501047905064,0.024298796027450033,0.04652376286682669,-0.034272276068230245,-0.008755548521442336,-0.05814173633545683,0.014008853039611413,-0.010439865230656764,-0.02671831118111634,0.6095851244325332,-0.03461927672410381,0.017379123142315267,0.05878149764427021
6,0.8,0.2624152348971726,0.012818839535578767,0.4945144233763758,0.4549997524055974,3.3801097072891957,0.12032354916093246,0.027565737484626627,0.004465400068317548,0.007445188567899178,0.012870344976646169,0.02442678564944985,0.27297116443598535,0.012410106316040408,0.49049372491244525,0.42610275040463536,3.4319636433670415,0.11894952787301852,0.026675325248188088,0.007141617379471588,0.007141617379471588,0.013094766266696858,0.02557660361532347,0.04022605449317407,-0.03188535267985204,-0.008130598975210068,-0.06350992906739561,0.015340903274832396,-0.011419387954357929,-0.03230141174111956,0.5993230774868448,-0.04077414368475152,0.017437084278464354,0.04707201276396811
7,0.8,0.2637179665926379,0.012777074774354365,0.49440930073033357,0.4562401976038488,3.3773096732953602,0.12039879672554205,0.027699501957031372,0.004489419926562772,0.007485237022970144,0.012884997164081532,0.02418781100499975,0.2748538603294653,0.012363273962491868,0.4904593431717471,0.42748779190864167,3.4245771121521518,0.11914302519553911,0.026870083455437822,0.0072020661244585225,0.0072020661244585225,0.013131395821329205,0.02531116288851302,0.04222652662125537,-0.03238619317569158,-0.007989246061414379,-0.06302032535978497,0.013995589220182847,-0.010430100334520409,-0.029943444574569544,0.6042308900189315,-0.03783058541000739,0.01912291125174148,0.04644289155728343
8,0.8,0.26581527164319785,0.0119000093118207,0.4970336168571042,0.46875337912928344,3.393823365319563,0.11995658459176434,0.027970844453828834,0.0045324342900087055,0.007556955131556948,0.013106028376812774,0.024316439529904768,0.278469079626887,0.011463954073456843,0.49283712389647716,0.4254059028428889,3.4414393818627076,0.11870236896906233,0.027256228571107332,0.007305053623477315,0.007305053623477315,0.013505266995987069,0.02549357245387522,0.04760376597426763,-0.03664326866792522,-0.008443076722179699,-0.09247394945058984,0.014030198810497385,-0.010455579633000922,-0.025548598788324384,0.6117285229221234,-0.033333730807494466,0.030462212326705318,0.04840893431469673
9,0.8,0.3814580005026304,0.0,0.45879519677483904,,3.37657234339574,0.12041862979292524,0.03699780294593356,0.006026997406174832,0.010048849263380238,0.01803777006264347,0.024862090525246277,0.4044327851854651,0.0,0.4522705701531332,,3.421146618114069,0.11923313950185734,0.03631342749124545,0.009779694541353391,0.009779694541353391,0.01770742441435437,0.02646405777331835,0.06022887094401441,,-0.014221218241977085,,0.013201042413769626,-0.009844741574509652,-0.01849773230286711,0.6226478762598793,-0.026784631252027458,-0.018314106851447853,0.06443413302052581
