t,ρ,τ_base,s_base,h_base,ι_base,R_base,w_base,bbar_base,b0_base,bi_base,c10_base,c20_base,τ_reform,s_reform,h_reform,ι_reform,R_reform,w_reform,bbar_reform,b0_reform,bi_reform,c10_reform,c20_reform,d_τ,d_s,d_h,d_ι,d_R,d_w,d_bbar,d_b0,d_bi,d_c10,d_c20
3,1.2,0.10923076923089316,0.025876041016241216,0.6036374417914894,0.31303373550599034,3.2494661591318534,0.19580349861539584,0.028942292012622748,0.004904726438685598,0.009541282377133314,0.023666420398481755,0.03237736967626242,0.12238710624068368,0.0253152890150648,0.6014807140751172,0.2664644146422247,3.2419149513276304,0.19604894503469233,0.030002047682468055,0.009894220232300003,0.009894220232300004,0.025020870509003982,0.03655730549112295,0.12044533882188913,-0.021670703057877216,-0.003572885919686186,-0.14876773836689072,-0.0023238302645504083,0.0012535343905095697,0.036616162582531864,1.017282789568081,0.03699060998472725,0.05723088188736458,0.12910053709289016
4,1.2,0.18720226214580435,0.02324866511674329,0.5982705501665643,0.3590839714794448,2.965582331399531,0.2056830317885891,0.04055134641102446,0.006876130689238634,0.013376302509071226,0.02518867183481081,0.030897566372519843,0.20832530717501913,0.022414597293329223,0.5927524869378162,0.3066735793529054,2.9900533745563,0.20477489884110237,0.04144186057498211,0.013621206765136956,0.013621206765136954,0.02636174302354574,0.03379098157981222,0.11283541548639442,-0.03587594467148081,-0.009223357605036342,-0.14595581058827511,0.008251682274226457,-0.004415205958360979,0.02196016267700429,0.9809406453624541,0.01830881560129516,0.04657137924651278,0.09364540793949927
5,1.2,0.23863114498932175,0.022386998606565834,0.5918606609862956,0.39278786131746524,2.802387451181591,0.21204831329654938,0.044281083681017096,0.007441809353804084,0.01447673082873609,0.025814039883714026,0.030836764733477993,0.2558857620824582,0.02156802149827734,0.5860779997678628,0.3411930140993512,2.851478793865658,0.21007470549485563,0.043614501594817265,0.014127292339124358,0.014127292339124358,0.026731787862805702,0.03372825714391906,0.07230664335080217,-0.03658271136213398,-0.009770308451986676,-0.13135550331178192,0.017517685737340916,-0.009307349683718824,-0.015053427576470768,0.8983679462176504,-0.024137942035787674,0.03555228020201051,0.0937676969498007
6,1.2,0.2334718793143234,0.022218768451899157,0.5908532499859052,0.3891993539743911,2.8688555184524,0.2093885917659639,0.043170014340870824,0.007177353583277114,0.013962278654001471,0.025425825631766288,0.03240417930886444,0.24889807418988022,0.021452772650014353,0.5854665809012802,0.3358714032437564,2.92175574485469,0.20733861827446481,0.042303609238349,0.013548383288590812,0.013548383288590812,0.026349088080284612,0.03504916969454075,0.06607303166814593,-0.034475169204048695,-0.009116763062153588,-0.1370196280802244,0.018439487824338796,-0.009790282623374003,-0.020069604232249794,0.887657216743214,-0.029643826460377998,0.03631199481541425,0.08162497684219239
7,1.2,0.23407775325973182,0.022118301017096033,0.5903630744990679,0.38976544250024303,2.88140109503524,0.20889719568890705,0.04321820758171272,0.0071731358157299885,0.01395407372928828,0.025346740728079915,0.03209013917098597,0.25001561340125933,0.021336642462306158,0.5850389540541031,0.33631317195224775,2.930556609287494,0.2070031036767266,0.04243807310060778,0.013577268299229799,0.013577268299229799,0.026304721891849875,0.03469302133722861,0.06808788925722009,-0.03533990039224544,-0.009018383220329884,-0.1371395837586652,0.01705958755167769,-0.00906710119268972,-0.018051060531141694,0.892793981323506,-0.02700325635141243,0.03779504331729244,0.08111158859030487
8,1.2,0.23541356161167107,0.020867912923287886,0.5921841436771293,0.3977289334737995,2.8956928368055745,0.20834139955314493,0.04351901806812164,0.007217070495866869,0.014039540919879918,0.025604588883622013,0.03218069187150002,0.2527421617026224,0.019937945771801076,0.5867989399396198,0.3269726013024755,2.9466621298417848,0.2063931106551218,0.04293450136491147,0.013726058354601996,0.013726058354601998,0.026886606444621538,0.03487069850692611,0.07360918365245217,-0.04456445428469258,-0.009093799276810088,-0.17790089233220208,0.01760176092863408,-0.009351424643406658,-0.013431293470252736,0.9018878037096558,-0.022328548138923154,0.05006983579492541,0.08359070234311594
9,1.2,0.299615624607071,0.0,0.5610981686695146,,2.9037426807573903,0.20803020088966906,0.052240505000851714,0.008690140840159297,0.016905140111186007,0.03310161216004033,0.03279054521725433,0.33132174660915853,0.0,0.5516902339002254,,2.95837967968889,0.20595252502580727,0.05264438214702829,0.01688091515722612,0.01688091515722612,0.032486040317631026,0.036167071527791556,0.1058226587604314,,-0.01676700316380897,,0.018816060835407322,-0.00998737613565881,0.007731111063531859,0.9425364292388938,-0.0014329933854767551,-0.01859643087572671,0.1029725577347369
