t,ρ,τ_base,s_base,h_base,ι_base,R_base,w_base,bbar_base,b0_base,bi_base,c10_base,c20_base,τ_reform,s_reform,h_reform,ι_reform,R_reform,w_reform,bbar_reform,b0_reform,bi_reform,c10_reform,c20_reform,d_τ,d_s,d_h,d_ι,d_R,d_w,d_bbar,d_b0,d_bi,d_c10,d_c20
3,1.01,0.12500000000224665,0.021218549833106393,0.5265196600671549,0.3619293532316179,3.218930089310419,0.12484125890412437,0.02083793132075221,0.003670740360592417,0.005976172788245737,0.012490847466684479,0.02830154508785113,0.13409419272111867,0.020977923379189092,0.5250127335716442,0.34254760405894125,3.2136755892794873,0.12499521395822219,0.02103012572093915,0.006032993835286445,0.006032993835286445,0.012984526092620264,0.031513018722770555,0.07275354174966853,-0.011340381685362,-0.0028620517139255064,-0.05355119445167866,-0.0016323746975372977,0.0012332065172144802,0.009223295596311631,0.6435359743920397,0.009507932426664034,0.039523229088540335,0.11347343846248159
4,1.01,0.2131673588925729,0.01985804454456593,0.524330547626907,0.41752549074828194,2.9090886804317213,0.13474630373741542,0.029914218418761393,0.00528661163433202,0.008606902555761114,0.013687407853075068,0.027627295661220637,0.2249546149911812,0.01948181695513647,0.5212682415492469,0.39539727048507645,2.91830223029133,0.1344252514579517,0.02959620387740453,0.008491032060496988,0.008491032060496988,0.01415182618308436,0.029461769177350956,0.05529578336873109,-0.018945852829825194,-0.005840411342653895,-0.05299848932228712,0.0031671601906069213,-0.0023826425702137,-0.010630882508948059,0.6061387988773375,-0.013462508087368374,0.033930334727693134,0.06640076316645427
5,1.01,0.26856489171511166,0.019418403889641996,0.5209187418730136,0.4578393530671487,2.7111301416414904,0.14210391614212367,0.03300880581138644,0.00580925082227179,0.009457788694853888,0.01440024179191181,0.02828788093874208,0.27713051127504573,0.01906175124497634,0.5178295674783931,0.43510317715312735,2.73157405483895,0.14130085071859516,0.03192152952357642,0.009092840899030513,0.009092840899030513,0.014777385843897557,0.030134312221018467,0.03189404059939571,-0.01836673326461702,-0.005930242370456806,-0.049659724009540884,0.007540734722930598,-0.00565125469677652,-0.03293897676949464,0.5652346881236276,-0.0385870109386085,0.02619011940463234,0.06527287378912794
6,1.01,0.26166365979457384,0.01940388583238889,0.5209213145996201,0.4524778995422559,2.7459566061334226,0.14074217408444412,0.03206118107250919,0.005605761992411404,0.009126497378045158,0.014254171850028802,0.03001871521561505,0.26863608956668994,0.019099370738175532,0.5181977233699373,0.4282499907336977,2.766845504861185,0.139939845565539,0.03087048111045594,0.008735441827951782,0.008735441827951782,0.014644247058600342,0.03168318401092879,0.026646534629952034,-0.015693510920635423,-0.0052284119565660925,-0.05354495508635482,0.007607148154163967,-0.005700697208384176,-0.03713836865087328,0.5582969522746539,-0.0428483714939869,0.027365687230068936,0.05544770265344057
7,1.01,0.26257183964883773,0.01934140874162542,0.5208149138786169,0.45341588752030465,2.7468076534082337,0.14070927681753986,0.03215821002493951,0.0056227548642823035,0.009154162733938822,0.01425577100962129,0.029739257742579572,0.2700053513647507,0.019033323903129843,0.5182271974388372,0.42921030015755174,2.763827415435599,0.1400551106983425,0.031033090541529005,0.008787698793364291,0.008787698793364291,0.014676545016802836,0.0313938871358164,0.028310392027776077,-0.01592876933687548,-0.004968591280361867,-0.05338495634798179,0.006196197249649815,-0.0046490617675878365,-0.034987005885524836,0.5628813642911614,-0.040032491362194667,0.029516047002828838,0.05563788469635522
8,1.01,0.26536780970105467,0.017925656643003354,0.5249548807881241,0.4671095859139347,2.7643089365551266,0.14003670591902806,0.032609068812716926,0.005700421430169581,0.009280608293149426,0.014615489270664675,0.029942587068656795,0.27465808156363103,0.017562286165753383,0.5220866873806514,0.4291971737185625,2.7810270824889156,0.1394011706102825,0.031652660170806646,0.00896365330012147,0.008963653300121468,0.015269009567770149,0.03168269413370145,0.03500903848527126,-0.020270971629471668,-0.0054636950954082275,-0.08116384963754009,0.006047857282776459,-0.004538348032215422,-0.02932952938347322,0.5724544947994856,-0.034152394219883364,0.04471422646227663,0.05811478684372462
9,1.01,0.4031098304946696,0.0,0.476252181482721,,2.730873320454443,0.141328201929993,0.04499631289145745,0.007928372762060154,0.012907838991926348,0.022139580650720962,0.03079464701038109,0.4231411781719808,0.0,0.4708487764227933,,2.7450262077342784,0.14077815914514752,0.04408475121543203,0.012577248655155776,0.012577248655155776,0.021916222778586125,0.03326838764537178,0.04969203468129302,,-0.011345680439940886,,0.005182549909521494,-0.003891953462465736,-0.02025858603624564,0.5863593996667269,-0.02561159439448779,-0.010088622528971136,0.08033021564289333
