t,ρ,τ_base,s_base,h_base,ι_base,R_base,w_base,bbar_base,b0_base,bi_base,c10_base,c20_base,s__base,sr_base,τ_ee,s_ee,h_ee,ι_ee,R_ee,w_ee,bbar_ee,b0_ee,bi_ee,c10_ee,c20_ee,s__ee,sr_ee,d_τ,d_s,d_h,d_ι,d_R,d_w,d_bbar,d_b0,d_bi,d_c10,d_c20,d_s_,d_sr
3,0.7,0.10923076923112617,0.02685503452305766,0.6041780474505954,0.3667207324573899,3.2494661591352623,0.19580349861528526,0.028723295065292444,0.005424468556117814,0.009459710404919292,0.027107764228040915,0.037482964128522235,0.028894909391638295,0.1475549158701409,0.10923076923112617,0.02718912978726682,0.6036346567917206,0.3239897678293916,3.2475662143526343,0.1958651722407898,0.02693111105594193,0.008853929660448717,0.008853929660448718,0.02814706231143052,0.040459614850043985,0.028894909391638295,0.14947800036719971,0.0,0.012440693901261124,-0.0008993882865618863,-0.11652181304738018,-0.0005846944358188777,0.0003149771374908461,-0.062394791589078014,0.6322206625132141,-0.0640379798683427,0.038339498405203454,0.07941342929324802,0.0,0.01303300866472834
4,0.7,0.19108377964417206,0.02488687867066258,0.6005442767264716,0.4237806499837366,2.90200178701048,0.2080973894842659,0.0416032379353858,0.00787636914491716,0.013735570661410958,0.029055690642006766,0.036456147338135875,0.02685503452305766,0.1294410784241069,0.19108377964417206,0.0254107631295637,0.6006320161870486,0.3687203764596948,2.87904650424391,0.20898917118069413,0.0391697441571437,0.012920506372562,0.012920506372562004,0.030434932776216613,0.0382820265887004,0.02718912978726682,0.13158270274925685,0.0,0.02105062936312274,0.00014609990300007425,-0.12992635111148854,-0.007910154593742558,0.004285405495178862,-0.058492893798832934,0.6404140200691284,-0.05933967426186493,0.047468915855534144,0.05008426243259434,0.012440693901261124,0.01654516750959867
5,0.7,0.24534865165107028,0.024006388855879687,0.5950165333805334,0.46540149343575643,2.6903409800450513,0.21675884082515562,0.04617014739244292,0.00868840949781002,0.015151684792409362,0.03021801055618097,0.03706229946575393,0.02488687867066258,0.1209857831201974,0.24534865165107028,0.024600638971371904,0.5955994266065139,0.411260369842972,2.6558466873542765,0.2182702439121283,0.04357656534702741,0.014302636735088888,0.014302636735088888,0.03162992505680487,0.03918650236456967,0.0254107631295637,0.12300165060015751,0.0,0.024753831951142224,0.000979625259602157,-0.1163320796267665,-0.012821531897491023,0.006972740217741968,-0.05617443720441806,0.6461743359004863,-0.0560365443812445,0.046724270547158886,0.0573143849527884,0.02105062936312274,0.016662019519742888
6,0.7,0.23816959168176347,0.02388071369880349,0.594549943253636,0.4595864492612747,2.7526704052660906,0.214102039304834,0.04464606521000526,0.00832427100947279,0.014516665045991929,0.029805989728499818,0.03907878177418085,0.024006388855879687,0.12194149430508029,0.23816959168176347,0.024514715277110938,0.5953384243553683,0.405246703836631,2.711600011857986,0.21584211935113878,0.04216587782449561,0.013723663177282618,0.013723663177282618,0.031259420473755864,0.04115764688537879,0.024600638971371904,0.12400525787203381,0.0,0.026548686371095087,0.0013261814430884922,-0.11823617844257106,-0.014920200155286834,0.00812733989809078,-0.055552205414819866,0.6486324341993994,-0.054627000498868705,0.04876304254598551,0.05319677371753273,0.024753831951142224,0.016924210898960013
7,0.7,0.2393264382743558,0.02371194527433775,0.5940730060062993,0.4608422038570184,2.760637424375091,0.21376911038348922,0.044792352169524145,0.008344997276840085,0.014552809506051232,0.029765732530392205,0.038643689834708526,0.02388071369880349,0.12136564596154635,0.2393264382743558,0.024364563009483958,0.5949596480961306,0.4059864008331975,2.716649832449997,0.21562598709059988,0.04231987444181762,0.013767748301673585,0.013767748301673589,0.031242941202782627,0.04075632660421183,0.024514715277110938,0.12344780465071008,0.0,0.02752274128485377,0.0014924800165416752,-0.11903380932715213,-0.01593385336904629,0.008686365882234037,-0.05519865798404655,0.6498205865067552,-0.05394567997685984,0.04962782860734638,0.05466964408781161,0.026548686371095087,0.017156079652255407
8,0.7,0.24134644180518014,0.021940344030759586,0.5964356021831502,0.47473379297918017,2.7805574913164697,0.21294311338988653,0.04521109282292596,0.008416253575542924,0.014677073098563913,0.03015871063194532,0.03880069857039386,0.02371194527433775,0.112287039348635,0.24134644180518014,0.022642619668033766,0.5973003285163335,0.40026394052393305,2.734490492564984,0.21486732958315038,0.042721404620580765,0.01388953378096455,0.01388953378096455,0.03196766708988815,0.04093824209842311,0.024364563009483958,0.11467714926517128,0.0,0.032008415013438984,0.0014498234679789501,-0.15686655038377062,-0.016567540464583197,0.00903629219387203,-0.05506808278438036,0.6503226353976093,-0.053657790780943904,0.05998122665186845,0.05509033617400538,0.02752274128485377,0.02128571498902332
9,0.7,0.3272446099413486,0.0,0.5576496860288295,,2.7994386470980293,0.21216855605966306,0.05688112667121221,0.010630794856761886,0.01853900334727809,0.03929771363459314,0.03978925157921353,0.021940344030759586,0.0,0.3272446099413486,0.0,0.559321713239826,,2.7480332932126785,0.2142965001105884,0.05388718539774595,0.017588665414790972,0.017588665414790976,0.039810859899753775,0.04249415757694576,0.022642619668033766,0.0,0.0,,0.002998346906466498,,-0.01836273637882324,0.010029497727867653,-0.052635055750073656,0.6545014414988379,-0.05126154382115933,0.013057916547819737,0.06798082121115634,0.032008415013438984,
