ρ,preferences,family,scenario,effect,τ,sr,srOverY,workweek,hbar,h,R,θ,ω
0.5,CRRA,baseline,Baseline,baseline,0.1442857142857193,0.22731022974357035,0.15911716082049923,39.392710265653776,0.46896083649587794,0.672259612256926,2.442999999999967,,
0.5,CRRA,theta,$\theta = 0$,full,0.20228540699882366,0.19615794293536543,0.13731056005475578,36.80165291528349,0.43811491565813643,0.6280417049855366,2.8698659708584713,,
0.5,CRRA,theta,$\theta = 0$,ee,0.1442857142857193,0.23671813525344604,0.16570269467741222,38.543631460788134,0.4588527554855727,0.6577695864555729,2.3592039225922345,,
0.5,CRRA,theta,$\theta = 1$,full,0.11208017508398133,0.24931346001715277,0.17451942201200693,40.5541744678293,0.4827877912836818,0.6920806773458543,2.2136342158563957,,
0.5,CRRA,theta,$\theta = 1$,ee,0.1442857142857193,0.22418259850040953,0.15692781895028665,39.66241654250529,0.472171625506015,0.6768623074225222,2.4719067987286802,,
0.5,CRRA,ageing,Mild ageing,full,0.1875743598247854,0.21155705875518926,0.14808994112863247,39.08302639036379,0.46527412369480675,0.6669746760207366,2.332445950060566,,
0.5,CRRA,ageing,Mild ageing,ee,0.1442857142857193,0.23722803458550504,0.1660596242098535,40.504596986326796,0.4821975831705567,0.6912346086629232,1.9842818958274293,,
0.5,CRRA,ageing,Acute ageing,full,0.23748740322914752,0.19409948304225738,0.13586963812958017,38.683471636961286,0.460517519487634,0.6601560407507491,2.2082268898355117,,
0.5,CRRA,ageing,Acute ageing,ee,0.1442857142857193,0.24842241299748882,0.17389568909824216,41.817343729367096,0.49782552058770324,0.7136373986846413,1.5632413592256984,,
0.5,CRRA,french,Income distribution,full,0.12888766618113676,0.23906915273552107,0.16734840691486474,42.287188703488006,0.5034189131367616,0.8172029478996896,2.3179799673541144,,
0.5,CRRA,french,Income distribution,ee,0.1442857142857193,0.2273102297333844,0.15911716081336907,41.8232366320897,0.4978956741915437,0.8082370409180418,2.4429999998101057,,
0.5,CRRA,french,Leisure preferences,full,0.14413236369885418,0.2273770759464689,0.1591639531625282,32.76543520336009,0.3900647048019056,0.5591612919420111,2.4432194414981394,,
0.5,CRRA,french,Leisure preferences,ee,0.1442857142857193,0.22731022973338413,0.15911716081336888,32.76416968342089,0.39004963908834367,0.5591396951049848,2.442999999810108,,
0.5,CRRA,french,Voting,full,0.147548977124498,0.22485154895060924,0.15739608426542645,39.29937205995764,0.46784966738044775,0.670666741252446,2.4706446822067556,,
