t,ρ,τ_base,s_base,h_base,ι_base,R_base,w_base,bbar_base,b0_base,bi_base,c10_base,c20_base,s__base,sr_base,τ_ee,s_ee,h_ee,ι_ee,R_ee,w_ee,bbar_ee,b0_ee,bi_ee,c10_ee,c20_ee,s__ee,sr_ee,d_τ,d_s,d_h,d_ι,d_R,d_w,d_bbar,d_b0,d_bi,d_c10,d_c20,d_s_,d_sr
3,2.0,0.10923076923429871,0.025040578430918302,0.6029256895431341,0.3156360211560584,3.249466159129902,0.19580349861545915,0.029037585241193018,0.0046368222560152035,0.009575868167460748,0.02382532958545401,0.03234233556799491,0.02883501517937672,0.13787117508981847,0.10923076923429871,0.02526505518707981,0.6022803873444472,0.26464114889905155,3.2472051302682674,0.19587689957722187,0.026893069065025643,0.008834594583694054,0.008834594583694054,0.025042864896600858,0.03518343425252755,0.02883501517937672,0.13920398422868557,0.0,0.008964519600886733,-0.0010702847960846196,-0.16156227058696093,-0.0006958154819621809,0.0003748705323538548,-0.07385311686059703,0.9053123229455717,-0.07741058782383581,0.05110255901308425,0.08784457382676192,0.0,0.009667061573957136
4,2.0,0.1800668900740018,0.02202180274694476,0.5967214865689963,0.3577626132856173,3.0244254002364808,0.20351847113795193,0.03872608895849064,0.006178233968095856,0.012759159337942031,0.025185192265540935,0.03008241084276425,0.025040578430918302,0.1178665895150726,0.1800668900740018,0.02232081386222556,0.5964978450256307,0.2919272592669544,3.0061990089165285,0.20418196240200684,0.035894690391710796,0.011813635481041996,0.011813635481041997,0.026669443060971743,0.031913602823643035,0.02526505518707981,0.11912341355644075,0.0,0.013577958113455635,-0.00037478379511923787,-0.18401965877329873,-0.006026398045237635,0.0032601034213015634,-0.07311346544224329,0.9121379251817137,-0.0741054980078758,0.058933470897563955,0.06087251418944173,0.008964519600886733,0.010663106878199935
5,2.0,0.2265795526490555,0.021370750673670842,0.5904115798240124,0.38729477433602855,2.898281296093636,0.2082411873506096,0.041494331417913866,0.006551750806599769,0.013530538486495805,0.02554311632355504,0.029386085194351468,0.02202180274694476,0.11298261856977518,0.2265795526490555,0.021686235665419284,0.5904388703383338,0.32245724772497586,2.873071471305987,0.2092230894156319,0.038505731823091305,0.012551305322857679,0.012551305322857679,0.027015347252513495,0.031272394220013364,0.02232081386222556,0.11410718151960782,0.0,0.01476246653970481,4.6222864276357356e-05,-0.16741131279710397,-0.008698198074019725,0.004715215455284083,-0.07202428603373823,0.9157177513855357,-0.0723720762935971,0.057637091352115366,0.06419055186107192,0.013577958113455635,0.00995341552593021
6,2.0,0.22304628568415585,0.02126167903498506,0.5894912248182805,0.3848968134741984,2.952375914312666,0.206177933487945,0.040811061403356566,0.006375726518972942,0.013167016815938123,0.025221003663754214,0.03081189261485431,0.021370750673670842,0.11370809599318167,0.22304628568415585,0.021582991088275657,0.5895805439610522,0.3200903607042674,2.9246746844180143,0.20722716765487106,0.03787380022066987,0.012219922684869199,0.012219922684869199,0.026698228986111117,0.03267183309937948,0.021686235665419284,0.11482465611053763,0.0,0.015112261489880208,0.00015151903711396741,-0.16837357572531664,-0.009382690652758874,0.005088974116560507,-0.07197218307204123,0.9166321906225192,-0.07192928696821488,0.0585712345968159,0.06036436994553518,0.01476246653970481,0.00981953050575135
7,2.0,0.22329616577267244,0.021219584976420697,0.5892239945827077,0.38521835509049823,2.9613388088460075,0.2058416846943338,0.04083531473730435,0.006369570886651252,0.013154304333046766,0.02516007530726634,0.03060384252778666,0.02126167903498506,0.11371990558554552,0.22329616577267244,0.02154266337340444,0.589327828264762,0.32006820483604126,2.9329434647198216,0.20691237688481223,0.03789749773672333,0.012209793323332805,0.012209793323332805,0.026645641559701064,0.03247205496053158,0.021582991088275657,0.11483369334554827,0.0,0.01522548142872493,0.00017622106874304322,-0.169125249078932,-0.009588684699421868,0.005201532391596819,-0.07194304781241778,0.9168941739734684,-0.07180242951663529,0.05904458688188763,0.06104502828521219,0.015112261489880208,0.0097941319443402
8,2.0,0.22466750161135932,0.020392204898413365,0.5903344904096551,0.3911885116035013,2.968787153347962,0.20556344416643899,0.04112653391614079,0.006412087745482538,0.01324210925904641,0.025329862212545944,0.030679469378723855,0.021219584976420697,0.10922787875679613,0.22466750161135932,0.020744269114999096,0.590373124756199,0.31401117486561764,2.9398955756408562,0.20664876611262814,0.03816556506965561,0.012290888515851275,0.012290888515851278,0.02700101103189401,0.03256182598153701,0.02154266337340444,0.11052285600977632,0.0,0.017264646875587486,6.54448404615593e-05,-0.197289374428533,-0.009731778067863295,0.0052797419822874225,-0.07199655707730557,0.9168309922942783,-0.07183302331879649,0.06597544058176297,0.06135557885882359,0.01522548142872493,0.011855739283041178
9,2.0,0.2660174354703797,0.0,0.5670376698284927,,2.9678384451273443,0.20559882442051047,0.04669417614004336,0.007293866301789609,0.015063139857563856,0.03276604262101087,0.03096889611339113,0.020392204898413365,0.0,0.2660174354703797,0.0,0.5679607248705836,,2.9381052120541615,0.20671656153014095,0.04341163021660874,0.014005135262030989,0.014005135262030989,0.032997803404786405,0.0331437537521941,0.020744269114999096,0.0,0.0,,0.0016278548872601384,,-0.010018480999866908,0.005436495625793958,-0.07029882942124821,0.9201250314383629,-0.07023798527646263,0.0070732003390279186,0.07022716053035372,0.017264646875587486,
