t,ρ,τ_base,s_base,h_base,ι_base,R_base,w_base,bbar_base,b0_base,bi_base,c10_base,c20_base,s__base,sr_base,τ_ee,s_ee,h_ee,ι_ee,R_ee,w_ee,bbar_ee,b0_ee,bi_ee,c10_ee,c20_ee,s__ee,sr_ee,d_τ,d_s,d_h,d_ι,d_R,d_w,d_bbar,d_b0,d_bi,d_c10,d_c20,d_s_,d_sr
3,1.5,0.10923076923028932,0.025499864992123106,0.6033480985360891,0.3144423334035654,3.249466159130444,0.19580349861544158,0.028993612022522323,0.004769083957950246,0.009560017034681892,0.02373303040413729,0.03235162424290614,0.02885521695536761,0.1403016704546639,0.10923076923028932,0.025767556386035218,0.6027135600959727,0.26443525918660404,3.2472444084374055,0.19587562379842652,0.026900242286889742,0.008840891027472873,0.008840891027472873,0.02493741700211987,0.035219495754042054,0.02885521695536761,0.14187152486074603,0.0,0.01049775730164848,-0.0010516954336244888,-0.15903416590151265,-0.0006837279061349122,0.00036835492468179076,-0.07220106739396404,0.8537922807449778,-0.07522225165500951,0.05074727405113122,0.08864690964518607,0.0,0.011189135531991967
4,1.5,0.18450941764649662,0.022677017104605783,0.5975161195862828,0.35914053732381346,2.9914913638861624,0.2047218900985273,0.0398473002586789,0.006553869449816209,0.013137764848713913,0.025181639039318617,0.030540356337283914,0.025499864992123106,0.12049953631076153,0.18450941764649662,0.02305072152751883,0.5973874851716244,0.29442639068011994,2.9708381656230256,0.20548701501331945,0.03704391640691717,0.012200636594538787,0.012200636594538787,0.026682746706939802,0.032443483570841286,0.025767556386035218,0.12205550644707545,0.0,0.016479434715298114,-0.00021528191531883234,-0.18019170747451718,-0.006903980573858881,0.0037373869224435197,-0.07035316906196531,0.8615928632635383,-0.07133087438894625,0.05961119787625235,0.06231516137334725,0.01049775730164848,0.012912664927615669
5,1.5,0.2340464887548815,0.02189278868006388,0.5910522358242472,0.3912366395342733,2.845576031399666,0.21030923950408248,0.04317489637261,0.007032534402115369,0.014097287712692167,0.025679505842199718,0.030207577464671415,0.022677017104605783,0.11448015908119429,0.2340464887548815,0.02229380958889186,0.5912547134409933,0.32748452106210246,2.8161306204205903,0.21149046822809633,0.040201329791050934,0.013123545241413648,0.013123545241413648,0.027175145784684558,0.03223589365759027,0.02305072152751883,0.11588633535942935,0.0,0.01831748868033234,0.00034257144203819756,-0.162950276201281,-0.010347785704602042,0.005616627813401109,-0.068872581786797,0.8661188827552864,-0.0690730366807959,0.05824255153800584,0.06714594029564358,0.016479434715298114,0.012283143992119605
6,1.5,0.22970846346360246,0.0217445995605034,0.5900116770836722,0.38823695346947407,2.908090544717622,0.2078626684074997,0.04226518942821271,0.006809882519483011,0.013650963888339916,0.025310016236526678,0.031718437259558314,0.02189278868006388,0.11524647901167717,0.22970846346360246,0.022156836316627494,0.5903122342884255,0.32447605991592243,2.874932205306059,0.2091501628325285,0.03936147518994754,0.012717466900775838,0.012717466900775834,0.026815926856262502,0.03370699491313683,0.02229380958889186,0.11664902546198874,0.0,0.01895812130166208,0.0005094089090555975,-0.16423190266602217,-0.011402100072775645,0.006193966597719092,-0.06870226485550535,0.8675016587130957,-0.06838322884741022,0.05949860346444735,0.06269406141625922,0.01831748868033234,0.012169972239841398
7,1.5,0.23006115679861985,0.021674174702798896,0.5896244171578472,0.38862838309061265,2.9197109914556933,0.20741679289681905,0.04228600427765809,0.0068012414322937975,0.013633642125616626,0.025234612936912017,0.03144960830199174,0.0217445995605034,0.11519577515051092,0.23006115679861985,0.022090466887988717,0.5899559751588275,0.3245310685009844,2.8853396291855984,0.2087436060758512,0.03938431491629313,0.012704562468483779,0.012704562468483775,0.0267500615629582,0.03344831629158533,0.022156836316627494,0.11659648706459522,0.0,0.019206829828499083,0.0005623206762339628,-0.16493214952517588,-0.0117721796337652,0.006396845503691573,-0.06862056160028529,0.8679769855191006,-0.06814610861665338,0.060054363815085665,0.06355271488284342,0.01895812130166208,0.012159403521996959
8,1.5,0.23141642553019312,0.020624084604046133,0.5911330724325259,0.3958420896897038,2.9307379118814545,0.20699620819232728,0.042585421614237194,0.006844903766843027,0.013721166829678244,0.025449002966806782,0.03153109379165801,0.021674174702798896,0.10955706534013582,0.23141642553019312,0.02107436945602231,0.5913949913447998,0.3168039393548865,2.8955530142289434,0.20834681670744049,0.039661403909693846,0.01278622435641455,0.01278622435641455,0.027200787850158087,0.03354456791123859,0.022090466887988717,0.11117405195511647,0.0,0.021832961831810715,0.000443079442664418,-0.19967091017727412,-0.012005473949024403,0.006524798337650184,-0.0686624106021716,0.8679918362550989,-0.06813870021909929,0.0688351086145167,0.06385678000530604,0.019206829828499083,0.014759309314835045
9,1.5,0.28531341822345674,0.0,0.5635563032021033,,2.934336694643683,0.20685947129013554,0.049893531357318895,0.008040081232747496,0.016116997356936464,0.0329325134561145,0.031995656081133694,0.020624084604046133,0.0,0.28531341822345674,0.0,0.56471407861143,,2.89729256391727,0.20827944985897304,0.04656381834630933,0.015048072047613053,0.015048072047613055,0.033226698673400765,0.034391681467173946,0.02107436945602231,0.0,0.0,,0.002054409475589658,,-0.012624362703173464,0.006864460012304008,-0.06673636682806439,0.8716318420169435,-0.06632285689761952,0.00893297189958786,0.07488595889280969,0.021832961831810715,
