t,ρ,τ_base,s_base,h_base,ι_base,R_base,w_base,bbar_base,b0_base,bi_base,c10_base,c20_base,τ_reform,s_reform,h_reform,ι_reform,R_reform,w_reform,bbar_reform,b0_reform,bi_reform,c10_reform,c20_reform,d_τ,d_s,d_h,d_ι,d_R,d_w,d_bbar,d_b0,d_bi,d_c10,d_c20
3,1.9,0.10923076923200693,0.025124105280708867,0.6030132609814466,0.3154739282643806,3.2494661591302307,0.1958034986154485,0.029033494768683128,0.004657845261791483,0.00957370057079555,0.02380764639944676,0.032350868627559565,0.12167274090247666,0.024695738577413043,0.6009428876760641,0.2665126871408273,3.2422099725876206,0.19603933908089513,0.02986737372551493,0.009827191316860332,0.009827191316860332,0.025151918937286112,0.03644301330213549,0.11390537444667159,-0.01705002819044621,-0.0034333793953599256,-0.15519900929030706,-0.0022330395785848944,0.0012044752372368794,0.02872127394499069,1.1098148960578897,0.02647782267580534,0.05646389883674474,0.12649257495020838
4,1.9,0.18105951512497362,0.02213436521225978,0.5968395371914218,0.35819755186069274,3.018273956744104,0.20374171154081128,0.03896984593413806,0.00624763143950552,0.012841335277743681,0.025183492062790493,0.03017047138517641,0.20091193418189526,0.021548868676755917,0.5919161164216917,0.301997764837205,3.035812283904605,0.20310707052770616,0.039621102717344925,0.013011111287306254,0.013011111287306254,0.02637061505480344,0.0329920009340432,0.1096458202885322,-0.026451923508498343,-0.008249153185960978,-0.1568960667976439,0.005810714140548123,-0.0031149292322402156,0.016711813136432108,1.0825670357302708,0.01322105574619048,0.04713893486467513,0.09351957126705956
5,1.9,0.22813158168168154,0.021457820102288628,0.5904865267354308,0.3882178637749706,2.888930765517647,0.2086038446674831,0.04183280341106775,0.006637956538407366,0.013643606588215507,0.025563556739761344,0.02954277313473743,0.24493910485926937,0.02089489594337382,0.5854353445429186,0.3331438961199829,2.9233420713954414,0.20727802809527515,0.041205877110836744,0.013328275507008769,0.013328275507008769,0.026560774793994595,0.03235253845047514,0.07367468832544133,-0.02623398631507623,-0.008554271712918227,-0.14186355856852362,0.011911433215544331,-0.0063556670027885565,-0.01498647590195068,1.0078883357989867,-0.02311200335247876,0.03900936260102594,0.09510838075095562
6,1.9,0.22448133591322914,0.021340907206751844,0.5895338744126735,0.385730671949765,2.9447219399633777,0.206466322914519,0.04111355920362131,0.006454385753887024,0.013266296560559535,0.025231545731746415,0.03098482967249732,0.23967290411845785,0.020817095048369063,0.5848639077032954,0.3293078569297435,2.98060023194388,0.20512434993290765,0.040303339560615534,0.012893612253656983,0.012893612253656983,0.02624384750933558,0.03364159146236573,0.06767408142608722,-0.02454498083460377,-0.007921456106369629,-0.14627515809105696,0.012183932035684242,-0.006499718514224484,-0.019706871861738695,0.9976513250532113,-0.02809256563814011,0.040120482048608075,0.08574395334587215
7,1.9,0.2247521584202048,0.021294910135472214,0.5892406441586017,0.386060822783267,2.95424233182439,0.20610778426149945,0.04113760830561977,0.0064477420290613595,0.013252641097876515,0.025167061937082846,0.030766599543164404,0.24034276009869043,0.020761653982712926,0.584624903615017,0.3294498934774814,2.9870425294150182,0.2048860150556874,0.040391952245272096,0.012909347733171896,0.0129093477331719,0.026208353200453248,0.03338622012741053,0.069367973095666,-0.02504148406200646,-0.00783337094842751,-0.1466373326815571,0.011102744428678202,-0.005927816895367366,-0.018125897227861287,1.002150159697254,-0.025903769834951684,0.041375161946738626,0.08514495014539691
8,1.9,0.22607343742138938,0.02043156699273784,0.5904326534501713,0.3922359122667115,2.962277204661813,0.20580657070817468,0.04142316589412005,0.006489269842163477,0.013337997056620135,0.025344547452338214,0.03084253740179576,0.24281095271664885,0.019729698716021177,0.5859034884047206,0.32225546515677717,2.9964768229042607,0.2045384137672426,0.040843309330991076,0.013048268007059834,0.013048268007059835,0.026654004458038907,0.0335439438201081,0.07403574469503726,-0.034352151108436035,-0.007670925750777213,-0.1784141760644018,0.011545043181180548,-0.006161887526566212,-0.013998364215113801,1.0107451723273746,-0.021722080783973197,0.05166622162669099,0.08758703549971392
9,1.9,0.2696024035234088,0.0,0.5663881863131774,,2.961913470080728,0.20582017932050375,0.047294688818818625,0.007424079094650131,0.015259397054067512,0.03279487221462758,0.031160836815573058,0.30062662894964803,0.0,0.5578968555576276,,3.000378082212792,0.20439516569638505,0.04801256312006543,0.015372185210297892,0.015372185210297894,0.03232621457344216,0.03444859876963415,0.11507399422552056,,-0.014992068974501338,,0.012986406429697395,-0.00692358557272299,0.01517875091634302,1.0705847842293665,0.007391390094297234,-0.014290576835252478,0.10550942433028587
