t,ρ,τ_base,s_base,h_base,ι_base,R_base,w_base,bbar_base,b0_base,bi_base,c10_base,c20_base,τ_reform,s_reform,h_reform,ι_reform,R_reform,w_reform,bbar_reform,b0_reform,bi_reform,c10_reform,c20_reform,d_τ,d_s,d_h,d_ι,d_R,d_w,d_bbar,d_b0,d_bi,d_c10,d_c20
3,1.3,0.10923076923077266,0.02573888004096263,0.6035378753710258,0.313595130428578,3.2494661591312743,0.1958034986154146,0.028962650816524375,0.004852097695975254,0.00954877009332465,0.02368966703932939,0.032365628741747254,0.12248626512455725,0.025193990803125288,0.6013591497450139,0.2665139155085582,3.2418366234849887,0.19605149563152885,0.030031389061300172,0.009900364074732798,0.009900364074732798,0.02504670534663307,0.036560443362724175,0.1213531314219678,-0.02116988917039786,-0.003609923610299437,-0.15013375640009397,-0.002347935098460985,0.001266560699210828,0.03690056727010771,1.0404296646675126,0.03682086572111953,0.05728397554303877,0.12960707961054307
4,1.3,0.1863159534061643,0.023036354099700514,0.5979853156237912,0.3592310053391221,2.974922710168536,0.20533504962124172,0.04031676840518244,0.006756580833700066,0.013296730824583705,0.025184961883453857,0.030768929626572225,0.20736909191329655,0.02224123158077142,0.5925280876594644,0.305981112033322,2.9986646732351723,0.20445804405388546,0.04118054242227487,0.013532580507511594,0.013532580507511594,0.026361426848330895,0.03366726179901882,0.11299697166155664,-0.03451598788106103,-0.009126023368373315,-0.14823301027574443,0.007980699123874446,-0.004271095309709483,0.021424683853912274,1.002874063167365,0.01773741877152535,0.04671299366349091,0.0941967175206373
5,1.3,0.23711802185243772,0.022198511154221924,0.591535725000092,0.39240407773115915,2.8181424149741257,0.21140915939231886,0.04390617392241539,0.007290424992862178,0.014347318727158618,0.025762763917168818,0.030611603636643035,0.25446182985595084,0.021421436101538467,0.5858317847886291,0.3400602970170382,2.8651238469904587,0.20953539554496353,0.0432586563334212,0.014006724971625278,0.014006724971625278,0.026693949276084126,0.03350502955152948,0.07314419995586174,-0.035005728415063775,-0.009642596330867503,-0.13339255039541742,0.016671063806675823,-0.00886321033933124,-0.0147477571181307,0.9212494450376782,-0.023739192110412644,0.03614462182354394,0.09452055989065933
6,1.3,0.23227867317540232,0.022036303920241748,0.590497206645503,0.3890377146785123,2.8835357167899636,0.208813912545976,0.0428698938712421,0.0070415800380363,0.013857599968097552,0.02537868680049299,0.03215944344525318,0.2477566107356765,0.021312261081817798,0.5852063742423479,0.33499684643343297,2.933888045162034,0.20687650379045885,0.04201472553682592,0.013450210936539595,0.013450210936539595,0.02631758259315286,0.034822352887304106,0.06663520739412099,-0.032856818504797936,-0.00895996178070213,-0.1389090728381871,0.017462009601228123,-0.009278159352004711,-0.0199479928031695,0.9101126258433445,-0.029398238691824896,0.03699544424976442,0.08280334349019913
7,1.3,0.23272746261751004,0.021948120776808123,0.5900564792252196,0.3894994860917755,2.895908760430556,0.20833303480198487,0.042897134511888806,0.007033684169938236,0.01384206115707605,0.02530048375085977,0.03186017478366713,0.2487027377608843,0.021210409430745803,0.5848318744991278,0.3353134219186522,2.942423730653692,0.20655314096301589,0.04212727334556306,0.013471843594639717,0.013471843594639717,0.02627467017621911,0.03447939626036198,0.068643704372912,-0.03361159497727184,-0.008854414636632946,-0.13911716474089453,0.016062305159165513,-0.008543502669467351,-0.017946680473782783,0.915332458659146,-0.026745840683349176,0.03850465607505371,0.08220989038759363
8,1.3,0.2341135668545785,0.02077151216689961,0.5917578801919077,0.39725522774963395,2.9089053854304194,0.20783131372646027,0.04320507892195099,0.0070788892804281205,0.013931023340889722,0.025541832210685473,0.03194648659040662,0.2514282595233796,0.019880258833399028,0.5865056071173866,0.3263810187531424,2.957088081373249,0.20600095801234575,0.04262392682361311,0.013621945098104854,0.013621945098104854,0.026832473860425022,0.0346531546407162,0.07395851894203243,-0.04290748436316727,-0.008875712939923508,-0.17840975787273794,0.01656385806982863,-0.008806929433759714,-0.013451013465053951,0.9243054324591753,-0.022186327251184412,0.05053050380620716,0.08472506178887218
9,1.3,0.29456670117959716,0.0,0.5619461434562941,,2.915355447379035,0.207583594359492,0.05141313608855865,0.008448018941639188,0.016625425882227717,0.03303535562388513,0.032504342035306034,0.32634868816075835,0.0,0.5526489844680648,,2.967303762924192,0.20561877203555606,0.05188607689094434,0.01662944047178783,0.01662944047178783,0.03244415614235556,0.03588290705144384,0.10789402486394328,,-0.016544572992433837,,0.01781886170753544,-0.009465210051875617,0.009198832017775604,0.9684426120097194,0.00024147288547982093,-0.017895962382258324,0.10394195989163624
