ρ,preferences,family,scenario,effect,τ,sr,srOverY,workweek,hbar,h,R,θ,ω
0.5,CRRA,baseline,Baseline,baseline,0.14428571428572073,0.22731022974356915,0.1591171608204984,39.392710265653776,0.375973940682802,0.6722596122569253,2.442999999999981,,
0.5,CRRA,theta,$\theta = 0$,full,0.202285406998825,0.19615794293536418,0.13731056005475492,36.801652915283476,0.35124423724314724,0.6280417049855358,2.8698659708584864,,
0.5,CRRA,theta,$\theta = 0$,ee,0.14428571428572073,0.23671813525344446,0.1657026946774111,38.54363146078813,0.3678701188827082,0.657769586455572,2.3592039225922496,,
0.5,CRRA,theta,$\theta = 1$,full,0.1120801750839833,0.24931346001715107,0.17451942201200574,40.55417446782927,0.3870592473324098,0.6920806773458531,2.2136342158564117,,
0.5,CRRA,theta,$\theta = 1$,ee,0.14428571428572073,0.22418259850040842,0.15692781895028587,39.66241654250528,0.3785480852656681,0.6768623074225214,2.471906798728692,,
0.5,CRRA,ageing,Mild ageing,full,0.1875743598247864,0.21155705875518838,0.14808994112863186,39.08302639036379,0.3730182398393337,0.6669746760207359,2.332445950060574,,
0.5,CRRA,ageing,Mild ageing,ee,0.14428571428572073,0.23722803458550384,0.16605962420985268,40.50459698632678,0.3865860673718558,0.6912346086629223,1.9842818958274413,,
0.5,CRRA,ageing,Acute ageing,full,0.23748740322914907,0.19409948304225608,0.13586963812957925,38.683471636961286,0.36920478871748325,0.6601560407507485,2.2082268898355233,,
0.5,CRRA,ageing,Acute ageing,ee,0.14428571428572073,0.24842241299748746,0.1738956890982412,41.817343729367096,0.3991152526645395,0.7136373986846404,1.5632413592257073,,
0.5,CRRA,french,Income distribution,full,0.12399938742174187,0.24289987486856063,0.17002991240799242,41.09007543896568,0.3921740210703714,0.6820683395365802,2.2797659169882705,,
0.5,CRRA,french,Income distribution,ee,0.14428571428572073,0.22731022973338194,0.15911716081336735,40.49916493884769,0.3865342225436397,0.6722596122630353,2.442999999810167,,
0.5,CRRA,french,Leisure preferences,full,0.14410935238632339,0.22737716988153242,0.15916401891707269,34.343978086496094,0.32778757015766946,0.5861000483614482,2.44329172793151,,
0.5,CRRA,french,Leisure preferences,ee,0.14428571428572073,0.22731022973338325,0.15911716081336827,34.34242566623253,0.3277727534679786,0.5860735554027915,2.4429999998101186,,
0.5,CRRA,french,Voting,full,0.14754897712449844,0.22485154895060835,0.15739608426542584,39.29937205995765,0.3750830973573446,0.6706667412524454,2.47064468220677,,
0.5,CRRA,french,Voting,ee,0.14428571428572073,0.2273102297333819,0.15911716081336733,39.39271026601181,0.37597394068621914,0.6722596122630353,2.4429999998101675,,
0.5,CRRA,french,All French characteristics,full,0.1265721317663962,0.24079556658609594,0.16855689661026715,35.75876088779441,0.34129061326963733,0.5935720098360932,2.299511430874189,,
0.5,CRRA,french,All French characteristics,ee,0.14428571428572073,0.22731022973338263,0.15911716081336783,35.30702894177072,0.3369791698900504,0.5860735554027915,2.4429999998101226,,
0.5,CRRA,french,France (own calibration),full,0.21275502533993115,0.2093907942441138,0.14657355597087965,35.44583432889359,0.3383039634377056,0.605211996494145,1.9430216478479392,1.0,2.2721449034386247
1.0,LOG,baseline,Baseline,baseline,0.144285714285714,0.219624212794553,0.15373694895618709,39.392710265653776,0.3755105089974772,0.671430973962159,2.442999999995838,,
1.0,LOG,theta,$\theta = 0$,full,0.18515792183590563,0.20640978241155067,0.14448684768808545,37.518474269359864,0.35764437822852235,0.6394854669904347,2.6205586779571597,,
1.0,LOG,theta,$\theta = 0$,ee,0.144285714285714,0.22551443135020025,0.15786010194514016,38.53595282297259,0.36734347958470037,0.6568279298885371,2.3856385162513454,,
1.0,LOG,theta,$\theta = 1$,full,0.12279733664867126,0.22884062462168692,0.16018843723518084,40.12968532164681,0.3825357143344067,0.6839923812960093,2.338128141436008,,
1.0,LOG,theta,$\theta = 1$,ee,0.144285714285714,0.2176087730302108,0.15232614112114756,39.67202901493282,0.37817311141825455,0.676191836025459,2.46293839227256,,
1.0,LOG,ageing,Mild ageing,full,0.18452321641628208,0.20535658701630283,0.14374961091141197,39.07619978015585,0.37249337682477685,0.6660361955345269,2.3525355992100705,,
