t,ρ,τ_base,s_base,h_base,ι_base,R_base,w_base,bbar_base,b0_base,bi_base,c10_base,c20_base,τ_reform,s_reform,h_reform,ι_reform,R_reform,w_reform,bbar_reform,b0_reform,bi_reform,c10_reform,c20_reform,d_τ,d_s,d_h,d_ι,d_R,d_w,d_bbar,d_b0,d_bi,d_c10,d_c20
3,1.3,0.10923076923056793,0.025759370546920103,0.603539454697899,0.3732485788347691,3.2494661591315555,0.19580349861540552,0.02896693392040878,0.004853053387806084,0.009548630182886706,0.02730235258648386,0.037324793889283295,0.11977079368228101,0.025362759068396624,0.6017246250787452,0.3265508877292948,3.2431116157048914,0.19600998972599742,0.02939840688765781,0.009684709733822048,0.00968470973382205,0.02863476954575086,0.0415580655651189,0.09649318160036802,-0.015396784552676124,-0.003006977596953009,-0.12511150411143712,-0.001955565349959665,0.0010545833555175577,0.014895362016379421,0.995591014546866,0.014251211778965711,0.04880227647219737,0.11341714808641079
4,1.3,0.18619798100031174,0.0230610454247095,0.5980655608078134,0.42868973388474796,2.9736436662368617,0.20538260188647028,0.0403051777689425,0.006756085485066165,0.0132929429424697,0.029018560170523552,0.035346623946495515,0.20390153279110546,0.02246213232483819,0.5935025801883613,0.37529765793583836,2.988870468850097,0.20481853382113047,0.04060536194609199,0.013351676602278541,0.013351676602278541,0.03022683241990949,0.03810619371607788,0.09507918236108082,-0.025970769704550478,-0.0076295659179719255,-0.12454712984394423,0.005120587508894214,-0.0027464257447260554,0.007447781991444247,0.9762444734885978,0.00441840908089608,0.041637911815255224,0.07807166460252479
5,1.3,0.2372202955817465,0.022212280570290198,0.5915982613236754,0.467214940013938,2.816374273982325,0.2114806159524755,0.043937948521200365,0.007298224175770984,0.014359628480770556,0.029709305259870592,0.03514099438911422,0.2516518770761485,0.02164274926213744,0.5868829786791,0.41437294582465356,2.850096607892805,0.2101295567735253,0.042908686043067405,0.013916257641233505,0.013916257641233505,0.03068703801476888,0.03794253115759038,0.06083620062529116,-0.025640379714747974,-0.00797041329030479,-0.11309996676841716,0.011973669203701798,-0.006388572176533769,-0.023425364924271164,0.9068005183279249,-0.03087620547640102,0.0329099838029181,0.07972275165167209
6,1.3,0.23269092947179287,0.022038218230810112,0.590467786047314,0.4635548886940558,2.882280364123017,0.20886287915178794,0.04294862918028809,0.007056751506523826,0.013884518682121092,0.02925705910691123,0.03696879580119769,0.24515030910555255,0.021527710252983723,0.586232531625004,0.40878510102915416,2.917672900143602,0.20749479667678788,0.04169529503108633,0.0133719024161116,0.013371902416111603,0.030252841502235516,0.039538088310622534,0.053544758543198956,-0.023164666602342843,-0.007172710387236325,-0.1181516773972574,0.012279352300744728,-0.006550146586870698,-0.02918216886365721,0.8949090674015576,-0.03691998820741105,0.03403562851910369,0.06949895049980515
7,1.3,0.23307085173549744,0.02195007792461659,0.5900053811691824,0.4640690860526517,2.895582250466993,0.20834568397287684,0.04296071562792735,0.00704524896810854,0.013861886850835663,0.02915896740508485,0.036626296592611914,0.2461512081496658,0.021427318669548116,0.5858207394959988,0.40944164892844415,2.926460874691677,0.2071590519018712,0.04181476965542436,0.013395355910795954,0.013395355910795957,0.030194203482750856,0.03914881800206657,0.05612180294862745,-0.023815826844159393,-0.007092548316917302,-0.11771401880884969,0.01066404665925269,-0.005695496294322644,-0.026674275690092286,0.901331801251056,-0.03365565922301417,0.035503180317883354,0.06887186650379196
8,1.3,0.2343038042025133,0.0208316010501418,0.5916259961515821,0.4752416710571938,2.9083154045758035,0.20785401455748986,0.04323826958652251,0.007085212931428794,0.013940517987955724,0.029380403914082052,0.03671033911811785,0.24849735397220477,0.020143958897787653,0.5874905003581513,0.4052752503552344,2.9408014111221763,0.20661448917547942,0.042252036167863674,0.013525926373905487,0.013525926373905489,0.030728663658590685,0.039326273206599434,0.06057754724897135,-0.033009568045153426,-0.006990050843491358,-0.1472228235927131,0.011170042456626561,-0.005963442104543026,-0.022809271233329986,0.9090359746150731,-0.029740043691951157,0.04588976204858808,0.07125878298385224
9,1.3,0.2915320910462778,0.0,0.5627558642628459,,2.912611311719395,0.20768888175175956,0.05099312977253986,0.008378910391621374,0.016485933755883874,0.038443583014666605,0.037213893136025855,0.32002958473189846,0.0,0.5547458185311139,,2.949247514582378,0.2062956674121808,0.05115668787590744,0.016423204491150645,0.016423204491150648,0.037915887404565654,0.04050041287165692,0.09775079506117557,,-0.01423360686294095,,0.01257847304086579,-0.006708179695646854,0.0032074537118462754,0.9600644622686612,-0.003805017396168897,-0.013726493961284225,0.08831432184797317
