t,ρ,τ_base,s_base,h_base,ι_base,R_base,w_base,bbar_base,b0_base,bi_base,c10_base,c20_base,s__base,sr_base,τ_ee,s_ee,h_ee,ι_ee,R_ee,w_ee,bbar_ee,b0_ee,bi_ee,c10_ee,c20_ee,s__ee,sr_ee,d_τ,d_s,d_h,d_ι,d_R,d_w,d_bbar,d_b0,d_bi,d_c10,d_c20,d_s_,d_sr
3,1.0,0.10923076923077316,0.02619463227991184,0.6038460117063866,0.3114876984230554,3.249466159130965,0.19580349861542468,0.028885758634258588,0.005044312732976339,0.009520466587645738,0.02361816447527758,0.03241476497188883,0.0288790297304214,0.14400547802086622,0.10923076923077316,0.026511082662833828,0.6032466739827373,0.26455519993188276,3.247369411079105,0.1958715637946846,0.02691168049611777,0.008848527585928231,0.008848527585928231,0.02476382542090892,0.035263516057886975,0.0288790297304214,0.14583927402360958,0.0,0.01208073392825093,-0.0009925340434983054,-0.15067207703153018,-0.0006452592361880782,0.000347619831827517,-0.06834087908633135,0.7541591995441685,-0.0705783687733803,0.048507619922393275,0.08788436653693688,0.0,0.012734210031076998
4,1.0,0.18891992630175022,0.023760805502779318,0.5989641774642531,0.35819172068629257,2.944304156746294,0.20648209750190874,0.04101196092361572,0.007170263917965956,0.01353291551678204,0.02520223269955543,0.031193741665254928,0.02619463227991184,0.12487953233176893,0.18891992630175022,0.024231830689085125,0.5989652509992769,0.2975422583881931,2.9214154759361333,0.20735162153218636,0.03834075945119401,0.012638929189760924,0.012638929189760924,0.026670274179413214,0.0331286995760514,0.026511082662833828,0.12682080892996866,0.0,0.019823620299855182,1.7923192474622596e-06,-0.16932122881538292,-0.007773884623202276,0.004211135206380723,-0.06513225440248493,0.7626867482649518,-0.0660601424661591,0.05825045333716328,0.06203032427340127,0.01208073392825093,0.015545194332104995
5,1.0,0.2414818053714775,0.022867163882524858,0.5927512318749012,0.39285896941206483,2.765677801789345,0.2135592435131576,0.04503086605179709,0.007809254072274767,0.0147389240923729,0.02594280973256557,0.031347727120595095,0.023760805502779318,0.11741803871011887,0.2414818053714775,0.02338697751834383,0.5931904324650484,0.3331991024536875,2.7319288082220177,0.21497579402020736,0.04218863561858369,0.01380866652040412,0.01380866652040412,0.027417307667341025,0.033505855820136966,0.024231830689085125,0.11920754811340495,0.0,0.02273188045922092,0.0007409526400443678,-0.1518607734670322,-0.012202792944822516,0.006633056400401127,-0.06311738330646588,0.7682439824091647,-0.06311570411371947,0.05683647800587077,0.06884482218565724,0.019823620299855182,0.015240498163182625
6,1.0,0.23554639173375325,0.022700266740787397,0.5918795435742122,0.38871358362071906,2.8327477417610303,0.21082153530554135,0.04375102056892922,0.007508601526959019,0.014171482566898659,0.0255554879147291,0.0329567903932413,0.022867163882524858,0.11824860203106294,0.23554639173375325,0.02324446133770273,0.5924771809285514,0.3289067422178367,2.7934932718096013,0.21241158288825765,0.04100729629732374,0.013292599119721497,0.013292599119721497,0.027053801411020595,0.03506095108170225,0.02338697751834383,0.12005576499995614,0.0,0.023973048560594012,0.0010097280110918927,-0.1538583777953021,-0.013857382841659494,0.007542149716402768,-0.06271223473022236,0.7703162262633738,-0.06201774888606448,0.05862981373280407,0.06384604396708693,0.02273188045922092,0.01528274277964381
7,1.0,0.2363657055350515,0.02257324941780366,0.5913563810702868,0.3894476089703136,2.8446323698180254,0.21034680333910435,0.04383007702829078,0.007511107335173878,0.014176211945239667,0.025484749408632042,0.03261186468907304,0.022700266740787397,0.11795659651095301,0.2363657055350515,0.02312769225955416,0.5920194449347682,0.32924269944945844,2.8032055889416516,0.21201498675473168,0.04109077793333697,0.013303644318431186,0.013303644318431186,0.02699721340543407,0.0347348800284521,0.02324446133770273,0.11976864165280446,0.0,0.024561941946789956,0.0011212593382037284,-0.1545905229204897,-0.014563140501358984,0.007930633549671828,-0.06249815835791683,0.7711961398995524,-0.06155153648796052,0.05934780729253464,0.06509947712650721,0.023973048560594012,0.01536196529443945
8,1.0,0.2379053043783599,0.021136178299208472,0.5933917133339806,0.3979207790540453,2.86140968710724,0.20968180280356785,0.04416649672087427,0.007562069142881441,0.014272395551056591,0.025786221230919948,0.03271700215602698,0.02257324941780366,0.11041742157636361,0.2379053043783599,0.021733387041541385,0.5939994199652459,0.31927370294405777,2.818507233539581,0.21139442442294168,0.04140727949372255,0.013395758291900022,0.01339575829190002,0.027601237306324907,0.03485763064186847,0.02312769225955416,0.11250225343143644,0.0,0.02825528503207586,0.0010241238925479124,-0.19764505964466306,-0.014993467646721936,0.008167716971501982,-0.06247308326466483,0.7714408634454404,-0.06142187245445796,0.0703870512531164,0.0654286256311889,0.024561941946789956,0.018881366955584733
9,1.0,0.3106677668683535,0.0,0.5593588922432411,,2.8739280344668123,0.20918950964882882,0.05405315679602276,0.00928668989718829,0.017527386892176467,0.03328293704310861,0.03345793214302864,0.021136178299208472,0.0,0.3106677668683535,0.0,0.5608418466371675,,2.8272074901042052,0.21104388944316269,0.05079867236205761,0.016488950582252603,0.016488950582252606,0.03366699758022048,0.0361066576901479,0.021733387041541385,0.0,0.0,,0.0026511679969531965,,-0.01625668555450621,0.008864592672198857,-0.060208961453378396,0.7755465903136192,-0.05924649899680012,0.011539262193550615,0.07916584730330234,0.02825528503207586,
