t,ρ,τ_base,s_base,h_base,ι_base,R_base,w_base,bbar_base,b0_base,bi_base,c10_base,c20_base,s__base,sr_base,τ_ee,s_ee,h_ee,ι_ee,R_ee,w_ee,bbar_ee,b0_ee,bi_ee,c10_ee,c20_ee,s__ee,sr_ee,d_τ,d_s,d_h,d_ι,d_R,d_w,d_bbar,d_b0,d_bi,d_c10,d_c20,d_s_,d_sr
3,1.1,0.12499999999847942,0.01360477172313304,0.49924218168358225,0.366027270856901,3.9922012812894985,0.10612614379502762,0.017878938695203954,0.002649400346227928,0.004871184516045947,0.011278645032799538,0.02265013611290713,0.014757340753255195,0.14636338950647285,0.12499999999847942,0.013724888626850023,0.4987763576134519,0.3321454511938017,3.990077620776908,0.10616875181476794,0.01669074658061308,0.004538081323821308,0.004538081323821308,0.011699703171707912,0.024624478766405434,0.014757340753255195,0.14773422345260742,0.0,0.008829027503103326,-0.0009330623236991631,-0.09256638059721367,-0.0005319522646675123,0.00040148466924994075,-0.06645764241641516,0.7128711145079984,-0.06838238032810695,0.037332333598928846,0.08716692224967382,0.0,0.009365962012474194
4,1.1,0.21143065185758056,0.012577849319123424,0.4962103844272444,0.42295132046371514,3.631913390781429,0.11397517184605843,0.02532986165802759,0.0037584755718379965,0.0069103289865348,0.012277574415993125,0.021844378113280365,0.01360477172313304,0.12676668657938087,0.21143065185758056,0.012767401657141051,0.49617194853163743,0.3795883036359107,3.6136017935747766,0.11441060350813206,0.023720803151777194,0.006465317876111979,0.006465317876111979,0.012827792406118243,0.022938497391215035,0.013724888626850023,0.12819730430374637,0.0,0.015070329847999497,-7.745886989318773e-05,-0.10252484087355995,-0.005041859547953775,0.003820408032915834,-0.06352417269284416,0.7201968597471189,-0.06439796300435952,0.04481487722920163,0.050086995942882684,0.008829027503103326,0.01128543912417923
5,1.1,0.2661073306597809,0.012252884578775143,0.49252657596117516,0.46332182304905284,3.4066266499760367,0.11961632116617456,0.0278145037534885,0.004102086427599565,0.007542091521975735,0.012858452553670359,0.022224720124874205,0.012577849319123424,0.11854768771468495,0.2661073306597809,0.012471776645073885,0.49284196326493596,0.4205369429535184,3.3789378900264113,0.12035502703707776,0.026105110709566087,0.007078029694606933,0.007078029694606932,0.013428423436800977,0.023453566749834974,0.012767401657141051,0.11984813121633013,0.0,0.017864533440387964,0.0006403457582879746,-0.09234376186723392,-0.008127911507361696,0.006175627737931899,-0.061456895261272515,0.7254706402538704,-0.06152959374951161,0.044326553350925835,0.05529188300488097,0.015070329847999497,0.0109697922137042
6,1.1,0.26000731004539124,0.012207210771744335,0.4921577150813524,0.45850775438187336,3.4563591476958395,0.1183156221893144,0.02706216226314664,0.00396150131752988,0.007283611895696127,0.012699702828230732,0.023583351813508555,0.012252884578775143,0.1194936726717725,0.26000731004539124,0.012441982942594495,0.49262630995400203,0.41566655253472995,3.423506506331506,0.11917113151568201,0.025415317500015543,0.006844754121184626,0.006844754121184626,0.013286203689239884,0.024800507652186183,0.012471776645073885,0.12080246371429344,0.0,0.01923225339842416,0.0009521233911209404,-0.09343615552347373,-0.0095049848584845,0.007230738515652035,-0.06085414561916869,0.7278182114685108,-0.06025276755490239,0.04618225079293925,0.05161080784031902,0.017864533440387964,0.010952806230301038
7,1.1,0.26068563114396287,0.012164546063438697,0.4918716279542067,0.4592049585360132,3.4625767345903067,0.11815531463824454,0.02710054626525105,0.00396414913063985,0.007288480161921361,0.012676982627439111,0.023344540135708785,0.012207210771744335,0.11930694619150706,0.26068563114396287,0.012406995739746738,0.4924133351873645,0.41613214856131797,3.42733207477425,0.11907077074009592,0.025460296446082598,0.00685386730950863,0.00685386730950863,0.013273124706126517,0.024579055974117924,0.012441982942594495,0.12061644338677033,0.0,0.019930844525036573,0.0011013183163479656,-0.09379866043262075,-0.010178737546512884,0.007747904566580255,-0.06052460356755307,0.7289630343453688,-0.059630107067227045,0.04702554986523899,0.052882422666393536,0.01923225339842416,0.010975867181792776
8,1.1,0.26210584285358496,0.011446800014318111,0.4939982711867661,0.4711739798007891,3.4780361881931956,0.11775890487392111,0.027290050075565522,0.003989548477730077,0.0073351793730993715,0.012837936223061393,0.02341792773588935,0.012164546063438697,0.11216045535696854,0.26210584285358496,0.011715292382526369,0.4944787134381493,0.41244911804396067,3.4410376185666665,0.1187128240547653,0.025640183461243048,0.006899308544622588,0.006899308544622588,0.013578425420273037,0.02466521300982743,0.012406995739746738,0.11375821017761752,0.0,0.023455670394557204,0.0009725585683306726,-0.12463519692164904,-0.010637775924277948,0.008100611854920947,-0.06045670893802069,0.7293457099556464,-0.059421972702572434,0.05767976911128958,0.0532619832123975,0.019930844525036573,0.014245259753661532
9,1.1,0.357119934470153,0.0,0.46147243847699526,,3.4636055135871273,0.11812883839446274,0.034693696965212587,0.0050938206714805055,0.009365492994578157,0.01769058028818892,0.023774549515003743,0.011446800014318111,0.0,0.357119934470153,0.0,0.4626965486698919,,3.4232991484161888,0.11917657700860887,0.03268004565972651,0.008830491742633496,0.008830491742633496,0.01789482869026384,0.025371743179384957,0.011715292382526369,0.0,0.0,,0.002652618208221824,,-0.01163711196694417,0.008869456674478249,-0.05804083973827201,0.7335694191344464,-0.05712472928594181,0.01154560216497158,0.06718081717482183,0.023455670394557204,
