t,ρ,τ_base,s_base,h_base,ι_base,R_base,w_base,bbar_base,b0_base,bi_base,c10_base,c20_base,s__base,sr_base,τ_ee,s_ee,h_ee,ι_ee,R_ee,w_ee,bbar_ee,b0_ee,bi_ee,c10_ee,c20_ee,s__ee,sr_ee,d_τ,d_s,d_h,d_ι,d_R,d_w,d_bbar,d_b0,d_bi,d_c10,d_c20,d_s_,d_sr
3,0.5,0.10923076923029261,0.027419135492107775,0.604282202930618,0.30064826325491856,3.2494661591273357,0.19580349861554242,0.028450126107069665,0.005966579695277476,0.009366708066889724,0.02355690934607054,0.032694038954409615,0.028899890643830622,0.15062840001071162,0.10923076923029261,0.027732469910825414,0.6038254991425993,0.26569383527294466,3.2478696270777645,0.19585531951326302,0.02692725847272364,0.008856283352435042,0.008856283352435042,0.02443207851961568,0.035306978938681566,0.028899890643830622,0.1524246078624234,0.0,0.01142758198221916,-0.0007557789817468352,-0.11626352869477974,-0.0004913213344557299,0.000264657669995616,-0.053527623343912034,0.4843149349776985,-0.05449350089803451,0.0371512731440351,0.07992099073215098,0.0,0.011924762206755535
4,0.5,0.1907603789358304,0.026097241719774872,0.6019989981761164,0.3453296218494802,2.8675594226493013,0.20943954679936724,0.04147569746128352,0.008724219750516906,0.013695823015514938,0.025355820734321154,0.032362990199806846,0.027419135492107775,0.13454064543632177,0.1907603789358304,0.026608213785954536,0.6021324610124094,0.301303813567918,2.8468683740705423,0.21025782699010404,0.039426638967495146,0.01300935720637194,0.013009357206371938,0.026511992411593688,0.033986069234832474,0.027732469910825414,0.13661074682262125,0.0,0.019579542990264764,0.000221699432552791,-0.12748923201483076,-0.007215560526952491,0.003906999433687108,-0.04940383451540786,0.4911771572009225,-0.0501222751174103,0.04559788024165834,0.05015231982597568,0.01142758198221916,0.015386438645258904
5,0.5,0.24227298601781816,0.02565905542833121,0.5983829637594873,0.37916754445845086,2.6181482423424987,0.21995696395821757,0.04594912081587172,0.009628664826614671,0.01511567717367676,0.026587975737801098,0.03322381111744326,0.026097241719774872,0.12671764249949993,0.24227298601781816,0.026255310719613383,0.598995002681044,0.33674923410480767,2.587075455871153,0.2213755807867199,0.043781925598765314,0.014405937717034805,0.014405937717034805,0.027766726241841736,0.03514692597026956,0.026608213785954536,0.12869972123865048,0.0,0.023237616557927554,0.0010228214348073639,-0.1118722078764085,-0.011868230365574939,0.006449519955966432,-0.047165107375848114,0.4961511254618849,-0.04695386442083671,0.044333969447879706,0.057883631893651755,0.019579542990264764,0.015641695189826166
6,0.5,0.23090635645767263,0.025926150788349006,0.5999864702266814,0.3713384323182173,2.651732735751682,0.21845251729470805,0.043873898303090166,0.009138576239144283,0.014346305614057291,0.026437342645280967,0.034937498921384716,0.02565905542833121,0.12857392105068946,0.23090635645767263,0.026579934900981015,0.6008048739264251,0.3285677120171164,2.6147478841814427,0.220110941356442,0.04183278342459105,0.013692873462754723,0.013692873462754723,0.027674163277475634,0.03681105124616996,0.026255310719613383,0.1306448189240011,0.0,0.02521716848633826,0.0013640369247569506,-0.11517989138395635,-0.013947428061506728,0.007591691239229759,-0.046522305002365316,0.49835960268105106,-0.04554706757831084,0.046783091961605905,0.05362582848305908,0.023237616557927554,0.016106671215970758
7,0.5,0.23367383547848622,0.025754624269405117,0.6001863415035905,0.3734493355587273,2.634513798539466,0.21922016888114362,0.0444514867712288,0.009283694553421925,0.014574121373574203,0.026600782279822877,0.03464714996915724,0.025926150788349006,0.1272336420934938,0.23367383547848622,0.026437940563334046,0.6011143771139019,0.3296365023028737,2.594814503068229,0.22101981447294453,0.042402743789738476,0.01392137205708856,0.013921372057088557,0.027877246356322348,0.036582687342742996,0.026579934900981015,0.12934589588382386,0.0,0.026531790438141467,0.001546245800906565,-0.117319349866573,-0.015068926757280998,0.00820930665725661,-0.046089414107434834,0.4995508498238137,-0.0447882448453607,0.04798596007710976,0.055864259406870787,0.02521716848633826,0.016601378028445746
8,0.5,0.23894269407477559,0.023302736540870013,0.6027098659844222,0.3816162687709112,2.6531312718776303,0.21839050475303776,0.04545699748391167,0.00949685810034872,0.014908758773313685,0.02722726545977315,0.03501480022202373,0.025754624269405117,0.11507427013113876,0.23894269407477559,0.024044103990761664,0.6036488992354828,0.31804808636669946,2.6109956564699512,0.22028121028591413,0.04337380296489734,0.014247519205143286,0.014247519205143283,0.028864356188718146,0.037002112028488625,0.026437940563334046,0.11753307191770344,0.0,0.03181460892335064,0.0015580187152350877,-0.16657618557235165,-0.015881466497456587,0.008657453010672,-0.04582780725347335,0.5002350308487946,-0.044352422507097256,0.06012688756289952,0.056756337144968416,0.026531790438141467,0.02136708565487866
9,0.5,0.3455309218192698,0.0,0.5566706707883099,,2.6888628756255217,0.2168229932218595,0.06002516181983806,0.012593160392915758,0.019769526774832534,0.034662261404496846,0.03650442035082058,0.023302736540870013,0.0,0.3455309218192698,0.0,0.5583297982749122,,2.6397796171054004,0.21898459155600428,0.05742960970748619,0.018944140732380963,0.018944140732380963,0.03511216282971458,0.03913101395787086,0.024044103990761664,0.0,0.0,,0.0029804471003525013,,-0.01825428100668869,0.009969414691794132,-0.04324106813976225,0.5043198165758238,-0.041750419817955575,0.01297957510525749,0.07195275481182217,0.03181460892335064,
