t,ρ,τ_base,s_base,h_base,ι_base,R_base,w_base,bbar_base,b0_base,bi_base,c10_base,c20_base,τ_reform,s_reform,h_reform,ι_reform,R_reform,w_reform,bbar_reform,b0_reform,bi_reform,c10_reform,c20_reform,d_τ,d_s,d_h,d_ι,d_R,d_w,d_bbar,d_b0,d_bi,d_c10,d_c20
3,2.0,0.10923076923429871,0.025040578430918302,0.6029256895431341,0.3156360211560584,3.249466159129902,0.19580349861545915,0.029037585241193018,0.0046368222560152035,0.009575868167460748,0.02382532958545401,0.03234233556799491,0.12143810188404637,0.024630429707859038,0.600890349841721,0.2665182997536246,3.242331793401084,0.19603537296205426,0.029812813547551748,0.009807184225194766,0.009807184225194766,0.02516457788089552,0.03641258673461705,0.11175727073351527,-0.016379362968422573,-0.0033757720672931146,-0.15561506960623073,-0.0021955500932893113,0.0011842196295506202,0.02669740957863742,1.1150658109596963,0.02415614476816219,0.056211113077703434,0.12584901786282732
4,2.0,0.1800668900740018,0.02202180274694476,0.5967214865689963,0.3577626132856173,3.0244254002364808,0.20351847113795193,0.03872608895849064,0.006178233968095856,0.012759159337942031,0.025185192265540935,0.03008241084276425,0.1996634873510407,0.02146539542993449,0.5918913028546067,0.3012994549900287,3.040959244054861,0.20292189240676184,0.039340792244559074,0.012917931116748766,0.012917931116748766,0.02637217759725609,0.03288018718995182,0.10882954256046351,-0.02526620201824603,-0.008094536267098329,-0.15782297031275216,0.005466771908835266,-0.002931324748335573,0.01587310525282626,1.090877617043386,0.012443749200199639,0.04713028668592778,0.09300372772019783
5,2.0,0.2265795526490555,0.021370750673670842,0.5904115798240124,0.38729477433602855,2.898281296093636,0.2082411873506096,0.041494331417913866,0.006551750806599769,0.013530538486495805,0.02554311632355504,0.029386085194351468,0.24318498073371655,0.02083759060120349,0.5854771030948231,0.3319512104965665,2.9308621975372997,0.20699148161315634,0.04085885325398386,0.013215474639328182,0.013215474639328184,0.026548329619944497,0.03217086090866013,0.07328740784646559,-0.024948120943838248,-0.008357689614861719,-0.14289778098437322,0.011241455923404198,-0.00600124189336837,-0.015314818728604851,1.0170905502107694,-0.023285388640080562,0.039353588796934735,0.09476511402900112
6,2.0,0.22304628568415585,0.02126167903498506,0.5894912248182805,0.3848968134741984,2.952375914312666,0.206177933487945,0.040811061403356566,0.006375726518972942,0.013167016815938123,0.025221003663754214,0.03081189261485431,0.23808636862566776,0.020767043781175294,0.584926673804374,0.3282770955625743,2.9861339601492594,0.20491957994878426,0.03999802005026692,0.012796848916561654,0.012796848916561654,0.026241502733590324,0.033452126911179866,0.06743032234488489,-0.023264167095922494,-0.0077432043459402244,-0.14710362863375492,0.01143419632741871,-0.006103240622664874,-0.019922083012101632,1.0071201107012167,-0.02811327004066677,0.0404622703934141,0.08568880624531028
7,2.0,0.22329616577267244,0.021219584976420697,0.5892239945827077,0.38521835509049823,2.9613388088460075,0.2058416846943338,0.04083531473730435,0.006369570886651252,0.013154304333046766,0.02516007530726634,0.03060384252778666,0.23862119638481702,0.02071772150807085,0.5847385978978158,0.32830081072474526,2.992098176234141,0.20469953287507486,0.040069617848378744,0.01280770336567175,0.01280770336567175,0.0262110710479607,0.03320586835610052,0.06863096175035222,-0.02365095589322408,-0.007612379546879211,-0.14775397800652956,0.01038698013758177,-0.0055486905917768725,-0.018750850675484432,1.0107639264228823,-0.026348863352984142,0.0417723606888738,0.0850228472438177
8,2.0,0.22466750161135932,0.020392204898413365,0.5903344904096551,0.3911885116035013,2.968787153347962,0.20556344416643899,0.04112653391614079,0.006412087745482538,0.01324210925904641,0.025329862212545944,0.030679469378723855,0.24119395594651563,0.019718267713029414,0.5859401795205929,0.32141734270751654,3.0007276003848715,0.20438234592828727,0.04053501263094988,0.012952294431182563,0.012952294431182563,0.02664261517343618,0.0333621776129406,0.07355961238997777,-0.03304876489527564,-0.00744376444278716,-0.17835689655094744,0.01075875277919125,-0.005745662819287123,-0.014382959828247444,1.0199808463799873,-0.02188585082590655,0.051826296956326345,0.0874431106059872
9,2.0,0.2660174354703797,0.0,0.5670376698284927,,2.9678384451273443,0.20559882442051047,0.04669417614004336,0.007293866301789609,0.015063139857563856,0.03276604262101087,0.03096889611339113,0.2968501796400537,0.0,0.5586823602633266,,3.004254812008989,0.20425310188441387,0.047440215232636515,0.015189887731786027,0.015189887731786027,0.03231574034265747,0.03423023348380318,0.11590497485683482,,-0.014735016754165997,,0.012270333293051605,-0.00654538049957043,0.015977133644154318,1.0825563704203165,0.008414439182049094,-0.013742955887649733,0.10531009431110538
