t,ρ,τ_base,s_base,h_base,ι_base,R_base,w_base,bbar_base,b0_base,bi_base,c10_base,c20_base,τ_reform,s_reform,h_reform,ι_reform,R_reform,w_reform,bbar_reform,b0_reform,bi_reform,c10_reform,c20_reform,d_τ,d_s,d_h,d_ι,d_R,d_w,d_bbar,d_b0,d_bi,d_c10,d_c20
3,1.01,0.12499999999903133,0.021218549833287224,0.5265196600682268,0.3619293532298722,3.218930089295427,0.124841258904563,0.020837931320293053,0.003670740360516297,0.00597617278812554,0.012490847466756183,0.028301545087726955,0.13409419271728673,0.0209779233793869,0.5250127335728141,0.34254760405688744,3.2136755892648723,0.12499521395865104,0.021030125720418635,0.006032993835148186,0.006032993835148186,0.012984526092695675,0.031513018722649014,0.07275354174660698,-0.011340381684465273,-0.00286205171373366,-0.05355119445278822,-0.0016323746974277187,0.0012332065171316575,0.00922329559357049,0.6435359743884566,0.009507932423832965,0.03952322908861028,0.11347343846307267
4,1.01,0.21316735889153954,0.019858044544677284,0.524330547627495,0.41752549074742284,2.9090886804194493,0.13474630373784424,0.02991421841868603,0.005286611634326165,0.00860690255575695,0.013687407853136314,0.027627295661203175,0.22495461499000696,0.019481816955253212,0.5212682415499351,0.3953972704842535,2.9183022302778414,0.1344252514584204,0.029596203877326362,0.00849103206049348,0.00849103206049348,0.014151826183154251,0.029461769177322527,0.055295783368338514,-0.018945852829447718,-0.005840411342456164,-0.05299848932230955,0.003167160190202134,-0.002382642569910165,-0.010630882509068629,0.6061387988784528,-0.013462508087298652,0.03393033472817297,0.06640076316609922
5,1.01,0.26856489171277953,0.019418403889751256,0.5209187418737354,0.4578393530652056,2.7111301416349667,0.14210391614238163,0.033008805811170445,0.005809250822236666,0.009457788694802606,0.014400241791962058,0.028287880938732655,0.27713051127320387,0.019061751245076742,0.5178295674790319,0.43510317715158886,2.7315740548315404,0.14130085071888432,0.03192152952342682,0.009092840898999902,0.009092840898999904,0.014777385843949515,0.030134312221013072,0.03189404060149825,-0.018366733264969848,-0.005930242370608241,-0.04965972400886798,0.007540734722621956,-0.005651254696546704,-0.03293897676769886,0.5652346881278221,-0.03858701093663197,0.02619011940465965,0.06527287378929203
6,1.01,0.2616636597935898,0.019403885832459604,0.5209213146000756,0.45247789954138135,2.7459566061259846,0.14074217408473172,0.03206118107243968,0.0056057619924035195,0.00912649737803802,0.014254171850075832,0.030018715215574792,0.2686360895652951,0.0190993707382495,0.5181977233704672,0.4282499907325381,2.7668455048544907,0.13993984556579445,0.0308704811103455,0.008735441827931303,0.008735441827931303,0.014644247058648217,0.03168318401089251,0.02664653462848232,-0.01569351092041049,-0.005228411956418766,-0.05354495508708812,0.007607148154455512,-0.005700697208601002,-0.037138368652230525,0.5582969522731924,-0.04284837149548215,0.02736568723003785,0.055447702653647735
7,1.01,0.2625718396475816,0.019341408741694523,0.5208149138789703,0.4534158875191373,2.7468076534035903,0.1407092768177193,0.032158210024822304,0.005622754864263218,0.009154162733913463,0.014255771009651945,0.029739257742560997,0.2700053513639519,0.019033323903184393,0.5182271974391273,0.4292103001568931,2.7638274154303795,0.140055110698542,0.031033090541467044,0.00878769879335573,0.00878769879335573,0.014676545016833648,0.031393887135791484,0.028310392029653242,-0.015928769337570925,-0.004968591280479995,-0.05338495634699736,0.006196197249450641,-0.004649061767439289,-0.03498700588393455,0.562881364294944,-0.04003249136047071,0.029516047002776435,0.0556378846961767
8,1.01,0.2653678096988735,0.01792565664308651,0.5249548807886741,0.4671095859119538,2.7643089365511484,0.1400367059191801,0.03260906881249832,0.005700421430131676,0.009280608293093505,0.014615489270699864,0.0299425870686082,0.2746580815615896,0.017562286165824236,0.5220866873811405,0.429197173716732,2.781027082485857,0.13940117061039814,0.03165266017060958,0.008963653300070677,0.008963653300070679,0.015269009567802175,0.03168269413365592,0.0350090384860855,-0.02027097163006386,-0.005463695095518584,-0.08116384963756229,0.006047857283117963,-0.004538348032470552,-0.029329529383009145,0.5724544948010313,-0.0341523942195362,0.044714226461952444,0.05811478684392135
9,1.01,0.4031098304929166,0.0,0.4762521814833452,,2.7308733204492626,0.1413282019301953,0.044996312891340734,0.007928372762042946,0.012907838991906388,0.02213958065076977,0.030794647010329614,0.42314117817033475,0.0,0.47084877642336737,,2.7450262077298735,0.14077815914531794,0.04408475121532635,0.012577248655137404,0.012577248655137409,0.02191622277862788,0.03326838764531544,0.04969203468177419,,-0.011345680440031258,,0.005182549909815259,-0.003891953462685671,-0.020258586036052906,0.5863593996678529,-0.02561159439440408,-0.010088622529267455,0.08033021564286957
