θ1,δ,permanent,θlo,θhi,wedge,oldWeight,youngWeight,old_ee,young_ee,dlnh_ee,dlns_ee,dlnR1_ee,dτ1_ee,young_ee_i0,young_ee_i1,young_ee_i2,young_resplit,young_resplit_i0,young_resplit_i1,young_resplit_i2,young_aggregate,old_h,total_ee,ratio_ee,ω,young_size,old_size,total_full,ratio,ωNeeded,old_full,young_full,dlnh_full,dlns_full,dlnR1_full,dτ1_full,G_old,G_young,G,epsNeeded,pNeeded_phi25,pNeeded_phi50,pNeeded_phi75,label,preferences,θBase,seq_old,seq_G,seq_epsNeeded,seq_pNeeded_phi50,τBase,ν,wedgePhi,wedgeP,seq_old_i0,seq_old_i1,seq_old_i2,country,ρ
0.0,0.001,False,0.0,0.001,True,0.8309832023864432,0.7658368379901956,0.012346827674551938,18.021570337911502,0.021225850532935464,-13.119168909872414,8.425154345789387,0.0,11.72686798844557,3.019051007742816,3.2756513417231177,-0.053079792073175654,-0.09248395677126246,1.9995808692984482e-05,0.03938416888939383,18.07465012998468,0.012346827674551938,18.033917165586054,-0.0006851138631675312,1.45362739475499,,,,,,,,,,,,0.0,0.16731969426711582,0.16731969426711582,-107.7811984092918,,,,US ρ=1.0,LOG,0.7382263650417816,-0.058372582106245116,0.22291764402060843,0.261857164167986,0.41239449482142565,0.14428571428571396,1.339667762739423,0.5,0.32,-0.09575538819330576,1.9606653759393404e-05,0.03736319943330124,US,1.0
0.25,0.001,False,0.249,0.251,True,0.8309832023864432,0.7658368379901956,0.018152703211934823,0.05901079533988765,0.031206928233301595,-0.10513193637384778,0.0675159224420851,0.0,-0.009236407277219529,0.017174363898776464,0.05107283871833072,-0.04728660686343724,-0.08278428307966101,1.7968748022066886e-05,0.035479707468201706,0.1062974022033249,0.018152703211934823,0.07716349855182247,-0.30761665060400767,1.45362739475499,,,,,,,,,,,,0.0033622235114213798,0.22288143504587052,0.2262436585572919,-0.3410636967412825,,,,US ρ=1.0,LOG,0.7382263650417816,-0.058372582106245116,0.22291764402060843,0.261857164167986,0.41239449482142565,0.14428571428571396,1.339667762739423,0.5,0.32,-0.09575538819330576,1.9606653759393404e-05,0.03736319943330124,US,1.0
0.5,0.001,False,0.499,0.501,True,0.8309832023864432,0.7658368379901956,0.01886456091059225,0.005157623450224608,0.03243070696495873,-0.07158640697668688,0.045972921911663314,0.0,-0.047784195977467046,0.008985671272782856,0.043956148154908795,-0.048487075456933336,-0.08252018787974542,1.74874410452239e-05,0.034015624981766863,0.053644698907157944,0.01886456091059225,0.024022184360816858,-3.657607247339998,1.45362739475499,,,,,,,,,,,,0.006791654161769698,0.2259659432417848,0.23275759740355448,-0.10320687543086837,,,,US ρ=1.0,LOG,0.7382263650417816,-0.058372582106245116,0.22291764402060843,0.261857164167986,0.41239449482142565,0.14428571428571396,1.339667762739423,0.5,0.32,-0.09575538819330576,1.9606653759393404e-05,0.03736319943330124,US,1.0
0.7382263650417816,0.001,False,0.7372263650417816,0.7392263650417816,True,0.8309832023864432,0.7658368379901956,0.0189575515842871,-0.019036901551607137,0.032590570388596446,-0.059520914137633996,0.03822444027185009,0.0,-0.06599119168916197,0.005730810614265548,0.04122347952328928,-0.050456832012356914,-0.08334206723070524,1.7180145800657905e-05,0.03286805507254767,0.03141993046074978,0.0189575515842871,-7.934996732003596e-05,0.9958317813902159,1.45362739475499,,,,,,,,,,,,0.009902559965724832,0.22333889074047672,0.23324145070620156,0.0003402052554543049,0.00033487316111128335,0.000502335271511531,0.001004823768817596,US ρ=1.0,LOG,0.7382263650417816,-0.058372582106245116,0.22291764402060843,0.261857164167986,0.41239449482142565,0.14428571428571396,1.339667762739423,0.5,0.32,-0.09575538819330576,1.9606653759393404e-05,0.03736319943330124,US,1.0
0.9,0.001,False,0.899,0.901,True,0.8309832023864432,0.7658368379901956,0.018863483617196652,-0.03072577765567973,0.032428854953220315,-0.054841277387751526,0.03521916896448426,0.0,-0.07506555402519059,0.004335820922612576,0.04000395544689829,-0.05207569278840722,-0.08425511586177604,1.7013158026047124e-05,0.03216240991534278,0.021349915132727493,0.018863483617196652,-0.011862294038483077,0.613930225902995,1.45362739475499,,,,,,,,,,,,0.011901578180701049,0.2195956745633799,0.23149725274408095,0.05124161905971637,0.06159002169883977,0.09268748522112935,0.18722609645227617,US ρ=1.0,LOG,0.7382263650417816,-0.058372582106245116,0.22291764402060843,0.261857164167986,0.41239449482142565,0.14428571428571396,1.339667762739423,0.5,0.32,-0.09575538819330576,1.9606653759393404e-05,0.03736319943330124,US,1.0
1.0,0.001,False,0.999,1.0,True,0.8309832023864432,0.7658368379901956,0.01876517530660191,-0.03692208897571537,0.0322598497997095,-0.05271451563482183,0.03385335866457059,0.0,-0.079956740895294,0.003655491259342053,0.03937916066023658,-0.05316403082797472,-0.08493092885468811,1.692178592376464e-05,0.03174997624078964,0.01624194185225935,0.01876517530660191,-0.01815691366911346,0.5082370967402267,1.45362739475499,,,,,,,,,,,,0.013088304663303652,0.21662310749811903,0.22971141216142268,0.07904227960757232,0.10538970614342977,0.15808455921514467,0.3161691184302893,US ρ=1.0,LOG,0.7382263650417816,-0.058372582106245116,0.22291764402060843,0.261857164167986,0.41239449482142565,0.14428571428571396,1.339667762739423,0.5,0.32,-0.09575538819330576,1.9606653759393404e-05,0.03736319943330124,US,1.0
0.0,0.001,False,0.0,0.001,True,1.1743751331371894,0.8007324688201688,0.019355947356013606,19.822414239257924,0.023545588275442064,-14.563515345377809,9.352716276848193,0.0,13.458408357320463,3.2446478855655756,3.119357996371886,-0.047744326691004306,-0.07894488317550238,-3.707172484261122e-05,0.031237628209340694,19.870158565948927,0.019355947356013606,19.84177018661394,-0.0009764677058195823,1.4180571029150606,,,,,,,,,,,,0.0,0.1841100798546879,0.1841100798546879,-107.7712323099007,,,,FR ρ=1.0,LOG,1.0,-0.08096235912115349,0.3897145722345268,0.20774783620980702,0.4154956724196141,0.2128571428571427,0.9668838626647813,0.5,0.32,-0.12610484484582546,-5.615665518075685e-05,0.04519864237985272,FR,1.0
0.25,0.001,False,0.249,0.251,True,1.1743751331371894,0.8007324688201688,0.028094400822510298,0.07382815222844044,0.03417550081352691,-0.11590864786992218,0.07443674633850199,0.0,0.014035594300851755,0.018099376557616186,0.04169318136997249,-0.04228069619171893,-0.07008950188845835,-3.2980475243701515e-05,0.027841786171983122,0.11610884842015937,0.028094400822510298,0.10192255305095074,-0.38053777555721674,1.4180571029150606,,,,,,,,,,,,0.005095064996423225,0.2442446862368942,0.24933975123331742,-0.40876977115284613,,,,FR ρ=1.0,LOG,1.0,-0.08096235912115349,0.3897145722345268,0.20774783620980702,0.4154956724196141,0.2128571428571427,0.9668838626647813,0.5,0.32,-0.12610484484582546,-5.615665518075685e-05,0.04519864237985272,FR,1.0
0.5,0.001,False,0.499,0.501,True,1.1743751331371894,0.8007324688201688,0.02900331005255054,0.016918139846611183,0.03528114561196501,-0.078858912580193,0.05064333835425035,0.0,-0.026974737277653926,0.009356711612638463,0.034536165511626644,-0.04250671595320027,-0.06912950302078719,-3.202232067977796e-05,0.0266548093882667,0.05942485579981145,0.02900331005255054,0.04592144989916172,-1.714332090614566,1.4180571029150606,,,,,,,,,,,,0.01020990479562834,0.2484493318470342,0.25865923664266255,-0.17753647809067863,,,,FR ρ=1.0,LOG,1.0,-0.08096235912115349,0.3897145722345268,0.20774783620980702,0.4154956724196141,0.2128571428571427,0.9668838626647813,0.5,0.32,-0.12610484484582546,-5.615665518075685e-05,0.04519864237985272,FR,1.0
1.0,0.001,False,0.999,1.0,True,1.1743751331371894,0.8007324688201688,0.028532180709106104,-0.024255251906688185,0.03470803919980445,-0.0580736690944938,0.03729501684990307,0.0,-0.05783977590677992,0.003664324236405841,0.02992019976368589,-0.04455873714680243,-0.06939991913784471,-3.090339997940821e-05,0.024872085391021693,0.020303485240114248,0.028532180709106104,0.00427692880241792,1.1763300096355047,1.4180571029150606,,,,,,,,,,,,0.019425728795099833,0.24202891707353905,0.26145464586863887,-0.01635820540961721,,,,FR ρ=1.0,LOG,1.0,-0.08096235912115349,0.3897145722345268,0.20774783620980702,0.4154956724196141,0.2128571428571427,0.9668838626647813,0.5,0.32,-0.12610484484582546,-5.615665518075685e-05,0.04519864237985272,FR,1.0
