θ1,δ,permanent,θlo,θhi,oldWeight,youngWeight,old_ee,young_ee,dlnh_ee,dlns_ee,dlnR1_ee,dτ1_ee,old_full,young_full,dlnh_full,dlns_full,dlnR1_full,dτ1_full,young_full_i0,young_full_i1,young_full_i2,young_resplit,young_resplit_i0,young_resplit_i1,young_resplit_i2,young_aggregate,young_size,old_h,old_size,total_full,total_ee,ratio,ω,ωNeeded,label,preferences,θBase,seq_old,τBase,ν,seq_old_i0,seq_old_i1,seq_old_i2,country,ρ
0.0,0.05,True,0.0,0.05,0.7232735459167114,0.7658368379901956,0.008430582218641795,-0.008311803236335832,0.03173234418216597,-0.0038849469165658235,0.025855420346498903,0.0,0.009135976934287051,-0.01533503279364216,0.03438688664697542,0.010607165258536,0.02234232993967966,-0.015900359382673424,-0.03177212633556128,-0.0012414334923061619,0.01767852703422528,-0.008077472369234846,-0.026102046211235796,7.054457336213054e-06,0.018017519384664737,-0.0002343308671009861,-0.0070232295573063284,0.008430582218641795,0.0007053947156452564,-0.00619905585935511,0.0001187789823059622,0.5957585521483063,1.2652123860347062,2.123699914121834,US ρ=1.5,CRRA,0.7382263650417816,-0.01320838053685017,0.14428571428571374,1.339667762739423,-0.03536311673427199,9.001592566885482e-06,0.022145734604854934,US,1.5
0.1,0.05,True,0.05,0.15000000000000002,0.7232735459167114,0.7658368379901956,0.008330470361777224,-0.00869916209281615,0.031338263682764704,-0.004160554647927305,0.025727513498245976,0.0,0.008925985318631495,-0.01679776752450539,0.03357660506723425,0.012675131661161741,0.021022813131874592,-0.018404582477342387,-0.03243481581507822,-0.0014705947831363509,0.017107643073709183,-0.008297747634547787,-0.026264124577534246,7.058261455948692e-06,0.01795931868153051,-0.00040141445826836347,-0.008098605431689238,0.008330470361777224,0.0005955149568542713,-0.007871782205873893,-0.0003686917310389264,0.5313792624888897,1.2652123860347062,2.3809969175474923,US ρ=1.5,CRRA,0.7382263650417816,-0.01320838053685017,0.14428571428571374,1.339667762739423,-0.03536311673427199,9.001592566885482e-06,0.022145734604854934,US,1.5
0.2,0.05,True,0.15000000000000002,0.25,0.7232735459167114,0.7658368379901956,0.00819990953446103,-0.009212699229118555,0.03082474571351968,-0.004518176295791322,0.025560517180632798,0.0,0.008625523097843613,-0.018776518588564325,0.03242139227975006,0.01560927387489475,0.019121783352366032,-0.02187454822190488,-0.033268610644708506,-0.001785581827317569,0.01627767388346175,-0.008594599912204903,-0.026483903784279977,7.063245952695516e-06,0.01788224062612238,-0.000618099316913652,-0.00956381935944577,0.00819990953446103,0.0004256135633825837,-0.010150995490720712,-0.001012789694657526,0.45937818862208635,1.2652123860347062,2.754184716148006,US ρ=1.5,CRRA,0.7382263650417816,-0.01320838053685017,0.14428571428571374,1.339667762739423,-0.03536311673427199,9.001592566885482e-06,0.022145734604854934,US,1.5
0.3,0.05,True,0.25,0.35,0.7232735459167114,0.7658368379901956,0.00807273913657858,-0.009723076173918498,0.03032505022517063,-0.004864390165826294,0.025397608507878873,0.0,0.008299531954250003,-0.02078838860960386,0.031172928459548006,0.01877256490857793,0.017038163191324122,-0.025509914762036907,-0.0340357660848264,-0.0021127816402512116,0.015360159115473754,-0.008894947647893722,-0.026707733285644474,7.068112149653298e-06,0.0178057175256011,-0.0008281285260247767,-0.01106531243568536,0.00807273913657858,0.00022679281767142186,-0.012488856655353856,-0.0016503370373399176,0.3992388303928362,1.2652123860347062,3.1690614482308352,US ρ=1.5,CRRA,0.7382263650417816,-0.01320838053685017,0.14428571428571374,1.339667762739423,-0.03536311673427199,9.001592566885482e-06,0.022145734604854934,US,1.5
0.4,0.05,True,0.35000000000000003,0.45,0.7232735459167114,0.7658368379901956,0.00794883292853054,-0.010230708447742185,0.02983864816520799,-0.0051996523526343106,0.02523860618783292,0.0,0.007945625097289733,-0.022859710534361595,0.029822429636244825,0.022250188516883544,0.014730545408994104,-0.029387941846689976,-0.03474133456948621,-0.002458420693630595,0.014340044728755205,-0.009198940584588984,-0.026935761935512382,7.072863375888531e-06,0.01772974848754751,-0.001031767863153201,-0.01262900208661941,0.00794883292853054,-3.207831240806952e-06,-0.014914085437071862,-0.002281875519211645,0.3475820520713182,1.2652123860347062,3.6400394626104142,US ρ=1.5,CRRA,0.7382263650417816,-0.01320838053685017,0.14428571428571374,1.339667762739423,-0.03536311673427199,9.001592566885482e-06,0.022145734604854934,US,1.5
0.5,0.05,True,0.45,0.55,0.7232735459167114,0.7658368379901956,0.007828070780245961,-0.010736005280630519,0.029365036662767897,-0.005524395588722973,0.02508333970406617,0.0,0.0075628138391557135,-0.02495116913855664,0.02836635507559303,0.025978169488491958,0.012215265889283785,-0.03342690008656972,-0.035354552402981,-0.0028168985169677507,0.01322028178139211,-0.009506735044136707,-0.027168144837105047,7.077502829462022e-06,0.017654332290138876,-0.0012292702364938117,-0.014215163857926122,0.007828070780245961,-0.00026525694109024757,-0.01738835529940093,-0.0029079345003845576,0.3031045878915958,1.2652123860347062,4.174177615837358,US ρ=1.5,CRRA,0.7382263650417816,-0.01320838053685017,0.14428571428571374,1.339667762739423,-0.03536311673427199,9.001592566885482e-06,0.022145734604854934,US,1.5
0.0,0.05,True,0.0,0.05,0.6822174803229938,0.7658368379901956,0.005671222733575288,-0.0028122349084771046,0.03072198371126933,0.002151742980602833,0.021186174920817535,0.0,0.005810083234117956,-0.002135881777131525,0.03147400767223196,-5.1629156070376325e-05,0.022492358624766062,0.0026120354679431967,-0.015097706472660606,2.0579410258295876e-05,0.012941245285270785,-0.0022458620315895256,-0.015132545014653644,4.485405072933341e-06,0.012882197577991184,-0.0005663728768875789,0.0006763531313455796,0.005671222733575288,0.0001388605005426674,0.0036742014569864307,0.0028589878250981837,2.72022697900483,1.1933935797140798,0.4387110299709886,US ρ=2.0,CRRA,0.7382263650417814,-0.004481417345717512,0.14428571428506762,1.339667762739423,-0.02171996866577577,6.164576510621276e-06,0.01723238674354764,US,2.0
0.1,0.05,True,0.05,0.15000000000000002,0.6822174803229938,0.7658368379901956,0.005612410245354055,-0.0030119599687076556,0.030379058656434525,0.0018631100677479746,0.021105332053475975,0.0,0.005750746514223301,-0.0028706208384238485,0.03112703308509878,0.0013504121913410214,0.021809433759826243,0.0006540398631341148,-0.01552611860431375,-9.567143642437853e-05,0.01275116920231428,-0.002345401265622101,-0.015208015069788824,4.489278701234568e-06,0.012858124525465489,-0.0006665587030855544,0.00014133913028380705,0.005612410245354055,0.0001383362688692465,0.0028801256757994527,0.002600450276646399,2.0033110737748365,1.1933935797140798,0.5957105690357762,US ρ=2.0,CRRA,0.7382263650417814,-0.004481417345717512,0.14428571428506762,1.339667762739423,-0.02171996866577577,6.164576510621276e-06,0.01723238674354764,US,2.0
0.2,0.05,True,0.15000000000000002,0.25,0.6822174803229938,0.7658368379901956,0.0055354769157656995,-0.0032765168951422712,0.029931024496993038,0.001486999087116914,0.020999773848862095,0.0,0.005656817106138305,-0.003881329817125386,0.03058557260006923,0.0033348011889788873,0.020794633206105976,-0.0020904597758100722,-0.01607721558125952,-0.00025671270200492005,0.012452598466139051,-0.002479520038528119,-0.01531007088018701,4.494369345647175e-06,0.012826056472313245,-0.0007969968566141523,-0.0006048129219831146,0.0055354769157656995,0.00012134019037260586,0.0017754872890129196,0.0022589600206234283,1.457443034389665,1.1933935797140798,0.8188269123079919,US ρ=2.0,CRRA,0.7382263650417814,-0.004481417345717512,0.14428571428506762,1.339667762739423,-0.02171996866577577,6.164576510621276e-06,0.01723238674354764,US,2.0
0.3,0.05,True,0.25,0.35,0.6822174803229938,0.7658368379901956,0.005460273069079738,-0.0035391348983485112,0.029493700399299556,0.0011210348651014004,0.020896789923113838,0.0,0.005544543747353145,-0.004930408724996241,0.029946787302159723,0.005473564826705691,0.019644563009690866,-0.0050082995514774695,-0.016601207276912007,-0.0004255260574739334,0.0120963246093897,-0.0026151443997136873,-0.015413626839536253,4.49935880009723e-06,0.012793983081022468,-0.0009239904986348239,-0.0013912738266477296,0.005460273069079738,8.427067827340706e-05,0.0006141350223569046,0.001921138170731227,1.1245606716626466,1.1933935797140798,1.061208710019767,US ρ=2.0,CRRA,0.7382263650417814,-0.004481417345717512,0.14428571428506762,1.339667762739423,-0.02171996866577577,6.164576510621276e-06,0.01723238674354764,US,2.0
0.4,0.05,True,0.35000000000000003,0.45,0.6822174803229938,0.7658368379901956,0.005386743134616628,-0.0037999861882136686,0.02906672495380403,0.0007648532498505391,0.02079626709570959,0.0,0.005413385892600847,-0.006011961004251703,0.029208134838327744,0.007763694172551185,0.018356142900829434,-0.0080879902414302,-0.01709083388137816,-0.0006014352381912976,0.011680308115317756,-0.002752326245936911,-0.015518741778961795,4.504249526202535e-06,0.012761911283498682,-0.0010476599422767578,-0.0022119748160380343,0.005386743134616628,2.6642757984219126e-05,-0.0005985751116508557,0.0015867569464029594,0.90043596237109,1.1933935797140798,1.3253508628992934,US ρ=2.0,CRRA,0.7382263650417814,-0.004481417345717512,0.14428571428506762,1.339667762739423,-0.02171996866577577,6.164576510621276e-06,0.01723238674354764,US,2.0
0.5,0.05,True,0.45,0.55,0.6822174803229938,0.7658368379901956,0.005314833821234792,-0.004059240582374352,0.02864975224892762,0.0004181070620434822,0.020698098630015364,0.0,0.005262810525108033,-0.007121802857935846,0.02836710348521231,0.010208323686478057,0.016923673139169752,-0.011324596555800644,-0.017539664960918838,-0.0007841280519892621,0.011201990154972254,-0.002891120024855606,-0.015625476705039176,4.509043899422276e-06,0.012729847636284148,-0.0011681205575187464,-0.0030625622755614933,0.005314833821234792,-5.202329612675853e-05,-0.0018589923328278125,0.0012555932388604394,0.7389716663167204,1.1933935797140798,1.6149382095559208,US ρ=2.0,CRRA,0.7382263650417814,-0.004481417345717512,0.14428571428506762,1.339667762739423,-0.02171996866577577,6.164576510621276e-06,0.01723238674354764,US,2.0
